time;PhaseShifter_5_6_phaseShifter_PMonitored;PhaseShifter_5_6_phaseShifter_state;PhaseShifter_5_6_phaseShifter_tap;HVDC_hvdc_P1Pu;HVDC_hvdc_Q1Pu;HVDC_hvdc_Q2Pu;HVDC_hvdc_Theta1;HVDC_hvdc_Theta2;
0.000000;7.487455;4.000000;13.000000;8.385000;-0.463607;-1.569314;-0.118210;-0.135082;
10.000000;7.485418;4.000000;13.000000;8.406710;-0.464358;-1.567727;-0.118236;-0.135054;
20.000000;7.485331;4.000000;13.000000;8.407630;-0.464392;-1.567661;-0.118237;-0.135053;
30.000000;7.485328;4.000000;13.000000;8.407669;-0.464393;-1.567659;-0.118237;-0.135053;
30.000000;10.061606;5.000000;13.000000;8.407669;-0.277619;-2.136897;-0.084587;-0.170682;
40.000000;7.859958;5.000000;13.000000;12.996255;-0.567423;-1.413070;-0.113313;-0.140223;
40.000000;7.859958;4.000000;13.000000;12.996255;-0.567423;-1.413070;-0.113313;-0.140223;
50.000000;7.830799;4.000000;13.000000;13.057086;-0.572385;-1.404652;-0.113694;-0.139820;
60.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
70.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
80.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
90.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
100.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
110.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
120.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
130.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
140.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
150.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
160.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
170.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
180.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
190.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
200.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
210.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
220.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
230.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
240.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
250.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
260.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
270.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
280.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
290.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
300.000000;7.830413;4.000000;13.000000;13.057893;-0.572466;-1.404556;-0.113699;-0.139815;
