time;WTG4B_WTG4B_injector_PInjPu;WTG4B_WTG4B_injector_QInjPu;WTG4B_WTG4B_injector_terminal_V_re;WTG4B_WTG4B_injector_terminal_i_re;WTG4B_WTG4B_injector_terminal_V_im;WTG4B_WTG4B_injector_terminal_i_im;WTG4B_WTG4B_pll_omegaPLLPu;
1.003645;0.434102;0.194980;0.627825;-0.723503;0.108527;0.185498;1.017998;
1.004157;0.436510;0.199604;0.628682;-0.727517;0.109129;0.191210;1.014367;
1.004669;0.439100;0.205037;0.629705;-0.731834;0.109777;0.198027;1.011724;
1.004834;0.439972;0.206936;0.630064;-0.733287;0.109995;0.200421;1.011033;
1.004834;0.439973;0.206935;0.630063;-0.733288;0.109995;0.200420;1.011033;
1.004835;0.439978;0.206947;0.630066;-0.733297;0.109996;0.200435;1.011029;
1.004836;0.439983;0.206959;0.630068;-0.733306;0.109997;0.200450;1.011026;
1.004838;0.439994;0.206983;0.630072;-0.733323;0.110000;0.200480;1.011018;
1.004842;0.440015;0.207030;0.630081;-0.733359;0.110005;0.200540;1.011003;
1.004850;0.440058;0.207125;0.630099;-0.733431;0.110016;0.200660;1.010973;
1.004866;0.440144;0.207316;0.630136;-0.733574;0.110038;0.200901;1.010914;
1.004898;0.440316;0.207699;0.630208;-0.733861;0.110081;0.201385;1.010798;
1.004962;0.440663;0.208472;0.630355;-0.734438;0.110167;0.202364;1.010572;
1.005090;0.441364;0.210049;0.630654;-0.735607;0.110343;0.204359;1.010147;
1.005346;0.442801;0.213316;0.631275;-0.738001;0.110702;0.208496;1.009397;
1.005858;0.445793;0.220211;0.632582;-0.742988;0.111450;0.217213;1.008223;
1.006370;0.448936;0.227518;0.633963;-0.748226;0.112235;0.226417;1.007410;
1.006882;0.452218;0.235162;0.635400;-0.753696;0.113056;0.235997;1.006870;
1.007394;0.455629;0.243084;0.636880;-0.759381;0.113909;0.245860;1.006533;
1.007906;0.459159;0.251230;0.638390;-0.765264;0.114791;0.255932;1.006342;
1.008930;0.466521;0.267973;0.641458;-0.777535;0.116632;0.276382;1.006211;
1.009954;0.474231;0.285136;0.644550;-0.790385;0.118559;0.296995;1.006303;
1.010978;0.482214;0.302484;0.647620;-0.803690;0.120555;0.317463;1.006492;
1.011268;0.484513;0.307397;0.648479;-0.807521;0.121130;0.323190;1.006550;
1.011268;0.484513;0.307397;0.648479;-0.807522;0.121130;0.323190;1.006550;
1.011269;0.484521;0.307414;0.648482;-0.807535;0.121132;0.323210;1.006551;
1.011270;0.484529;0.307431;0.648485;-0.807548;0.121134;0.323229;1.006551;
1.011272;0.484545;0.307465;0.648491;-0.807575;0.121138;0.323269;1.006551;
1.011276;0.484577;0.307533;0.648503;-0.807628;0.121146;0.323348;1.006552;
1.011284;0.484641;0.307669;0.648527;-0.807734;0.121162;0.323506;1.006554;
1.011300;0.484768;0.307941;0.648574;-0.807947;0.121194;0.323823;1.006557;
1.011332;0.485022;0.308485;0.648669;-0.808370;0.121257;0.324456;1.006564;
1.011396;0.485528;0.309573;0.648859;-0.809214;0.121384;0.325722;1.006574;
