time;Generator_generator_UPu;Generator_generator_running;Generator_generator_QGenPu;Generator_generator_PGenPu;Generator_generator_omegaRefPu;Load2_load_PPu;Load2_load_QPu;Load2_load_UPu;
0.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
1.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
2.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
3.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
4.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
5.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
6.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
7.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
8.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
9.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
10.000000;1.001197;1.000000;0.003000;0.008000;1.000000;0.002000;0.001000;1.001197;
10.000000;1.005198;1.000000;0.003000;0.008000;1.000000;0.002008;0.001008;1.005198;
11.000000;1.005090;1.000000;0.003000;0.008000;1.000000;0.002008;0.001008;1.005090;
12.000000;1.005091;1.000000;0.003000;0.008000;1.000000;0.002008;0.001008;1.005091;
13.000000;1.005091;1.000000;0.003000;0.008000;1.000000;0.002008;0.001008;1.005091;
14.000000;1.005091;1.000000;0.003000;0.008000;1.000000;0.002007;0.001007;1.005091;
15.000000;1.005091;1.000000;0.003000;0.008000;1.000000;0.002007;0.001007;1.005091;
16.000000;1.005091;1.000000;0.003000;0.008000;1.000000;0.002007;0.001007;1.005091;
17.000000;1.005091;1.000000;0.003000;0.008000;1.000000;0.002007;0.001007;1.005091;
18.000000;1.005092;1.000000;0.003000;0.008000;1.000000;0.002007;0.001007;1.005092;
19.000000;1.005092;1.000000;0.003000;0.008000;1.000000;0.002007;0.001007;1.005092;
20.000000;1.005092;1.000000;0.003000;0.008000;1.000000;0.002007;0.001007;1.005092;
21.000000;1.005092;1.000000;0.003000;0.008000;1.000000;0.002007;0.001007;1.005092;
