time;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____9_SM_generator_omegaPu;GEN___12_SM_generator_omegaPu;
0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000001;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000002;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000004;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000008;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000016;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000032;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000064;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000128;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000256;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.000512;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.001024;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.002048;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.004096;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.006242;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.006242;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.006242;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.008192;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.009136;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.009136;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.009136;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010653;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010653;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010654;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010655;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010657;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010661;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010669;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010685;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010717;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010781;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.010909;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.011165;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.011677;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.012113;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.012113;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.012113;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.012701;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.014749;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
0.018845;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025050;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025050;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025051;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025052;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025054;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025058;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025066;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025082;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025114;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025178;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999999;
0.025306;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999998;
0.025562;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999998;
0.026074;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999998;
0.027098;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999998;
0.029146;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999998;
0.033242;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.999997;
0.041434;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;0.999996;
0.043563;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;0.999995;
0.043563;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;0.999995;
0.043563;1.000000;1.000000;1.000000;1.000000;1.000001;1.000000;0.999995;
0.049626;1.000000;1.000000;1.000001;1.000000;1.000001;1.000001;0.999994;
0.053640;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.053640;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.053641;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.053642;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.053644;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.053648;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.053656;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.053672;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.053704;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.053768;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.053896;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.054152;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999993;
0.054664;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999992;
0.055688;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999992;
0.057736;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999991;
0.061832;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999990;
0.070024;1.000000;1.000001;1.000001;1.000000;1.000001;1.000001;0.999987;
0.078216;1.000000;1.000001;1.000001;1.000000;1.000002;1.000002;0.999984;
0.094600;1.000001;1.000002;1.000002;1.000001;1.000002;1.000003;0.999975;
0.110984;1.000001;1.000002;1.000003;1.000001;1.000003;1.000004;0.999966;
0.127368;1.000001;1.000003;1.000004;1.000002;1.000004;1.000006;0.999954;
0.143752;1.000002;1.000003;1.000005;1.000002;1.000004;1.000007;0.999941;
0.160136;1.000002;1.000004;1.000006;1.000003;1.000005;1.000009;0.999927;
0.176520;1.000002;1.000005;1.000008;1.000004;1.000006;1.000011;0.999911;
0.192904;1.000002;1.000005;1.000009;1.000005;1.000007;1.000012;0.999894;
0.209288;1.000003;1.000006;1.000010;1.000006;1.000008;1.000014;0.999877;
0.225672;1.000003;1.000007;1.000011;1.000007;1.000009;1.000016;0.999858;
0.258440;1.000003;1.000008;1.000014;1.000009;1.000012;1.000019;0.999819;
0.291208;1.000003;1.000009;1.000015;1.000011;1.000014;1.000021;0.999778;
0.323976;1.000002;1.000009;1.000016;1.000013;1.000015;1.000022;0.999737;
0.356744;1.000001;1.000009;1.000016;1.000015;1.000016;1.000023;0.999697;
0.389512;0.999998;1.000008;1.000015;1.000016;1.000017;1.000021;0.999658;
0.422280;0.999995;1.000006;1.000013;1.000017;1.000017;1.000018;0.999622;
0.455048;0.999990;1.000003;1.000009;1.000017;1.000016;1.000013;0.999590;
0.479015;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999570;
0.479015;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999570;
0.479016;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999570;
0.479017;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999570;
0.479019;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999570;
0.479023;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999570;
0.479031;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999570;
0.479047;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999570;
0.479079;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999570;
0.479143;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999570;
0.479271;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999569;
0.479527;0.999987;1.000000;1.000006;1.000017;1.000014;1.000008;0.999569;
0.479617;0.999986;1.000000;1.000006;1.000017;1.000014;1.000008;0.999569;
0.479617;0.999986;1.000000;1.000006;1.000017;1.000014;1.000008;0.999569;
0.479617;0.999986;1.000000;1.000006;1.000017;1.000014;1.000008;0.999569;
0.480039;0.999986;1.000000;1.000006;1.000017;1.000014;1.000008;0.999569;
0.481063;0.999986;1.000000;1.000006;1.000017;1.000014;1.000008;0.999568;
0.483111;0.999986;0.999999;1.000005;1.000017;1.000014;1.000007;0.999566;
0.487207;0.999985;0.999999;1.000004;1.000017;1.000013;1.000006;0.999563;
0.495399;0.999984;0.999998;1.000003;1.000017;1.000013;1.000004;0.999557;
0.511510;0.999980;0.999995;1.000000;1.000016;1.000011;1.000000;0.999546;
0.511510;0.999980;0.999995;1.000000;1.000016;1.000011;1.000000;0.999546;
0.511511;0.999980;0.999995;1.000000;1.000016;1.000011;1.000000;0.999546;
0.511512;0.999980;0.999995;1.000000;1.000016;1.000011;1.000000;0.999546;
0.511514;0.999980;0.999995;1.000000;1.000016;1.000011;1.000000;0.999546;
