time;SVarC_SVarC_injector_UPu;SVarC_SVarC_injector_BPu;SVarC_SVarC_injector_GPu;SVarC_SVarC_injector_PInjPu;SVarC_SVarC_injector_QInjPu;SVarC_SVarC_regulation_limitations_BVarMaxPu;SVarC_SVarC_regulation_limitations_BVarMinPu;
1.009379;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.009891;0.600878;1.067800;0.000000;-0.000000;0.963835;1.067800;-1.046600;
1.010403;0.600878;1.067800;0.000000;-0.000000;0.963835;1.067800;-1.046600;
1.011427;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.012451;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.013475;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.014499;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.015523;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.016547;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.017571;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.018595;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.020643;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.022691;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.024739;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.026787;0.600878;1.067800;0.000000;-0.000000;0.963835;1.067800;-1.046600;
1.028835;0.600878;1.067800;0.000000;-0.000000;0.963835;1.067800;-1.046600;
1.032931;0.600878;1.067800;0.000000;-0.000000;0.963835;1.067800;-1.046600;
1.041123;0.600878;1.067800;0.000000;-0.000000;0.963835;1.067800;-1.046600;
1.049315;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.065699;0.600878;1.067800;0.000000;-0.000000;0.963835;1.067800;-1.046600;
1.098467;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.100000;0.600878;1.067800;0.000000;0.000000;0.963835;1.067800;-1.046600;
1.100000;1.048798;0.672998;0.000000;-0.000000;1.850708;1.067800;-1.046600;
1.100001;1.048797;0.672984;0.000000;-0.000000;1.850665;1.067800;-1.046600;
1.100002;1.048796;0.672970;0.000000;-0.000000;1.850622;1.067800;-1.046600;
1.100004;1.048794;0.672942;0.000000;-0.000000;1.850537;1.067800;-1.046600;
1.100008;1.048790;0.672885;0.000000;-0.000000;1.850365;1.067800;-1.046600;
1.100016;1.048781;0.672771;0.000000;-0.000000;1.850022;1.067800;-1.046600;
1.100032;1.048764;0.672544;0.000000;-0.000000;1.849337;1.067800;-1.046600;
1.100064;1.048729;0.672090;0.000000;-0.000000;1.847966;1.067800;-1.046600;
1.100128;1.048660;0.671183;0.000000;-0.000000;1.845229;1.067800;-1.046600;
1.100256;1.048523;0.669372;0.000000;-0.000000;1.839769;1.067800;-1.046600;
1.100512;1.048249;0.665766;0.000000;-0.000000;1.828902;1.067800;-1.046600;
1.101024;1.047706;0.658615;0.000000;-0.000000;1.807383;1.067800;-1.046600;
1.102048;1.046639;0.644550;0.000000;-0.000000;1.765186;1.067800;-1.046600;
1.104096;1.044582;0.617337;0.000000;-0.000000;1.684021;1.067800;-1.046600;
1.108192;1.040750;0.566351;0.000000;-0.000000;1.533623;1.067800;-1.046600;
1.112288;1.037267;0.519677;0.000000;-0.000000;1.397817;1.067800;-1.046600;
1.116384;1.034098;0.476950;0.000000;-0.000000;1.275046;1.067800;-1.046600;
1.120480;1.031213;0.437826;0.000000;-0.000000;1.163922;1.067800;-1.046600;
1.124576;1.028585;0.401989;0.000000;-0.000000;1.063203;1.067800;-1.046600;
1.128672;1.026189;0.369151;0.000000;-0.000000;0.971799;1.067800;-1.046600;
1.132768;1.024002;0.339050;0.000000;-0.000000;0.888753;1.067800;-1.046600;
1.136864;1.022005;0.311451;0.000000;-0.000000;0.813220;1.067800;-1.046600;
1.140960;1.020181;0.286137;0.000000;-0.000000;0.744455;1.067800;-1.046600;
1.145056;1.018512;0.262913;0.000000;-0.000000;0.681794;1.067800;-1.046600;
1.149152;1.016986;0.241602;0.000000;-0.000000;0.624651;1.067800;-1.046600;
1.153248;1.015590;0.222041;0.000000;-0.000000;0.572501;1.067800;-1.046600;
1.157344;1.014311;0.204084;0.000000;-0.000000;0.524875;1.067800;-1.046600;
1.161440;1.013139;0.187596;0.000000;-0.000000;0.481354;1.067800;-1.046600;
1.169632;1.011073;0.158404;0.000000;-0.000000;0.404829;1.067800;-1.046600;
1.177005;1.009495;0.136053;0.000000;-0.000000;0.346624;1.067800;-1.046600;
1.184377;1.008144;0.116851;0.000000;-0.000000;0.296896;1.067800;-1.046600;
1.191750;1.006987;0.100368;0.000000;-0.000000;0.254426;1.067800;-1.046600;
1.199123;1.005996;0.086220;0.000000;-0.000000;0.218127;1.067800;-1.046600;
1.206496;1.005147;0.074074;0.000000;-0.000000;0.187079;1.067800;-1.046600;
1.213869;1.004419;0.063646;0.000000;-0.000000;0.160507;1.067800;-1.046600;
1.221241;1.003795;0.054691;0.000000;-0.000000;0.137750;1.067800;-1.046600;
1.228614;1.003260;0.047000;0.000000;-0.000000;0.118250;1.067800;-1.046600;
1.235987;1.002800;0.040393;0.000000;-0.000000;0.101533;1.067800;-1.046600;
1.243360;1.002406;0.034717;0.000000;-0.000000;0.087196;1.067800;-1.046600;
1.250733;1.002067;0.029840;0.000000;-0.000000;0.074896;1.067800;-1.046600;
1.258105;1.001776;0.025649;0.000000;-0.000000;0.064340;1.067800;-1.046600;
1.272851;1.001306;0.018862;0.000000;-0.000000;0.047279;1.067800;-1.046600;
1.286122;1.000989;0.014292;0.000000;-0.000000;0.035802;1.067800;-1.046600;
1.299393;1.000748;0.010813;0.000000;-0.000000;0.027072;1.067800;-1.046600;
1.312664;1.000566;0.008176;0.000000;-0.000000;0.020462;1.067800;-1.046600;
1.325935;1.000427;0.006180;0.000000;-0.000000;0.015462;1.067800;-1.046600;
1.339206;1.000323;0.004670;0.000000;-0.000000;0.011682;1.067800;-1.046600;
1.352477;1.000244;0.003529;0.000000;-0.000000;0.008826;1.067800;-1.046600;
1.365748;1.000184;0.002667;0.000000;-0.000000;0.006669;1.067800;-1.046600;
1.392290;1.000102;0.001471;0.000000;-0.000000;0.003678;1.067800;-1.046600;
1.418832;1.000055;0.000789;0.000000;-0.000000;0.001973;1.067800;-1.046600;
1.445375;1.000029;0.000414;0.000000;-0.000000;0.001034;1.067800;-1.046600;
1.471917;1.000015;0.000212;0.000000;-0.000000;0.000531;1.067800;-1.046600;
1.498459;1.000007;0.000107;0.000000;-0.000000;0.000267;1.067800;-1.046600;
1.551543;1.000000;0.000003;0.000000;-0.000000;0.000007;1.067800;-1.046600;
1.657711;1.000000;0.000001;0.000000;-0.000000;0.000002;1.067800;-1.046600;
1.763879;1.000000;0.000000;0.000000;-0.000000;0.000001;1.067800;-1.046600;
1.976216;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
2.400889;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
3.000000;1.000000;0.000000;0.000000;-0.000000;0.000000;1.067800;-1.046600;
