"time","Conv1000.IConvPu","Conv250.IConvPu","Conv500.IConvPu","Droop.omegaPu","Matching.omegaPu","dVOC.omegaPu","Conv1000.omegaPu","Conv250.omegaPu","Conv500.omegaPu"
0,0.6329815632241117,0.6237942396632081,0.6201437320831357,0.9999265550000001,1,0.9999265944539876,1,0.9999265550000001,0.9999265944539876
0.006,0.6332745376807846,0.6225783422741168,0.6203218143595614,0.9999285892358192,0.9999211048891603,0.9999261501559855,0.9999211048891603,0.9999285892358192,0.9999261501559855
0.012,0.6338317981585198,0.6194739608763735,0.6208600890731312,0.9999439249872379,0.9999100040311486,0.9999245272972136,0.9999100040311486,0.9999439249872379,0.9999245272972136
0.018,0.6342682018720248,0.6165392487135397,0.62141870298471,0.9999734948645017,0.999901134953368,0.9999228030702115,0.999901134953368,0.9999734948645017,0.9999228030702115
0.024,0.6343417182071319,0.6152545338820746,0.6217866300628659,1.000007193307322,0.9998994334049178,0.9999216404057037,0.9998994334049178,1.000007193307322,0.9999216404057037
0.03,0.6340087755017254,0.6161201440664371,0.6218777019452638,1.000032031078895,0.9999058741805618,0.9999213194139602,0.9999058741805618,1.000032031078895,0.9999213194139602
0.036,0.6334042947930493,0.6186869697657238,0.6217032756192333,1.000038926851677,0.9999178328867249,0.9999218153883713,0.9999178328867249,1.000038926851677,0.9999218153883713
0.042,0.6327548559212772,0.6219541436619827,0.6213312852346983,1.00002599832432,0.9999308015928854,0.999922925381442,0.9999308015928854,1.00002599832432,0.999922925381442
0.048,0.6322718496171023,0.624876512981712,0.6208555086991977,0.999998151142366,0.9999405339404108,0.9999243652609077,0.9999405339404108,0.999998151142366,0.9999243652609077
0.054,0.6320697372443549,0.6267553761689444,0.6203762757056774,0.9999641269949182,0.9999446955590225,0.9999258298790795,0.9999446955590225,0.9999641269949182,0.9999258298790795
0.06,0.6321390982213951,0.6273952691521054,0.6199842680161866,0.9999327739023255,0.9999434203512865,0.9999270415568838,0.9999434203512865,0.9999327739023255,0.9999270415568838
0.066,0.6323752508545023,0.6270414136271754,0.6197420930100593,0.9999101242428718,0.9999387593141618,0.9999278049533833,0.9999387593141618,0.9999101242428718,0.9999278049533833
0.07199999999999999,0.6326401530867969,0.6261819003944957,0.6196673268422583,0.9998981220336337,0.9999334604757377,0.9999280589784899,0.9999334604757377,0.9998981220336337,0.9999280589784899
0.078,0.6328245026919689,0.6253182295491114,0.6197270290764666,0.9998950742824295,0.9999297285651976,0.9999278958818897,0.9999297285651976,0.9998950742824295,0.9999278958818897
0.08400000000000001,0.632883691755659,0.6247910333461092,0.6198502797302351,0.9998972155641652,0.9999284903645536,0.9999275265188696,0.9999284903645536,0.9998972155641652,0.9999275265188696
0.09,0.6328386185978878,0.6247062353676507,0.6199564761334622,0.9999005649741098,0.9999293579537918,0.9999271966529892,0.9999293579537918,0.9999005649741098,0.9999271966529892
0.096,0.6327495358070107,0.6249624602924807,0.6199873849798337,0.99990233929519,0.9999311391308938,0.9999270892041735,0.9999311391308938,0.99990233929519,0.9999270892041735
0.102,0.6326785065078379,0.6253500103682924,0.6199291873963638,0.9999015916632006,0.9999325872919764,0.9999272540595829,0.9999325872919764,0.9999015916632006,0.9999272540595829
0.108,0.6326622671353437,0.62566385011518,0.6198104233520524,0.999898914571575,0.9999329520665885,0.9999276104245268,0.9999329520665885,0.999898914571575,0.9999276104245268
0.114,0.6327051565945528,0.6257718012815274,0.619683946677935,0.9998957400320091,0.9999321295423371,0.9999279995184441,0.9999321295423371,0.9998957400320091,0.9999279995184441
0.12,0.6327855636886284,0.6256458215750235,0.61960088743681,0.9998935538733069,0.9999305408912544,0.9999282634164017,0.9999305408912544,0.9998935538733069,0.9999282634164017
0.126,0.6328719365400555,0.6253461788231369,0.6195889790003769,0.9998933019810136,0.9999288154173287,0.9999283126472075,0.9999288154173287,0.9998933019810136,0.9999283126472075
