time;WPP4A_WPP_wPPControl_measurements_PGenNomPu;WPP4A_WPP_wPPControl_measurements_QGenNomPu;WPP4A_WPP_wPPControl_measurements_UPu;WPP4A_WPP_terminal_V_re;WPP4A_WPP_terminal_V_im;WPP4A_WPP_terminal_i_re;WPP4A_WPP_terminal_i_im;WPP4A_WPP_wT4ACurrentSource_gridProtection_fOCB;
2.011464;0.999682;-0.210056;1.000186;0.976219;0.217644;-0.929845;-0.422478;-1.000000;
2.014861;0.999321;-0.210113;1.000189;0.976243;0.217553;-0.929517;-0.422366;-1.000000;
2.018258;0.998776;-0.210192;1.000197;0.976281;0.217415;-0.929022;-0.422189;-1.000000;
2.021655;0.998026;-0.210292;1.000209;0.976336;0.217224;-0.928340;-0.421935;-1.000000;
2.025052;0.997055;-0.210412;1.000228;0.976411;0.216978;-0.927457;-0.421594;-1.000000;
2.031846;0.994224;-0.210696;1.000305;0.976648;0.216257;-0.924879;-0.420527;-1.000000;
2.038640;0.990559;-0.210993;1.000423;0.976977;0.215322;-0.921541;-0.419070;-1.000000;
2.045434;0.986156;-0.211281;1.000587;0.977392;0.214196;-0.917527;-0.417245;-1.000000;
2.059021;0.975217;-0.211701;1.001076;0.978502;0.211391;-0.907547;-0.412414;-1.000000;
2.072609;0.962799;-0.211930;1.001693;0.979817;0.208200;-0.896206;-0.406728;-1.000000;
2.099785;0.934783;-0.211896;1.003200;0.982860;0.200986;-0.870593;-0.393619;-1.000000;
2.126960;0.904961;-0.211612;1.004795;0.986025;0.193306;-0.843302;-0.379937;-1.000000;
2.181311;0.842597;-0.210940;1.007882;0.992171;0.177263;-0.786167;-0.353062;-1.000000;
2.235662;0.779412;-0.210391;1.010609;0.997695;0.161039;-0.728202;-0.328417;-1.000000;
2.344364;0.654274;-0.209904;1.014827;1.006594;0.129002;-0.613192;-0.287114;-1.000000;
2.453066;0.531223;-0.209692;1.017681;1.012990;0.097598;-0.499827;-0.255159;-1.000000;
2.499000;0.480069;-0.210522;1.018381;1.014746;0.084597;-0.452651;-0.245199;-1.000000;
2.499000;0.480227;-0.209689;1.018502;1.014982;0.084612;-0.452770;-0.244338;-1.000000;
2.502658;0.476111;-0.209676;1.018564;1.015130;0.083564;-0.448969;-0.243509;-1.000000;
2.506316;0.472066;-0.209659;1.018625;1.015275;0.082534;-0.445234;-0.242698;-1.000000;
2.513631;0.464607;-0.209594;1.018743;1.015546;0.080635;-0.438344;-0.241190;-1.000000;
2.520947;0.458021;-0.209503;1.018853;1.015789;0.078956;-0.432258;-0.239845;-1.000000;
2.535579;0.448581;-0.209283;1.019032;1.016152;0.076548;-0.423532;-0.237861;-1.000000;
2.550211;0.442276;-0.209105;1.019156;1.016397;0.074939;-0.417701;-0.236529;-1.000000;
2.564843;0.438307;-0.208996;1.019232;1.016547;0.073927;-0.414031;-0.235704;-1.000000;
2.579475;0.435975;-0.208958;1.019268;1.016627;0.073333;-0.411876;-0.235250;-1.000000;
2.594107;0.434764;-0.208975;1.019277;1.016657;0.073026;-0.410757;-0.235055;-1.000000;
2.623371;0.434704;-0.209113;1.019238;1.016619;0.073014;-0.410706;-0.235192;-1.000000;
2.652635;0.435918;-0.209280;1.019177;1.016536;0.073328;-0.411833;-0.235584;-1.000000;
2.711162;0.440142;-0.209555;1.019051;1.016331;0.074410;-0.415745;-0.236627;-1.000000;
2.769690;0.444855;-0.209709;1.018953;1.016144;0.075614;-0.420104;-0.237638;-1.000000;
2.886745;0.453517;-0.209877;1.018802;1.015825;0.077822;-0.428111;-0.239405;-1.000000;
3.003800;0.460898;-0.210099;1.018647;1.015523;0.079706;-0.434935;-0.241024;-1.000000;
3.237911;0.471825;-0.210052;1.018515;1.015170;0.082485;-0.445024;-0.243073;-1.000000;
3.472021;0.479694;-0.210022;1.018415;1.014904;0.084487;-0.452289;-0.244589;-1.000000;
3.706131;0.485170;-0.210383;1.018234;1.014603;0.085891;-0.457356;-0.246072;-1.000000;
3.940242;0.489274;-0.210382;1.018173;1.014454;0.086936;-0.461144;-0.246903;-1.000000;
4.408462;0.494050;-0.210006;1.018208;1.014386;0.088140;-0.465540;-0.247479;-1.000000;
4.876683;0.496660;-0.209962;1.018181;1.014301;0.088804;-0.467948;-0.247971;-1.000000;
5.344904;0.497989;-0.210236;1.018081;1.014170;0.089150;-0.469183;-0.248542;-1.000000;
5.999999;0.498879;-0.210066;1.018116;1.014186;0.089372;-0.469999;-0.248544;-1.000000;
5.999999;0.367375;-0.135436;0.736443;0.729915;0.097831;-0.469999;-0.248544;-1.000000;
6.000071;0.367313;-0.135552;0.736401;0.729875;0.097816;-0.469925;-0.248697;-1.000000;
6.000215;0.367214;-0.135778;0.736319;0.729796;0.097792;-0.469807;-0.249003;-1.000000;
6.000358;0.367137;-0.135999;0.736238;0.729717;0.097775;-0.469718;-0.249310;-1.000000;
6.000646;0.367069;-0.136427;0.736079;0.729557;0.097769;-0.469646;-0.249937;-1.000000;
6.000796;0.367077;-0.136644;0.735997;0.729473;0.097779;-0.469661;-0.250273;-1.000000;
6.000796;0.367077;-0.136644;0.735997;0.729473;0.097779;-0.469661;-0.250273;-1.000000;
6.000797;0.367077;-0.136645;0.735997;0.729473;0.097779;-0.469661;-0.250274;-1.000000;
6.000797;0.367077;-0.136645;0.735997;0.729473;0.097779;-0.469661;-0.250274;-1.000000;
6.000797;0.367077;-0.136645;0.735997;0.729473;0.097779;-0.469661;-0.250274;-1.000000;
6.000797;0.367077;-0.136645;0.735997;0.729473;0.097779;-0.469661;-0.250274;-1.000000;
6.001013;0.367060;-0.136966;0.735876;0.729350;0.097785;-0.469650;-0.250759;-1.000000;
6.001445;0.367034;-0.137627;0.735628;0.729097;0.097801;-0.469637;-0.251761;-1.000000;
6.001878;0.367014;-0.138311;0.735370;0.728835;0.097820;-0.469633;-0.252802;-1.000000;
6.002743;0.366994;-0.139783;0.734814;0.728267;0.097868;-0.469652;-0.255053;-1.000000;
6.003242;0.366991;-0.140689;0.734471;0.727917;0.097900;-0.469676;-0.256445;-1.000000;
6.003242;0.366992;-0.140689;0.734471;0.727917;0.097900;-0.469677;-0.256445;-1.000000;
6.003242;0.366992;-0.140690;0.734470;0.727916;0.097900;-0.469677;-0.256446;-1.000000;
6.003242;0.366992;-0.140690;0.734470;0.727916;0.097900;-0.469677;-0.256446;-1.000000;
6.003242;0.366992;-0.140690;0.734470;0.727916;0.097900;-0.469677;-0.256446;-1.000000;
6.003242;0.366992;-0.140690;0.734470;0.727916;0.097900;-0.469677;-0.256446;-1.000000;
6.003628;0.366989;-0.141392;0.734204;0.727644;0.097925;-0.469695;-0.257526;-1.000000;
6.004400;0.366995;-0.142871;0.733643;0.727070;0.097981;-0.469746;-0.259807;-1.000000;
6.004553;0.367000;-0.143186;0.733523;0.726947;0.097995;-0.469762;-0.260294;-1.000000;
6.004553;0.367001;-0.143186;0.733523;0.726948;0.097995;-0.469763;-0.260294;-1.000000;
6.004974;0.367007;-0.144018;0.733206;0.726624;0.098028;-0.469795;-0.261581;-1.000000;
6.005569;0.367023;-0.145245;0.732738;0.726145;0.098078;-0.469853;-0.263484;-1.000000;
6.005569;0.367024;-0.145245;0.732739;0.726145;0.098078;-0.469854;-0.263484;-1.000000;
6.005569;0.367024;-0.145245;0.732739;0.726145;0.098078;-0.469854;-0.263484;-1.000000;
6.005569;0.367024;-0.145245;0.732739;0.726145;0.098078;-0.469854;-0.263484;-1.000000;
6.006012;0.367265;-0.144665;0.732951;0.726352;0.098135;-0.470140;-0.262686;-1.000000;
6.006899;0.367982;-0.142221;0.733855;0.727245;0.098278;-0.470967;-0.259207;-1.000000;
6.008673;0.370122;-0.133735;0.736988;0.730355;0.098660;-0.473396;-0.247058;-1.000000;
6.010446;0.372791;-0.122853;0.740967;0.734306;0.099127;-0.476410;-0.231618;-1.000000;
6.012220;0.375819;-0.110540;0.745413;0.738721;0.099660;-0.479823;-0.214369;-1.000000;
6.013994;0.379061;-0.097551;0.750041;0.743313;0.100240;-0.483471;-0.196438;-1.000000;
6.017468;0.385429;-0.073204;0.758547;0.751736;0.101426;-0.490647;-0.163579;-1.000000;
6.017468;0.385426;-0.073204;0.758547;0.751736;0.101426;-0.490645;-0.163579;-1.000000;
6.017591;0.385655;-0.072343;0.758845;0.752030;0.101469;-0.490902;-0.162433;-1.000000;
6.017591;0.385655;-0.072343;0.758845;0.752030;0.101469;-0.490902;-0.162433;-1.000000;
6.017748;0.385948;-0.071242;0.759224;0.752405;0.101524;-0.491232;-0.160969;-1.000000;
6.017748;0.385948;-0.071242;0.759224;0.752405;0.101524;-0.491232;-0.160969;-1.000000;
6.018366;0.387094;-0.066940;0.760703;0.753868;0.101741;-0.492522;-0.155265;-1.000000;
6.019601;0.389348;-0.058671;0.763527;0.756659;0.102176;-0.495064;-0.144391;-1.000000;
6.022072;0.393605;-0.043938;0.768497;0.761559;0.103030;-0.499886;-0.125324;-1.000000;
6.024542;0.397578;-0.031180;0.772739;0.765727;0.103864;-0.504412;-0.109139;-1.000000;
6.027013;0.401238;-0.020441;0.776263;0.769174;0.104670;-0.508613;-0.095788;-1.000000;
6.031954;0.407422;-0.005970;0.780922;0.773672;0.106164;-0.515836;-0.078500;-1.000000;
6.036894;0.412753;0.003101;0.783766;0.776349;0.107573;-0.522187;-0.068361;-1.000000;
6.041835;0.417442;0.008275;0.785327;0.777738;0.108912;-0.527877;-0.063282;-1.000000;
6.046776;0.421690;0.010815;0.786027;0.778264;0.110200;-0.533113;-0.061591;-1.000000;
6.051717;0.425653;0.011679;0.786182;0.778242;0.111455;-0.538055;-0.062050;-1.000000;
6.056658;0.429441;0.011540;0.786011;0.777891;0.112689;-0.542816;-0.063800;-1.000000;
6.061599;0.433129;0.010843;0.785657;0.777355;0.113910;-0.547472;-0.066275;-1.000000;
6.071481;0.440369;0.008769;0.784720;0.776049;0.116333;-0.556635;-0.072143;-1.000000;
6.081363;0.447572;0.006598;0.783742;0.774694;0.118748;-0.565753;-0.078203;-1.000000;
6.091244;0.454763;0.004502;0.782778;0.773345;0.121156;-0.574850;-0.084237;-1.000000;
6.095650;0.457964;0.003616;0.782363;0.772754;0.122227;-0.578896;-0.086885;-1.000000;
6.095650;0.457974;0.003635;0.782366;0.772759;0.122230;-0.578908;-0.086864;-1.000000;
6.095650;0.457974;0.003635;0.782366;0.772759;0.122230;-0.578908;-0.086864;-1.000000;
6.095650;0.457974;0.003635;0.782366;0.772759;0.122230;-0.578908;-0.086864;-1.000000;
6.095651;0.457974;0.003635;0.782366;0.772759;0.122230;-0.578909;-0.086864;-1.000000;
6.095651;0.457974;0.003635;0.782366;0.772759;0.122230;-0.578909;-0.086864;-1.000000;
6.100373;0.461404;0.002673;0.781912;0.772117;0.123378;-0.583244;-0.089736;-1.000000;
6.109816;0.468261;0.000824;0.781023;0.770846;0.125670;-0.591906;-0.095429;-1.000000;
6.113788;0.471137;0.000065;0.780655;0.770313;0.126632;-0.595537;-0.097816;-1.000000;
6.113788;0.471145;0.000081;0.780657;0.770318;0.126634;-0.595547;-0.097797;-1.000000;
6.118563;0.474604;-0.000828;0.780210;0.769674;0.127790;-0.599914;-0.100680;-1.000000;
6.128114;0.481513;-0.002603;0.779323;0.768387;0.130098;-0.608633;-0.106437;-1.000000;
6.147215;0.495286;-0.006040;0.777558;0.765802;0.134698;-0.626000;-0.117995;-1.000000;
6.185416;0.522626;-0.012582;0.774023;0.760544;0.143825;-0.660427;-0.141435;-1.000000;
6.223617;0.549665;-0.018775;0.770454;0.755139;0.152852;-0.694415;-0.165424;-1.000000;
6.300020;0.602882;-0.029988;0.763249;0.743936;0.170614;-0.761119;-0.214865;-1.000000;
6.335569;0.627012;-0.035044;0.759817;0.738440;0.178680;-0.791290;-0.238925;-1.000000;
6.335569;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335583;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335611;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335667;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335778;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.335889;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336001;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336112;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336224;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336335;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336447;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336669;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.336892;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.337115;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.337338;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.337784;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.338229;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339121;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339791;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339791;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.339884;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.340069;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.340338;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.340338;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.340435;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.340629;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.341017;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.341792;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.341884;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.341884;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.341998;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342226;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342681;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342867;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342867;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.342993;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.343246;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.343488;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.343488;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.343622;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.343891;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.344248;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.344248;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.344248;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.344428;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.344965;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.346039;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.347113;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.348187;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.349261;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.351409;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.353342;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.355275;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.357209;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.359142;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.361075;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.363008;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.364941;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.368808;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.372674;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.376541;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.380407;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.384274;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.386420;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.386420;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.389485;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.395615;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.399999;0.000000;-0.000000;0.784090;0.783678;-0.025422;0.000000;0.000000;1.000000;
6.399999;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.400275;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.400584;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.400584;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.400857;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.401404;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402203;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402203;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402255;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402255;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.402568;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.403193;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.404444;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.404562;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.404562;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.404943;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405352;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405352;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405352;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405352;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.405756;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.406564;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.408180;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.409796;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.413028;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.416260;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.419492;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.422724;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.424245;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.424245;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.425729;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.428697;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.434633;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.440569;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.446505;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
6.458377;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;1.000000;
