time;WT4A_WT_controlMeasurements_PPu;WT4A_WT_controlMeasurements_QPu;WT4A_WT_controlMeasurements_UPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;WT4A_WT_control4A_ipMaxPu;WT4A_WT_control4A_iqMaxPu;
2.511177;0.507263;-0.216843;1.016032;1.011884;0.091713;-0.477956;-0.257617;1.100000;0.330000;
2.539141;0.506048;-0.216632;1.016113;1.011994;0.091397;-0.476828;-0.257129;1.100000;0.330000;
2.539141;0.506049;-0.216629;1.016113;1.011995;0.091397;-0.476829;-0.257126;1.100000;0.330000;
2.561601;0.504943;-0.216459;1.016180;1.012088;0.091110;-0.475803;-0.256707;1.100000;0.330000;
2.606523;0.503417;-0.216118;1.016303;1.012247;0.090711;-0.474384;-0.256015;1.100000;0.330000;
2.696367;0.501809;-0.215458;1.016520;1.012502;0.090282;-0.472878;-0.254962;1.100000;0.330000;
2.876053;0.500657;-0.214306;1.016869;1.012883;0.089954;-0.471778;-0.253479;1.100000;0.330000;
3.055740;0.500243;-0.213346;1.017152;1.013179;0.089819;-0.471365;-0.252357;1.100000;0.330000;
3.415114;0.500060;-0.212066;1.017523;1.013559;0.089733;-0.471154;-0.250942;1.100000;0.330000;
4.133862;0.500011;-0.210888;1.017862;1.013904;0.089685;-0.471070;-0.249665;1.100000;0.330000;
5.571357;0.500002;-0.210233;1.018051;1.014095;0.089663;-0.471040;-0.248959;1.100000;0.330000;
5.999999;0.500001;-0.210181;1.018066;1.014110;0.089661;-0.471038;-0.248903;1.100000;0.330000;
5.999999;0.368202;-0.135452;0.736408;0.729845;0.098100;-0.471038;-0.248903;1.100000;0.330000;
6.000024;0.368181;-0.135487;0.736395;0.729833;0.098095;-0.471013;-0.248949;1.100000;0.330000;
6.000101;0.368120;-0.135591;0.736358;0.729797;0.098079;-0.470940;-0.249083;1.100000;0.330000;
6.000257;0.368033;-0.135728;0.736310;0.729751;0.098056;-0.470835;-0.249258;1.100000;0.330000;
6.000412;0.367981;-0.135797;0.736286;0.729729;0.098041;-0.470771;-0.249342;1.100000;0.330000;
6.000723;0.368008;-0.135676;0.736330;0.729774;0.098046;-0.470801;-0.249167;1.098113;0.330000;
6.000797;0.368045;-0.135589;0.736362;0.729804;0.098054;-0.470844;-0.249050;1.095615;0.330000;
6.000797;0.368044;-0.135589;0.736362;0.729804;0.098054;-0.470844;-0.249050;1.095615;0.330000;
6.000797;0.368045;-0.135589;0.736362;0.729804;0.098054;-0.470845;-0.249049;1.095597;0.330000;
6.000797;0.368045;-0.135589;0.736362;0.729804;0.098054;-0.470845;-0.249049;1.095596;0.330000;
6.001022;0.368106;-0.135340;0.736453;0.729895;0.098065;-0.470914;-0.248693;1.087953;0.330000;
6.001045;0.368116;-0.135293;0.736471;0.729912;0.098067;-0.470925;-0.248626;1.087220;0.330000;
6.001320;0.368221;-0.134810;0.736649;0.730090;0.098083;-0.471042;-0.247930;1.078176;0.330000;
