time;Generator_generator_UPu;Generator_generator_running;Generator_generator_QGenPu;Generator_generator_PGenPu;Generator_generator_omegaRefPu;Load_load_running;Load_load_switchOffSignal2;Load_load_PPu;Load_load_QPu;Load_load_UPu;Load2_load_running;Load2_load_switchOffSignal2;Load2_load_PPu;Load2_load_QPu;Load2_load_UPu;
0.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399752;0.149814;1.001397;1.000000;-1.000000;0.199876;0.099876;1.001397;
1.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149820;1.001397;1.000000;-1.000000;0.199881;0.099881;1.001397;
2.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149820;1.001397;1.000000;-1.000000;0.199882;0.099882;1.001397;
3.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149820;1.001397;1.000000;-1.000000;0.199884;0.099884;1.001397;
4.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149820;1.001397;1.000000;-1.000000;0.199885;0.099885;1.001397;
5.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149820;1.001397;1.000000;-1.000000;0.199886;0.099886;1.001397;
6.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149820;1.001397;1.000000;-1.000000;0.199887;0.099887;1.001397;
7.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149820;1.001397;1.000000;-1.000000;0.199889;0.099889;1.001397;
8.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199890;0.099890;1.001397;
9.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199891;0.099891;1.001397;
10.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199892;0.099892;1.001397;
11.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199893;0.099893;1.001397;
12.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199895;0.099895;1.001397;
13.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199896;0.099896;1.001397;
14.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199897;0.099897;1.001397;
15.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199898;0.099898;1.001397;
16.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199899;0.099899;1.001397;
17.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199900;0.099900;1.001397;
18.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199901;0.099901;1.001397;
19.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199902;0.099902;1.001397;
20.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199903;0.099903;1.001397;
21.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199904;0.099904;1.001397;
22.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199906;0.099906;1.001397;
23.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199907;0.099907;1.001397;
24.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199908;0.099908;1.001397;
25.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199909;0.099909;1.001397;
26.000000;1.001397;1.000000;0.300000;0.800000;1.000000;1.000000;-1.000000;0.399759;0.149819;1.001397;1.000000;-1.000000;0.199910;0.099910;1.001397;
