time;Load__10_load_PPu;Load__10_load_UPu;
0.000000;29.450358;0.955158;
0.000001;29.450358;0.955158;
0.000003;29.450358;0.955158;
0.000007;29.450358;0.955158;
0.000015;29.450358;0.955158;
0.000031;29.450358;0.955158;
0.000063;29.450358;0.955158;
0.000127;29.450358;0.955158;
0.000255;29.450358;0.955158;
0.000511;29.450358;0.955158;
0.001023;29.450358;0.955158;
0.002047;29.450358;0.955158;
0.004095;29.450358;0.955158;
0.008191;29.450358;0.955158;
0.016383;29.450358;0.955158;
0.032767;29.450358;0.955158;
0.065535;29.450358;0.955158;
0.131071;29.450358;0.955158;
0.262143;29.450358;0.955158;
0.524287;29.450358;0.955158;
1.048575;29.450358;0.955158;
2.097151;29.450358;0.955158;
4.194303;29.450358;0.955158;
8.388607;29.450358;0.955158;
16.777215;29.450358;0.955158;
26.777215;29.450358;0.955158;
29.999994;29.450358;0.955158;
29.999994;23.351464;0.955158;
29.999995;23.351459;0.818259;
29.999997;23.351459;0.818259;
30.000001;23.351460;0.818259;
30.000009;23.351461;0.818259;
30.000025;23.351465;0.818259;
30.000057;23.351471;0.818259;
30.000121;23.351484;0.818258;
30.000249;23.351511;0.818258;
30.000505;23.351564;0.818256;
30.001017;23.351669;0.818252;
30.002041;23.351880;0.818245;
30.004089;23.352302;0.818231;
30.008185;23.353146;0.818203;
30.016377;23.354833;0.818146;
30.032761;23.358202;0.818033;
30.065529;23.364923;0.817807;
30.131065;23.378299;0.817354;
30.262137;23.404790;0.816452;
30.382033;23.428549;0.815629;
30.382033;23.428611;0.815632;
30.382034;23.428613;0.815632;
30.382036;23.428613;0.815632;
30.382040;23.428613;0.815632;
30.382048;23.428613;0.815632;
30.382064;23.428613;0.815632;
30.382096;23.428613;0.815632;
30.382160;23.428613;0.815632;
30.382288;23.428613;0.815632;
30.382544;23.428613;0.815632;
30.383056;23.428613;0.815632;
30.384080;23.428613;0.815632;
30.386128;23.428613;0.815632;
30.390224;23.428613;0.815632;
30.398416;23.428613;0.815632;
30.414800;23.428613;0.815632;
30.447568;23.428613;0.815632;
30.513104;23.428613;0.815632;
30.644176;23.428613;0.815632;
30.906320;23.428613;0.815632;
31.430608;23.428613;0.815632;
31.954896;23.428613;0.815632;
32.479184;23.428613;0.815632;
33.003472;23.428613;0.815632;
33.527760;23.428613;0.815632;
34.576336;23.428613;0.815632;
35.520054;23.428613;0.815632;
36.463773;23.428613;0.815632;
37.407491;23.428613;0.815632;
38.351209;23.428613;0.815632;
39.294928;23.428613;0.815632;
40.238646;23.428613;0.815632;
41.182365;23.428613;0.815632;
42.126083;23.428613;0.815632;
43.069801;23.428613;0.815632;
44.013520;23.428613;0.815632;
44.957238;23.428613;0.815632;
45.900957;23.428613;0.815632;
47.788393;23.428613;0.815632;
49.487086;23.428613;0.815632;
51.185780;23.428613;0.815632;
52.884473;23.428613;0.815632;
54.583166;23.428613;0.815632;
56.281859;23.428613;0.815632;
57.980552;23.428613;0.815632;
59.679245;23.428613;0.815632;
63.076631;23.428613;0.815632;
66.474018;23.428613;0.815632;
69.871404;23.428613;0.815632;
73.268790;23.428613;0.815632;
76.666176;23.428613;0.815632;
83.460949;23.428613;0.815632;
90.255721;23.428613;0.815632;
97.050494;23.428613;0.815632;
107.050494;23.428613;0.815632;
117.050494;23.428613;0.815632;
127.050494;23.428613;0.815632;
137.050494;23.428613;0.815632;
147.050494;23.428613;0.815632;
157.050494;23.428613;0.815632;
167.050494;23.428613;0.815632;
177.050494;23.428613;0.815632;
187.050494;23.428613;0.815632;
197.050494;23.428613;0.815632;
207.050494;23.428613;0.815632;
217.050494;23.428613;0.815632;
227.050494;23.428613;0.815632;
237.050494;23.428613;0.815632;
247.050494;23.428613;0.815632;
257.050494;23.428613;0.815632;
267.050494;23.428613;0.815632;
277.050494;23.428613;0.815632;
287.050494;23.428613;0.815632;
297.050494;23.428613;0.815632;
300.000000;23.428613;0.815632;
