time;Load__10_load_PPu;Load__10_load_QPu;Load__10_load_UPu;Generator___1_generator_PGenPu;Generator___1_generator_QGenPu;Shunt_shunt_section_value;Shunt_shunt_QPu;Shunt_shunt_BPu;Shunt_regulation_UMonitoredPu;Shunt_regulation_URefPu_value;
0.000000;29.450748;0.000000;0.964667;29.853295;7.447932;0.000000;-0.930582;1.000000;0.964667;0.964667;
10.000000;29.450748;0.000000;0.964667;29.853295;7.447932;0.000000;-0.930582;1.000000;0.964667;0.964667;
20.000000;29.450748;0.000000;0.964667;29.853295;7.447932;0.000000;-0.930582;1.000000;0.964667;0.964667;
30.000000;29.450748;0.000000;0.964667;29.853295;7.447932;0.000000;-0.930582;1.000000;0.964667;0.964667;
30.000000;26.239421;0.000000;0.893202;26.709102;13.488095;3.000000;-3.989068;5.000000;0.893201;0.964667;
40.000000;26.942363;0.000000;0.859554;27.474811;16.125264;3.000000;-3.694161;5.000000;0.859555;0.964667;
40.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
50.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
60.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
70.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
80.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
90.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
100.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
110.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
120.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
130.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
140.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
150.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
160.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
170.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
180.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
190.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
200.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
210.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
220.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
230.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
240.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
250.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
260.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
270.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
280.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
290.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
300.000000;27.484349;0.000000;0.907228;27.991069;13.508890;4.000000;-5.349905;6.500000;0.907228;0.964667;
