time;WTG4B_WTG4B_injector_PInjPu;WTG4B_WTG4B_injector_QInjPu;WTG4B_WTG4B_injector_terminal_V_re;WTG4B_WTG4B_injector_terminal_i_re;WTG4B_WTG4B_injector_terminal_V_im;WTG4B_WTG4B_injector_terminal_i_im;WTG4B_WTG4B_pll_omegaPLLPu;
0.000000;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.000001;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.000002;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.000004;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.000008;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.000016;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.000032;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.000064;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.000128;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.000256;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.000512;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.001024;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.002048;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.004096;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.006144;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.010240;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.013926;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.017613;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.021299;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.024986;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.028672;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.032358;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.039731;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.047104;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.054477;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.061850;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.076595;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.106086;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.165069;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.283034;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.518963;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
0.990822;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
1.000000;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;
1.000000;0.819005;0.313505;1.200009;-0.700000;0.105006;0.199999;0.948277;
1.000001;0.819001;0.313516;1.200011;-0.699997;0.105006;0.200008;0.948333;
1.000002;0.818997;0.313527;1.200012;-0.699993;0.105005;0.200018;0.948390;
1.000004;0.818989;0.313550;1.200015;-0.699986;0.105004;0.200037;0.948502;
1.000008;0.818973;0.313594;1.200021;-0.699973;0.105002;0.200076;0.948726;
1.000016;0.818942;0.313682;1.200032;-0.699946;0.104998;0.200152;0.949171;
1.000032;0.818879;0.313855;1.200055;-0.699892;0.104990;0.200302;0.950050;
1.000064;0.818755;0.314189;1.200098;-0.699786;0.104974;0.200591;0.951763;
1.000128;0.818517;0.314811;1.200179;-0.699583;0.104944;0.201132;0.955017;
1.000256;0.818073;0.315889;1.200320;-0.699204;0.104887;0.202072;0.960897;
1.000384;0.817668;0.316764;1.200436;-0.698857;0.104835;0.202842;0.966013;
1.000640;0.816946;0.318023;1.200605;-0.698240;0.104742;0.203970;0.974418;
1.000870;0.816379;0.318672;1.200696;-0.697755;0.104670;0.204580;0.980192;
1.001101;0.815869;0.318962;1.200743;-0.697320;0.104604;0.204889;0.984651;
1.001331;0.815398;0.318967;1.200754;-0.696917;0.104544;0.204962;0.988090;
1.001561;0.814951;0.318748;1.200737;-0.696535;0.104487;0.204849;0.990737;
1.001792;0.814517;0.318352;1.200698;-0.696164;0.104431;0.204590;0.992773;
1.002022;0.814089;0.317814;1.200642;-0.695798;0.104376;0.204215;0.994336;
1.002253;0.813661;0.317165;1.200572;-0.695432;0.104321;0.203750;0.995536;
1.002425;0.813337;0.316621;1.200513;-0.695155;0.104280;0.203355;0.996250;
1.002426;0.813335;0.316618;1.200512;-0.695154;0.104279;0.203353;0.996254;
1.002427;0.813333;0.316614;1.200512;-0.695152;0.104279;0.203350;0.996258;
1.002429;0.813329;0.316608;1.200511;-0.695149;0.104279;0.203346;0.996265;
1.002433;0.813322;0.316594;1.200510;-0.695142;0.104278;0.203336;0.996279;
1.002441;0.813307;0.316568;1.200507;-0.695129;0.104276;0.203316;0.996308;
1.002457;0.813276;0.316514;1.200501;-0.695103;0.104272;0.203277;0.996364;
1.002489;0.813216;0.316405;1.200489;-0.695052;0.104264;0.203198;0.996473;
1.002553;0.813094;0.316185;1.200465;-0.694948;0.104248;0.203036;0.996681;
1.002681;0.812848;0.315728;1.200415;-0.694737;0.104217;0.202701;0.997054;
1.002937;0.812345;0.314766;1.200308;-0.694308;0.104152;0.201992;0.997661;
1.003449;0.811291;0.312692;1.200078;-0.693406;0.104017;0.200458;0.998479;
1.003490;0.811202;0.312517;1.200059;-0.693331;0.104006;0.200329;0.998528;
1.003491;0.811200;0.312513;1.200058;-0.693329;0.104006;0.200326;0.998529;
1.003492;0.811198;0.312508;1.200058;-0.693327;0.104005;0.200323;0.998530;
1.003494;0.811194;0.312500;1.200057;-0.693324;0.104005;0.200316;0.998532;
1.003498;0.811185;0.312483;1.200055;-0.693316;0.104004;0.200303;0.998536;
1.003506;0.811168;0.312448;1.200051;-0.693302;0.104002;0.200278;0.998544;
1.003522;0.811134;0.312379;1.200043;-0.693272;0.103997;0.200226;0.998559;
1.003554;0.811065;0.312239;1.200028;-0.693214;0.103988;0.200122;0.998588;
1.003618;0.810926;0.311952;1.199996;-0.693095;0.103971;0.199909;0.998643;
1.003746;0.810644;0.311356;1.199929;-0.692853;0.103934;0.199466;0.998742;
1.004002;0.810060;0.310077;1.199786;-0.692354;0.103859;0.198510;0.998899;
1.004514;0.808819;0.307210;1.199463;-0.691294;0.103700;0.196357;0.999099;
1.005026;0.807488;0.303977;1.199097;-0.690156;0.103530;0.193917;0.999193;
1.006050;0.804596;0.296679;1.198267;-0.687685;0.103159;0.188387;0.999247;
1.007074;0.801445;0.288496;1.197334;-0.684992;0.102755;0.182163;0.999207;
1.008098;0.798097;0.279709;1.196328;-0.682130;0.102326;0.175461;0.999147;
1.009122;0.794610;0.270549;1.195278;-0.679149;0.101879;0.168461;0.999096;
1.010146;0.791033;0.261210;1.194206;-0.676093;0.101420;0.161312;0.999060;
1.011170;0.787411;0.251845;1.193129;-0.672997;0.100956;0.154134;0.999038;
1.012194;0.783780;0.242581;1.192062;-0.669893;0.100491;0.147025;0.999026;
