time;SM_gen_cePu;SM_gen_PePu;SM_gen_cmPu;SM_gen_PmPu;SM_gen_ufPu;SM_gen_efdPu;SM_gen_omegaPu;SM_gen_theta;SM_gen_PGenPu;SM_gen_QGenPu;SM_gen_PGen;SM_gen_QGen;SM_gen_UPu;SM_gen_IStatorPu;SM_gen_IRotorPu;SM_gen_UStatorPu;SM_gen_QStatorPu;SM_gen_thetaInternal;
0;0.902956;0.902956;0.903;0.903;0.00105886;2.42074;1;1.224;19.979;9.67901;1997.9;967.901;1.00001;22.1998;2.42068;1.00001;9.67901;0.729542;
0.001;0.902956;0.902956;0.903;0.903;0.00105881;2.42062;1;1.224;19.979;9.67902;1997.9;967.902;1.00001;22.1998;2.42068;1.00001;9.67902;0.729542;
0.002;0.902957;0.902957;0.903;0.903;0.00105876;2.4205;1;1.224;19.979;9.67902;1997.9;967.902;1.00001;22.1998;2.42068;1.00001;9.67902;0.729542;
0.004;0.902957;0.902957;0.903;0.903;0.00105866;2.42029;1;1.224;19.979;9.67903;1997.9;967.903;1.00001;22.1998;2.42068;1.00001;9.67903;0.729542;
0.008;0.902958;0.902958;0.903;0.903;0.00105851;2.41994;1;1.224;19.9791;9.67905;1997.91;967.905;1.00001;22.1998;2.42067;1.00001;9.67905;0.729542;
0.016;0.902958;0.902958;0.903;0.903;0.00105832;2.41949;1;1.224;19.9791;9.67907;1997.91;967.907;1.00002;22.1998;2.42066;1.00002;9.67907;0.729541;
0.032;0.902959;0.902959;0.903;0.903;0.00105819;2.4192;1;1.224;19.9791;9.67907;1997.91;967.907;1.00002;22.1999;2.42063;1.00002;9.67907;0.729542;
0.064;0.902959;0.902959;0.903;0.903;0.00105834;2.41954;1;1.22401;19.9791;9.67902;1997.91;967.902;1.00001;22.1999;2.42061;1.00001;9.67902;0.729544;
0.128;0.90297;0.902971;0.903;0.903;0.00105875;2.42048;1;1.22402;19.9793;9.67905;1997.93;967.905;1.00001;22.2002;2.42063;1.00001;9.67905;0.729549;
0.256;0.902996;0.902997;0.903;0.903;0.0010588;2.4206;1;1.22405;19.9799;9.67917;1997.99;967.917;1.00001;22.2008;2.42068;1.00001;9.67917;0.72956;
0.512;0.903011;0.903012;0.903;0.903;0.00105874;2.42045;1;1.22407;19.9802;9.67907;1998.02;967.907;1;22.2012;2.4207;1;9.67907;0.729573;
0.64;0.903011;0.903011;0.903;0.903;0.00105874;2.42046;1;1.22408;19.9802;9.67898;1998.02;967.898;0.999999;22.2012;2.42069;0.999999;9.67898;0.729577;
0.896;0.903004;0.903004;0.903;0.903;0.0010588;2.42059;1;1.22408;19.9801;9.67887;1998.01;967.887;0.999999;22.201;2.42068;0.999999;9.67887;0.729578;
1;0.903004;0.903004;0.903;0.903;0.0010588;2.42061;1;1.22408;19.9801;9.67887;1998.01;967.887;0.999999;22.201;2.42068;0.999999;9.67887;0.729578;
1.00006;0.0253064;0.0253066;0.902993;0.903;0.00129416;2.95868;1.00001;1.22408;-4.12153e-07;28.0622;-4.12153e-05;2806.22;0.435224;64.4777;3.72055;0.435224;28.0622;0.509082;
1.00012;0.0252856;0.025286;0.902987;0.903;0.0015034;3.43703;1.00001;1.22408;-2.31098e-07;28.0394;-2.31098e-05;2803.94;0.435047;64.4514;3.72219;0.435047;28.0394;0.508745;
