model;variable;value;
Generator;generator_UPu;0.9999998678;
Generator;generator_PGen;7.0596989221;
Generator;generator_QGen;1.5937062556;
Generator;generator_PGenPu;0.0705969892;
Generator;generator_QGenPu;0.0159370626;
NETWORK;Transformer_i1_value;0.0410202215;
NETWORK;Transformer_i2_value;0.0410288318;
NETWORK;Transformer_P1_value;-0.0404187929;
NETWORK;Transformer_P2_value;0.0405969932;
NETWORK;Transformer_Q1_value;-0.0051052464;
NETWORK;Transformer_Q2_value;0.0059370651;
NETWORK;Transformer_iS1ToS2Side1_value;-2368.3035943619;
NETWORK;Transformer_iS2ToS1Side1_value;2368.3035943619;
NETWORK;Transformer_iS1ToS2Side2_value;-2368.8007111374;
NETWORK;Transformer_iS2ToS1Side2_value;2368.8007111374;
NETWORK;Transformer_iSide1_value;2368.3035943619;
NETWORK;Transformer_iSide2_value;2368.8007111374;
