time;Model_TEST_u;Model_TEST_v;Model_TEST_x;Model_TEST_y;
0.000000;2.000000;1.000000;1.000000;2.000000;
0.100000;1.900000;0.900000;1.090000;1.710000;
0.200000;1.800000;0.800000;1.160000;1.440000;
0.300000;1.700000;0.700000;1.210000;1.190000;
0.400000;1.600000;0.600000;1.240000;0.960000;
0.500000;1.500000;0.500000;1.250000;0.750000;
0.600000;1.400000;0.400000;1.240000;0.560000;
0.700000;1.300000;0.300000;1.210000;0.390000;
0.800000;1.200000;0.200000;1.160000;0.240000;
0.900000;1.100000;0.100000;1.090000;0.110000;
1.000000;1.000000;0.000000;1.000000;0.000000;
1.100000;0.900000;-0.100000;0.890000;-0.090000;
1.200000;0.800000;-0.200000;0.760000;-0.160000;
1.300000;0.700000;-0.300000;0.610000;-0.210000;
1.400000;0.600000;-0.400000;0.440000;-0.240000;
1.500000;0.500000;-0.500000;0.250000;-0.250000;
1.600000;0.400000;-0.600000;0.040000;-0.240000;
1.700000;0.300000;-0.700000;-0.190000;-0.210000;
1.800000;0.200000;-0.800000;-0.440000;-0.160000;
1.900000;0.100000;-0.900000;-0.710000;-0.090000;
2.000000;0.000000;-1.000000;-1.000000;-0.000000;
2.100000;-0.100000;-1.100000;-1.310000;0.110000;
2.200000;-0.200000;-1.200000;-1.640000;0.240000;
2.300000;-0.300000;-1.300000;-1.990000;0.390000;
2.400000;-0.400000;-1.400000;-2.360000;0.560000;
2.500000;-0.500000;-1.500000;-2.750000;0.750000;
2.600000;-0.600000;-1.600000;-3.160000;0.960000;
2.700000;-0.700000;-1.700000;-3.590000;1.190000;
2.800000;-0.800000;-1.800000;-4.040000;1.440000;
2.900000;-0.900000;-1.900000;-4.510000;1.710000;
3.000000;-1.000000;-2.000000;-5.000000;2.000000;
3.100000;-1.100000;-2.100000;-5.510000;2.310000;
3.200000;-1.200000;-2.200000;-6.040000;2.640000;
3.300000;-1.300000;-2.300000;-6.590000;2.990000;
3.400000;-1.400000;-2.400000;-7.160000;3.360000;
3.500000;-1.500000;-2.500000;-7.750000;3.750000;
3.600000;-1.600000;-2.600000;-8.360000;4.160000;
3.700000;-1.700000;-2.700000;-8.990000;4.590000;
3.800000;-1.800000;-2.800000;-9.640000;5.040000;
3.900000;-1.900000;-2.900000;-10.310000;5.510000;
4.000000;-2.000000;-3.000000;-11.000000;6.000000;
4.100000;-2.100000;-3.100000;-11.710000;6.510000;
4.200000;-2.200000;-3.200000;-12.440000;7.040000;
4.300000;-2.300000;-3.300000;-13.190000;7.590000;
4.400000;-2.400000;-3.400000;-13.960000;8.160000;
4.500000;-2.500000;-3.500000;-14.750000;8.750000;
4.600000;-2.600000;-3.600000;-15.560000;9.360000;
4.700000;-2.700000;-3.700000;-16.390000;9.990000;
4.800000;-2.800000;-3.800000;-17.240000;10.640000;
4.900000;-2.900000;-3.900000;-18.110000;11.310000;
5.000000;-3.000000;-4.000000;-19.000000;12.000000;
5.100000;-3.100000;-4.100000;-19.910000;12.710000;
5.200000;-3.200000;-4.200000;-20.840000;13.440000;
5.300000;-3.300000;-4.300000;-21.790000;14.190000;
5.400000;-3.400000;-4.400000;-22.760000;14.960000;
5.500000;-3.500000;-4.500000;-23.750000;15.750000;
5.600000;-3.600000;-4.600000;-24.760000;16.560000;
5.700000;-3.700000;-4.700000;-25.790000;17.390000;
5.800000;-3.800000;-4.800000;-26.840000;18.240000;
5.900000;-3.900000;-4.900000;-27.910000;19.110000;
6.000000;-4.000000;-5.000000;-29.000000;20.000000;
6.100000;-4.100000;-5.100000;-30.110000;20.910000;
6.200000;-4.200000;-5.200000;-31.240000;21.840000;
6.300000;-4.300000;-5.300000;-32.390000;22.790000;
6.400000;-4.400000;-5.400000;-33.560000;23.760000;
6.500000;-4.500000;-5.500000;-34.750000;24.750000;
6.600000;-4.600000;-5.600000;-35.960000;25.760000;
6.700000;-4.700000;-5.700000;-37.190000;26.790000;
6.800000;-4.800000;-5.800000;-38.440000;27.840000;
6.900000;-4.900000;-5.900000;-39.710000;28.910000;
7.000000;-5.000000;-6.000000;-41.000000;30.000000;
7.100000;-5.100000;-6.100000;-42.310000;31.110000;
7.200000;-5.200000;-6.200000;-43.640000;32.240000;
7.300000;-5.300000;-6.300000;-44.990000;33.390000;
7.400000;-5.400000;-6.400000;-46.360000;34.560000;
7.500000;-5.500000;-6.500000;-47.750000;35.750000;
7.600000;-5.600000;-6.600000;-49.160000;36.960000;
7.700000;-5.700000;-6.700000;-50.590000;38.190000;
7.800000;-5.800000;-6.800000;-52.040000;39.440000;
7.900000;-5.900000;-6.900000;-53.510000;40.710000;
8.000000;-6.000000;-7.000000;-55.000000;42.000000;
8.100000;-6.100000;-7.100000;-56.510000;43.310000;
8.200000;-6.200000;-7.200000;-58.040000;44.640000;
8.300000;-6.300000;-7.300000;-59.590000;45.990000;
8.400000;-6.400000;-7.400000;-61.160000;47.360000;
8.500000;-6.500000;-7.500000;-62.750000;48.750000;
8.600000;-6.600000;-7.600000;-64.360000;50.160000;
8.700000;-6.700000;-7.700000;-65.990000;51.590000;
8.800000;-6.800000;-7.800000;-67.640000;53.040000;
8.900000;-6.900000;-7.900000;-69.310000;54.510000;
