time;Load__10_load_PPu;Load__10_load_UPu;
0.000000;29.450358;0.955158;
10.000000;29.450358;0.955158;
20.000000;29.450358;0.955158;
30.000000;29.450358;0.955158;
30.000000;23.351464;0.818259;
40.000000;24.563704;0.759778;
40.000000;23.428546;0.815632;
50.000000;23.428613;0.815632;
60.000000;23.428613;0.815632;
70.000000;23.428613;0.815632;
80.000000;23.428613;0.815632;
90.000000;23.428613;0.815632;
100.000000;23.428613;0.815632;
110.000000;23.428613;0.815632;
120.000000;23.428613;0.815632;
130.000000;23.428613;0.815632;
140.000000;23.428613;0.815632;
150.000000;23.428613;0.815632;
160.000000;23.428613;0.815632;
170.000000;23.428613;0.815632;
180.000000;23.428613;0.815632;
190.000000;23.428613;0.815632;
200.000000;23.428613;0.815632;
210.000000;23.428613;0.815632;
220.000000;23.428613;0.815632;
230.000000;23.428613;0.815632;
240.000000;23.428613;0.815632;
250.000000;23.428613;0.815632;
260.000000;23.428613;0.815632;
270.000000;23.428613;0.815632;
280.000000;23.428613;0.815632;
290.000000;23.428613;0.815632;
300.000000;23.428613;0.815632;
