time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.010698;4.805521;1.011708;1.000000;
0.000001;1.010698;4.805521;1.011708;1.000000;
0.000002;1.010698;4.805521;1.011708;1.000000;
0.000004;1.010698;4.805521;1.011708;1.000000;
0.000008;1.010698;4.805521;1.011708;1.000000;
0.000016;1.010698;4.805521;1.011708;1.000000;
0.000032;1.010698;4.805521;1.011708;1.000000;
0.000064;1.010698;4.805521;1.011708;1.000000;
0.000128;1.010698;4.805521;1.011708;1.000000;
0.000256;1.010698;4.805521;1.011708;1.000000;
0.000512;1.010698;4.805521;1.011708;1.000000;
0.001024;1.010698;4.805520;1.011708;1.000000;
0.002048;1.010697;4.805520;1.011708;1.000000;
0.004096;1.010697;4.805518;1.011708;1.000000;
0.008192;1.010697;4.805515;1.011708;1.000000;
0.016384;1.010696;4.805511;1.011708;1.000000;
0.032768;1.010696;4.805506;1.011708;1.000000;
0.065536;1.010697;4.805513;1.011708;1.000000;
0.083353;1.010697;4.805520;1.011708;1.000000;
0.083354;1.010697;4.805520;1.011708;1.000000;
0.083355;1.010697;4.805520;1.011708;1.000000;
0.083357;1.010697;4.805520;1.011708;1.000000;
0.083361;1.010697;4.805520;1.011708;1.000000;
0.083369;1.010697;4.805520;1.011708;1.000000;
0.083385;1.010697;4.805520;1.011708;1.000000;
0.083417;1.010697;4.805520;1.011708;1.000000;
0.083481;1.010697;4.805520;1.011708;1.000000;
0.083609;1.010697;4.805520;1.011708;1.000000;
0.083865;1.010697;4.805520;1.011708;1.000000;
0.084377;1.010698;4.805520;1.011708;1.000000;
0.085401;1.010698;4.805521;1.011708;1.000000;
0.087449;1.010698;4.805521;1.011708;1.000000;
0.091545;1.010698;4.805523;1.011708;1.000000;
0.099737;1.010698;4.805526;1.011708;1.000000;
0.100000;1.010698;4.805526;1.011708;1.000000;
0.100000;1.005393;4.983595;1.011708;1.000000;
0.100001;1.005393;4.983600;1.011708;1.000000;
0.100002;1.005393;4.983600;1.011708;1.000000;
0.100004;1.005393;4.983599;1.011708;1.000000;
0.100008;1.005393;4.983598;1.011708;1.000000;
0.100009;1.005393;4.983597;1.011708;1.000000;
0.100010;1.005393;4.983597;1.011708;1.000000;
0.100012;1.005393;4.983597;1.011708;1.000000;
0.100016;1.005393;4.983595;1.011708;1.000000;
0.100024;1.005392;4.983593;1.011708;1.000000;
0.100040;1.005392;4.983588;1.011708;1.000000;
0.100072;1.005391;4.983578;1.011708;1.000000;
0.100098;1.005390;4.983570;1.011709;1.000000;
0.100099;1.005390;4.983570;1.011709;1.000000;
0.100100;1.005390;4.983570;1.011709;1.000000;
0.100102;1.005390;4.983569;1.011709;1.000000;
0.100106;1.005390;4.983568;1.011709;1.000000;
0.100114;1.005389;4.983565;1.011709;1.000000;
0.100130;1.005389;4.983560;1.011709;1.000000;
0.100162;1.005388;4.983551;1.011709;1.000000;
0.100226;1.005386;4.983531;1.011709;0.999999;
0.100354;1.005382;4.983492;1.011709;0.999999;
0.100610;1.005373;4.983413;1.011710;0.999998;
0.101122;1.005357;4.983255;1.011712;0.999995;
0.102146;1.005323;4.982938;1.011716;0.999991;
0.104194;1.005256;4.982306;1.011723;0.999982;
0.108290;1.005125;4.981076;1.011738;0.999964;
0.112386;1.005004;4.979928;1.011753;0.999946;
0.116482;1.004895;4.978903;1.011767;0.999928;
0.120578;1.004803;4.978034;1.011781;0.999910;
0.124674;1.004730;4.977350;1.011796;0.999893;
0.128770;1.004679;4.976870;1.011810;0.999875;
0.136962;1.004697;4.977039;1.011837;0.999840;
0.144024;1.004785;4.977863;1.011861;0.999810;
0.151085;1.004946;4.979386;1.011884;0.999779;
0.158147;1.005171;4.981508;1.011907;0.999748;
0.172270;1.005748;4.986950;1.011954;0.999685;
0.186393;1.006508;4.994117;1.012000;0.999621;
0.200516;1.007408;5.002622;1.012047;0.999553;
0.217836;1.008602;5.013907;1.012105;0.999466;
0.235156;1.009792;5.025170;1.012163;0.999374;
0.252476;1.010875;5.035432;1.012221;0.999277;
0.269796;1.011767;5.043889;1.012278;0.999177;
0.287116;1.012410;5.049990;1.012334;0.999074;
0.304436;1.012776;5.053465;1.012387;0.998969;
0.321756;1.012883;5.054477;1.012436;0.998863;
0.339076;1.012740;5.053123;1.012482;0.998757;
0.356396;1.012396;5.049852;1.012523;0.998653;
0.391036;1.011369;5.040107;1.012588;0.998450;
0.425676;1.010233;5.029347;1.012633;0.998255;
0.454952;1.009443;5.021859;1.012658;0.998097;
0.481301;1.009010;5.017763;1.012672;0.997958;
0.496136;1.008953;5.017223;1.012676;0.997881;
0.510971;1.008993;5.017607;1.012680;0.997804;
0.525806;1.009114;5.018749;1.012683;0.997727;
0.555476;1.009477;5.022181;1.012690;0.997570;
0.585146;1.010008;5.027237;1.012698;0.997411;
0.615290;1.010443;5.031331;1.012709;0.997246;
0.645433;1.010817;5.034878;1.012722;0.997077;
0.675576;1.011015;5.036750;1.012739;0.996907;
0.705719;1.011024;5.036840;1.012758;0.996737;
0.735863;1.010881;5.035477;1.012779;0.996566;
0.766006;1.010648;5.033268;1.012803;0.996397;
0.804263;1.010371;5.030662;1.012838;0.996185;
0.842521;1.010169;5.028749;1.012879;0.995976;
0.880778;1.010147;5.028566;1.012928;0.995767;
0.919035;1.010240;5.029468;1.012987;0.995558;
0.957293;1.010370;5.030689;1.013058;0.995350;
1.033808;1.010508;5.031953;1.013240;0.994930;
1.095951;1.010641;5.033235;1.013427;0.994588;
1.158095;1.010634;5.033144;1.013649;0.994246;
1.220239;1.010513;5.031930;1.013907;0.993907;
1.282382;1.010325;5.030044;1.014200;0.993572;
1.344526;1.010076;5.027524;1.014527;0.993243;
1.406670;1.009731;5.023985;1.014890;0.992921;
1.468813;1.009231;5.018921;1.015285;0.992608;
1.479604;1.009199;5.019558;1.015357;0.992554;
1.501186;1.009091;5.018536;1.015505;0.992448;
1.520610;1.009155;5.019139;1.015644;0.992352;
1.540034;1.009340;5.020886;1.015787;0.992257;
1.555239;1.009544;5.022820;1.015903;0.992181;
1.570445;1.009794;5.025198;1.016021;0.992105;
1.585650;1.010055;5.027673;1.016142;0.992028;
1.616061;1.010481;5.031698;1.016391;0.991873;
1.643031;1.010835;5.035047;1.016621;0.991733;
1.670001;1.011076;5.037321;1.016858;0.991593;
1.696971;1.011168;5.038184;1.017103;0.991452;
1.723941;1.011122;5.037728;1.017353;0.991312;
1.750911;1.010964;5.036212;1.017610;0.991174;
1.804851;1.010596;5.032784;1.018136;0.990903;
1.843470;1.010428;5.031203;1.018531;0.990715;
1.874310;1.010408;5.031029;1.018853;0.990566;
1.905149;1.010380;5.030747;1.019182;0.990418;
1.935989;1.010446;5.031374;1.019519;0.990272;
1.997669;1.010589;5.032716;1.020211;0.989980;
2.053180;1.010702;5.033796;1.020857;0.989719;
2.108691;1.010743;5.034211;1.021525;0.989462;
2.164203;1.010714;5.033901;1.022214;0.989210;
2.201623;1.010675;5.033529;1.022690;0.989043;
2.276462;1.010614;5.032950;1.023666;0.988715;
2.351301;1.010608;5.032912;1.024677;0.988397;
2.426140;1.010644;5.033237;1.025720;0.988087;
2.500979;1.010682;5.033599;1.026793;0.987787;
2.650658;1.010707;5.033861;1.029022;0.987215;
2.785368;1.010709;5.033980;1.031111;0.986734;
2.852723;1.010696;5.033732;1.032182;0.986506;
2.987434;1.010706;5.033870;1.034368;0.986077;
3.122144;1.010735;5.034310;1.036604;0.985682;
3.189499;1.010727;5.034030;1.037738;0.985498;
3.324210;1.010739;5.034246;1.040029;0.985158;
3.458920;1.010771;5.034868;1.042344;0.984854;
3.593631;1.010763;5.034524;1.044672;0.984588;
3.660986;1.010741;5.034167;1.045838;0.984469;
3.795697;1.010766;5.034627;1.048166;0.984259;
3.930407;1.010773;5.034563;1.050484;0.984087;
4.065118;1.010792;5.034973;1.052782;0.983952;
4.132473;1.010762;5.034371;1.053922;0.983899;
4.267183;1.010792;5.035002;1.056175;0.983818;
4.401894;1.010794;5.034816;1.058389;0.983775;
4.536604;1.010814;5.035285;1.060556;0.983766;
4.603960;1.010747;5.034423;1.061612;0.983780;
4.637637;1.010761;5.034391;1.062137;0.983789;
4.704992;1.010755;5.034608;1.063171;0.983815;
4.738670;1.010767;5.034444;1.063684;0.983831;
4.806025;1.010760;5.034649;1.064693;0.983869;
4.839703;1.010770;5.034477;1.065194;0.983891;
4.907058;1.010762;5.034659;1.066178;0.983942;
4.940736;1.010771;5.034482;1.066665;0.983969;
5.008091;1.010762;5.034655;1.067621;0.984032;
5.041769;1.010771;5.034481;1.068095;0.984065;
5.109124;1.010763;5.034651;1.069023;0.984139;
5.142802;1.010771;5.034483;1.069482;0.984178;
5.210157;1.010764;5.034648;1.070380;0.984263;
5.243834;1.010772;5.034485;1.070823;0.984308;
5.311190;1.010764;5.034642;1.071690;0.984403;
5.344867;1.010772;5.034484;1.072118;0.984453;
5.412223;1.010765;5.034633;1.072953;0.984559;
5.445900;1.010772;5.034482;1.073365;0.984613;
5.513255;1.010765;5.034621;1.074167;0.984729;
5.546933;1.010771;5.034477;1.074562;0.984789;
5.614288;1.010765;5.034608;1.075329;0.984914;
5.647966;1.010771;5.034471;1.075708;0.984978;
5.715321;1.010765;5.034593;1.076441;0.985112;
5.748999;1.010770;5.034463;1.076801;0.985181;
5.816354;1.010765;5.034576;1.077499;0.985324;
5.850032;1.010770;5.034454;1.077842;0.985397;
5.917387;1.010765;5.034557;1.078504;0.985548;
6.052097;1.010751;5.034356;1.079730;0.985870;
6.085775;1.010776;5.034568;1.080031;0.985952;
6.153130;1.010775;5.034625;1.080608;0.986119;
6.287841;1.010756;5.034389;1.081662;0.986473;
6.321518;1.010771;5.034506;1.081919;0.986562;
6.388874;1.010768;5.034527;1.082410;0.986745;
6.523584;1.010755;5.034358;1.083290;0.987124;
6.557262;1.010764;5.034428;1.083504;0.987220;
6.624617;1.010762;5.034444;1.083908;0.987415;
6.759327;1.010738;5.034557;1.084616;0.987815;
6.894038;1.010754;5.034362;1.085227;0.988226;
7.028748;1.010753;5.034339;1.085742;0.988644;
7.163459;1.010763;5.034382;1.086194;0.989068;
7.211028;1.011277;5.039482;1.086334;0.989219;
7.211028;1.010760;5.034335;1.086334;0.989219;
7.211029;1.010760;5.034335;1.086334;0.989219;
