time;svarc_SVarC_UPu;svarc_SVarC_URegulatedPu;svarc_SVarC_BPu;svarc_SVarC_QInjPu;svarc_SVarC_modeHandling_mode;svarc_SVarC_modeHandling_URefPu;load_load_UPu_value;
0.000000;1.000226;0.999409;0.059051;0.059079;3.000000;1.000000;0.999409;
10.000000;1.000226;0.999409;0.059051;0.059079;3.000000;1.000000;0.999409;
10.000000;1.028998;1.013806;1.067800;1.130630;3.000000;1.044444;1.013806;
20.000000;1.028998;1.013805;1.067800;1.130626;3.000000;1.044444;1.013805;
20.000000;1.025722;1.012166;0.955788;1.005584;3.000000;1.022222;1.012166;
30.000000;1.025722;1.012166;0.955788;1.005590;3.000000;1.022222;1.012166;
