time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;SM_voltageRegulator_UOelPu;SM_overExcitationLimiter_inputPu;SM_overExcitationLimiter_Input0Pu;SM_overExcitationLimiter_add3_u1;SM_overExcitationLimiter_add3_u2;SM_overExcitationLimiter_add3_u3;SM_overExcitationLimiter_or1_u1;SM_overExcitationLimiter_or1_u2;SM_overExcitationLimiter_or1_y;SM_overExcitationLimiter_K;SM_overExcitationLimiter_KScale1;SM_overExcitationLimiter_KScale2;SM_overExcitationLimiter_greaterThreshold1_y;SM_overExcitationLimiter_power1_u;SM_overExcitationLimiter_limIntegrator_u;SM_overExcitationLimiter_limIntegrator_y;SM_overExcitationLimiter_limitedPI_u;SM_overExcitationLimiter_limitedPI1_u;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678807;0.892857;0.000000;2.678816;2.678811;-0.000000;0.980392;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980392;-0.039608;0.000000;0.000000;-0.000000;
0.000005;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678807;0.892857;0.000000;2.678816;2.678811;-0.000000;0.980392;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980392;-0.039608;-0.000000;0.000000;-0.000000;
0.000005;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678807;0.892857;0.000000;2.678816;2.678811;-0.000000;0.980392;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980392;-0.039608;-0.000000;0.000000;-0.000000;
0.015005;2.678817;4.309139;1.000000;4.000000;2.000027;0.781862;1.037829;2.678829;0.892857;0.000000;2.678817;2.678811;-0.000000;0.980395;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980395;-0.039605;-0.000000;0.000000;-0.000002;
0.030005;2.678818;4.309140;1.000000;4.000001;2.000025;0.781862;1.037828;2.678837;0.892857;0.000000;2.678818;2.678811;-0.000000;0.980395;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980395;-0.039605;-0.000000;0.000000;-0.000003;
0.060005;2.678820;4.309141;1.000000;4.000003;2.000024;0.781862;1.037828;2.678839;0.892857;0.000000;2.678820;2.678811;-0.000000;0.980395;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980395;-0.039605;-0.000000;0.000000;-0.000003;
0.120005;2.678821;4.309142;1.000000;4.000004;2.000023;0.781862;1.037828;2.678834;0.892857;0.000000;2.678821;2.678811;-0.000000;0.980396;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980396;-0.039604;-0.000000;0.000000;-0.000004;
0.240005;2.678822;4.309143;1.000000;4.000004;2.000026;0.781861;1.037828;2.678842;0.892857;0.000000;2.678822;2.678811;-0.000000;0.980396;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980396;-0.039604;-0.000000;0.000000;-0.000004;
0.480005;2.678826;4.309144;1.000000;4.000002;2.000037;0.781860;1.037829;2.678855;0.892857;0.000000;2.678826;2.678811;-0.000000;0.980398;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980398;-0.039602;-0.000000;0.000000;-0.000006;
0.960005;2.678834;4.309151;1.000000;4.000000;2.000061;0.781857;1.037829;2.678867;0.892857;0.000000;2.678834;2.678811;-0.000000;0.980401;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980401;-0.039599;-0.000000;0.000000;-0.000009;
1.000000;2.678834;4.309152;1.000000;4.000000;2.000062;0.781857;1.037829;2.678867;0.892857;0.000000;2.678834;2.678811;-0.000000;0.980401;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980401;-0.039599;-0.000000;0.000000;-0.000009;
1.000000;5.833704;22.210412;1.000000;0.000000;3.329791;0.781857;0.149920;0.386977;0.892857;0.000000;5.833704;2.678811;-0.000000;0.980401;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.980401;-0.039599;-0.000000;0.000000;-0.000009;
1.000000;5.833704;22.210410;1.000000;-0.000000;3.329791;0.781857;0.149920;0.386977;0.892857;0.000000;5.833704;2.678811;-0.000000;0.981455;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.981455;-0.038545;-0.000000;0.000000;-0.001084;
1.000000;5.833704;22.210409;1.000000;-0.000000;3.329790;0.781857;0.149920;0.386977;0.892857;0.000000;5.833704;2.678811;-0.000000;0.982508;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.982508;-0.037492;-0.000000;0.000000;-0.002159;
1.000000;5.833705;22.210405;1.000000;0.000000;3.329789;0.781857;0.149920;0.386976;0.892857;0.000000;5.833705;2.678811;-0.000000;0.984613;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.984613;-0.035387;-0.000000;0.000000;-0.004305;
1.000000;5.833706;22.210397;1.000000;0.000000;3.329787;0.781857;0.149920;0.386974;0.892857;0.000000;5.833706;2.678811;-0.000000;0.988810;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.988810;-0.031190;-0.000000;0.000000;-0.008586;
1.000000;5.833709;22.210382;1.000000;-0.000000;3.329782;0.781857;0.149920;0.386970;0.892857;0.000000;5.833709;2.678811;-0.000000;0.997160;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;0.997160;-0.022840;-0.000000;0.000000;-0.017103;
1.000000;5.833714;22.210351;1.000000;-0.000000;3.329773;0.781857;0.149920;0.386962;0.892857;0.000000;5.833714;2.678811;-0.000000;1.013678;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.013678;-0.006322;-0.000000;0.000000;-0.033952;
1.000000;5.833716;22.210339;1.000000;0.000000;3.329769;0.781857;0.149920;0.386959;0.892857;0.000000;5.833716;2.678811;-0.000000;1.020000;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.020000;-0.000000;-0.000000;0.000000;-0.040400;
1.000000;5.833716;22.210339;1.000000;0.000000;3.329769;0.781857;0.149920;0.386959;0.892857;0.000000;5.833716;2.678811;-0.000000;1.020000;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.020000;-0.000000;-0.000000;0.000000;-0.040400;
1.000000;5.833717;22.210337;1.000000;-0.000000;3.329769;0.781857;0.149920;0.386959;0.892857;0.000000;5.833717;2.678811;-0.000000;1.021061;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.021061;0.001061;-0.000000;0.000000;-0.041483;
1.000000;5.833717;22.210335;1.000000;-0.000000;3.329768;0.781857;0.149920;0.386958;0.892857;0.000000;5.833717;2.678811;-0.000000;1.022122;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.022122;0.002122;-0.000000;0.000000;-0.042564;
1.000000;5.833718;22.210331;1.000000;-0.000000;3.329767;0.781857;0.149920;0.386957;0.892857;0.000000;5.833718;2.678811;-0.000000;1.024240;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.024240;0.004240;-0.000000;0.000000;-0.044725;
1.000000;5.833719;22.210323;1.000000;-0.000000;3.329764;0.781857;0.149920;0.386955;0.892857;0.000000;5.833719;2.678811;-0.000000;1.028466;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.028466;0.008466;-0.000000;0.000000;-0.049035;
1.000000;5.833722;22.210307;1.000000;-0.000000;3.329760;0.781857;0.149920;0.386951;0.892857;0.000000;5.833722;2.678811;-0.000000;1.036868;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.036868;0.016868;-0.000000;0.000000;-0.057606;
1.000000;5.833727;22.210275;1.000000;-0.000000;3.329750;0.781857;0.149919;0.386944;0.892857;0.000000;5.833727;2.678811;-0.000000;1.053484;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.053484;0.033484;-0.000000;0.000000;-0.074554;
1.000001;5.833738;22.210210;1.000000;-0.000000;3.329731;0.781857;0.149919;0.386928;0.892857;0.000000;5.833738;2.678811;-0.000000;1.085972;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.085972;0.065972;-0.000000;0.000000;-0.107691;
1.000001;5.833760;22.210082;1.000000;-0.000000;3.329692;0.781857;0.149918;0.386896;0.892857;0.000000;5.833760;2.678811;-0.000000;1.148087;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.148087;0.128087;-0.000000;0.000000;-0.171048;
1.000003;5.833805;22.209825;1.000000;0.000000;3.329615;0.781857;0.149916;0.386833;0.892857;0.000000;5.833805;2.678811;0.000000;1.261776;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.261776;0.241776;0.000000;0.000000;-0.287012;
1.000003;5.833819;22.209743;1.000000;0.000000;3.329591;0.781857;0.149916;0.386813;0.892857;0.000000;5.833819;2.678811;0.000000;1.295092;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.295092;0.275092;0.000000;0.000000;-0.320994;
1.000003;5.833819;22.209743;1.000000;0.000000;3.329591;0.781857;0.149916;0.386813;0.892857;0.000000;5.833819;2.678811;0.000000;1.295092;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.295092;0.275092;0.000000;0.000000;-0.320994;
1.000003;5.833819;22.209743;1.000000;0.000000;3.329591;0.781857;0.149916;0.386813;0.892857;0.000000;5.833819;2.678811;0.000000;1.295092;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.295092;0.275092;0.000000;0.000000;-0.320994;
1.000004;5.833849;22.209568;1.000000;0.000000;3.329538;0.781857;0.149915;0.386770;0.892857;0.000000;5.833849;2.678811;0.000000;1.362493;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.362493;0.342493;0.000000;0.000000;-0.389743;
1.000004;5.833867;22.209463;1.000000;0.000000;3.329507;0.781857;0.149914;0.386744;0.892857;0.000000;5.833867;2.678811;0.000000;1.400000;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;-1.000000;1.400000;0.380000;0.000001;0.000000;-0.428000;
1.000004;5.833867;22.209463;1.000000;0.000000;3.329507;0.781857;0.149914;0.386744;0.892857;0.000000;5.833867;2.678811;0.000000;1.400000;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;1.000000;1.400000;0.380000;0.000001;0.000000;-0.428000;
1.000004;5.833867;22.209460;1.000000;0.000000;3.329506;0.781857;0.149914;0.386743;0.892857;0.000000;5.833867;2.678811;0.000000;1.401086;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;1.000000;1.401086;0.381086;0.000001;0.000000;-0.429107;
1.000004;5.833868;22.209457;1.000000;-0.000000;3.329505;0.781857;0.149914;0.386742;0.892857;0.000000;5.833868;2.678811;0.000000;1.402169;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;1.000000;1.402169;0.382169;0.000001;0.000000;-0.430213;
1.000004;5.833869;22.209451;1.000000;0.000000;3.329503;0.781857;0.149914;0.386741;0.892857;0.000000;5.833869;2.678811;0.000000;1.404332;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;1.000000;1.404332;0.384333;0.000001;0.000000;-0.432419;
1.000004;5.833871;22.209439;1.000000;0.000000;3.329499;0.781857;0.149914;0.386738;0.892857;0.000000;5.833871;2.678811;0.000000;1.408641;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;1.000000;1.408641;0.388641;0.000001;0.000000;-0.436813;
1.000005;5.833875;22.209414;1.000000;-0.000000;3.329492;0.781857;0.149914;0.386732;0.892857;0.000000;5.833875;2.678811;0.000000;1.417182;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;1.000000;1.417182;0.397182;0.000001;0.000000;-0.445526;
1.000005;5.833884;22.209364;1.000000;-0.000000;3.329477;0.781857;0.149913;0.386719;0.892857;0.000000;5.833884;2.678811;0.000000;1.433967;1.020000;-1.000000;-1.000000;-1.000000;1.020000;0.365980;0.000000;1.000000;1.433967;0.413967;0.000001;0.000000;-0.462646;
