time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
0.000000;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000001;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000002;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000004;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000004;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000004;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000005;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000006;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000008;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000012;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000020;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000036;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000068;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000132;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000260;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.000516;2.756922;3.825370;1.000000;3.600016;1.385715;-0.268738;1.008400;2.756920;1.001524;
0.001028;2.756922;3.825370;1.000000;3.600016;1.385714;-0.268738;1.008400;2.756920;1.001524;
