time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;WT4B_WT_gridProtection_fOCB;
0.479807;1.000000;-0.210070;1.000163;0.976177;0.217726;-0.930136;-0.422654;-1.000000;
0.496191;1.000000;-0.210068;1.000164;0.976177;0.217726;-0.930136;-0.422652;-1.000000;
0.528959;1.000000;-0.210066;1.000164;0.976178;0.217726;-0.930136;-0.422649;-1.000000;
0.594495;1.000000;-0.210060;1.000166;0.976180;0.217726;-0.930136;-0.422642;-1.000000;
0.725567;1.000000;-0.210050;1.000169;0.976183;0.217726;-0.930135;-0.422630;-1.000000;
0.987711;1.000000;-0.210033;1.000174;0.976189;0.217725;-0.930135;-0.422609;-1.000000;
1.511999;1.000000;-0.210011;1.000181;0.976196;0.217724;-0.930134;-0.422583;-1.000000;
1.933125;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.933126;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.933127;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.933129;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.933133;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.933141;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.933157;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.933189;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.933253;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.933381;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.933637;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.934149;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.935173;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.937221;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.941317;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.949509;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422570;-1.000000;
1.965893;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
1.998661;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
2.000000;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
2.000001;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
2.000002;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
2.000004;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
2.000008;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
2.000016;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
2.000032;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
2.000064;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
2.000128;1.000000;-0.210000;1.000185;0.976200;0.217724;-0.930134;-0.422569;-1.000000;
2.000256;0.999999;-0.210000;1.000185;0.976200;0.217724;-0.930133;-0.422569;-1.000000;
2.000512;0.999994;-0.210001;1.000185;0.976200;0.217723;-0.930129;-0.422568;-1.000000;
2.001024;0.999956;-0.210010;1.000184;0.976202;0.217713;-0.930094;-0.422560;-1.000000;
2.001110;0.999944;-0.210013;1.000184;0.976202;0.217710;-0.930083;-0.422557;-1.000000;
2.001111;0.999944;-0.210013;1.000184;0.976202;0.217710;-0.930083;-0.422557;-1.000000;
2.001112;0.999944;-0.210013;1.000184;0.976202;0.217710;-0.930083;-0.422557;-1.000000;
2.001114;0.999944;-0.210013;1.000184;0.976202;0.217710;-0.930083;-0.422557;-1.000000;
2.001118;0.999943;-0.210013;1.000184;0.976202;0.217710;-0.930082;-0.422557;-1.000000;
2.001126;0.999942;-0.210013;1.000184;0.976202;0.217710;-0.930081;-0.422557;-1.000000;
2.001142;0.999940;-0.210014;1.000184;0.976202;0.217709;-0.930080;-0.422556;-1.000000;
2.001174;0.999936;-0.210015;1.000184;0.976202;0.217708;-0.930076;-0.422555;-1.000000;
2.001238;0.999926;-0.210017;1.000184;0.976203;0.217706;-0.930067;-0.422553;-1.000000;
2.001366;0.999904;-0.210022;1.000183;0.976204;0.217700;-0.930047;-0.422549;-1.000000;
2.001622;0.999846;-0.210036;1.000183;0.976206;0.217685;-0.929994;-0.422536;-1.000000;
2.002134;0.999662;-0.210079;1.000180;0.976214;0.217639;-0.929827;-0.422495;-1.000000;
2.002646;0.999372;-0.210144;1.000177;0.976226;0.217567;-0.929564;-0.422429;-1.000000;
2.003158;0.998957;-0.210237;1.000172;0.976245;0.217463;-0.929188;-0.422333;-1.000000;
2.004000;0.997933;-0.210457;1.000163;0.976293;0.217206;-0.928259;-0.422086;-1.000000;
2.004001;0.997931;-0.210457;1.000163;0.976293;0.217205;-0.928258;-0.422086;-1.000000;
2.004002;0.997930;-0.210457;1.000163;0.976293;0.217205;-0.928256;-0.422085;-1.000000;
2.004004;0.997927;-0.210458;1.000163;0.976294;0.217204;-0.928254;-0.422085;-1.000000;
2.004008;0.997921;-0.210459;1.000163;0.976294;0.217203;-0.928249;-0.422083;-1.000000;
2.004016;0.997909;-0.210462;1.000163;0.976294;0.217200;-0.928238;-0.422080;-1.000000;
2.004032;0.997886;-0.210467;1.000163;0.976296;0.217194;-0.928217;-0.422075;-1.000000;
2.004064;0.997839;-0.210477;1.000163;0.976298;0.217182;-0.928174;-0.422063;-1.000000;
2.004128;0.997743;-0.210497;1.000162;0.976302;0.217158;-0.928087;-0.422040;-1.000000;
2.004256;0.997542;-0.210539;1.000160;0.976312;0.217107;-0.927904;-0.421991;-1.000000;
2.004384;0.997329;-0.210584;1.000159;0.976322;0.217054;-0.927712;-0.421938;-1.000000;
2.004640;0.996871;-0.210680;1.000156;0.976345;0.216939;-0.927296;-0.421824;-1.000000;
2.004896;0.996366;-0.210783;1.000153;0.976370;0.216812;-0.926838;-0.421698;-1.000000;
2.005152;0.995816;-0.210895;1.000150;0.976398;0.216674;-0.926339;-0.421558;-1.000000;
2.005408;0.995220;-0.211014;1.000148;0.976429;0.216524;-0.925798;-0.421404;-1.000000;
2.005664;0.994579;-0.211140;1.000146;0.976463;0.216363;-0.925216;-0.421237;-1.000000;
2.005920;0.993894;-0.211272;1.000145;0.976499;0.216190;-0.924594;-0.421056;-1.000000;
2.006176;0.993166;-0.211411;1.000144;0.976539;0.216007;-0.923934;-0.420861;-1.000000;
2.006432;0.992396;-0.211555;1.000143;0.976581;0.215813;-0.923234;-0.420652;-1.000000;
2.006688;0.991585;-0.211704;1.000144;0.976627;0.215609;-0.922498;-0.420429;-1.000000;
2.006944;0.990735;-0.211857;1.000145;0.976676;0.215395;-0.921726;-0.420192;-1.000000;
2.007456;0.988922;-0.212173;1.000152;0.976783;0.214938;-0.920080;-0.419676;-1.000000;
2.007968;0.986968;-0.212498;1.000163;0.976903;0.214444;-0.918304;-0.419103;-1.000000;
2.008480;0.984880;-0.212830;1.000179;0.977035;0.213917;-0.916406;-0.418475;-1.000000;
2.008992;0.982670;-0.213164;1.000202;0.977180;0.213358;-0.914397;-0.417791;-1.000000;
2.009504;0.980345;-0.213496;1.000230;0.977338;0.212769;-0.912283;-0.417053;-1.000000;
2.010528;0.975401;-0.214142;1.000309;0.977691;0.211516;-0.907784;-0.415420;-1.000000;
2.011552;0.970102;-0.214749;1.000418;0.978092;0.210170;-0.902961;-0.413585;-1.000000;
2.012576;0.964504;-0.215303;1.000557;0.978539;0.208746;-0.897862;-0.411560;-1.000000;
2.013600;0.958656;-0.215794;1.000726;0.979029;0.207255;-0.892531;-0.409360;-1.000000;
2.014624;0.952600;-0.216216;1.000925;0.979559;0.205709;-0.887008;-0.407001;-1.000000;
2.015648;0.946375;-0.216566;1.001152;0.980123;0.204117;-0.881327;-0.404501;-1.000000;
2.016672;0.940013;-0.216846;1.001404;0.980718;0.202489;-0.875519;-0.401877;-1.000000;
2.017696;0.933543;-0.217058;1.001679;0.981340;0.200830;-0.869608;-0.399150;-1.000000;
2.018720;0.926989;-0.217208;1.001973;0.981983;0.199148;-0.863619;-0.396337;-1.000000;
2.019744;0.920372;-0.217303;1.002284;0.982643;0.197449;-0.857569;-0.393458;-1.000000;
2.021792;0.907041;-0.217367;1.002935;0.983989;0.194022;-0.845375;-0.387595;-1.000000;
2.023840;0.893649;-0.217309;1.003610;0.985350;0.190577;-0.833116;-0.381673;-1.000000;
2.025888;0.880284;-0.217182;1.004288;0.986698;0.187138;-0.820877;-0.375798;-1.000000;
2.027936;0.867022;-0.217035;1.004950;0.988013;0.183726;-0.808727;-0.370055;-1.000000;
2.029984;0.853922;-0.216905;1.005583;0.989277;0.180357;-0.796724;-0.364508;-1.000000;
2.032032;0.841036;-0.216815;1.006179;0.990480;0.177046;-0.784913;-0.359200;-1.000000;
2.034080;0.828405;-0.216777;1.006733;0.991617;0.173803;-0.773335;-0.354154;-1.000000;
2.036128;0.816063;-0.216795;1.007245;0.992686;0.170637;-0.762020;-0.349379;-1.000000;
2.038176;0.804036;-0.216863;1.007715;0.993688;0.167554;-0.750992;-0.344871;-1.000000;
2.040224;0.792347;-0.216971;1.008147;0.994626;0.164560;-0.740273;-0.340620;-1.000000;
2.042272;0.781010;-0.217107;1.008546;0.995505;0.161658;-0.729875;-0.336610;-1.000000;
2.044320;0.770036;-0.217261;1.008915;0.996331;0.158850;-0.719808;-0.332823;-1.000000;
2.046368;0.759432;-0.217420;1.009258;0.997107;0.156138;-0.710078;-0.329242;-1.000000;
