time;Load2_load_PPu;Load2_load_QPu;Bus1_bus_U;
15.7031250000;0.0404156740;0.0051048565;1.9861512688;
15.7421875000;0.0404157927;0.0051049692;1.9861479895;
15.7812500000;0.0404158905;0.0051050925;1.9861412535;
15.8203125000;0.0404159028;0.0051052130;1.9861273167;
15.8593750000;0.0404157838;0.0051053223;1.9861032112;
15.8984375000;0.0404154962;0.0051054147;1.9860662533;
15.9375000000;0.0404150066;0.0051054860;1.9860137512;
15.9765625000;0.0404142821;0.0051055329;1.9859428183;
16.0156250000;0.0404132887;0.0051055521;1.9858502415;
16.0546875000;0.0404253372;0.0051066585;1.9866724999;
16.0937500000;0.0404287715;0.0051074714;1.9868461177;
16.1328125000;0.0404310018;0.0051079661;1.9869623945;
16.1718750000;0.0404325798;0.0051082822;1.9870484635;
16.2109375000;0.0404338133;0.0051084957;1.9871198893;
16.2500000000;0.0404348732;0.0051086474;1.9871855965;
16.2890625000;0.0404358542;0.0051087593;1.9872508539;
16.3281250000;0.0404368068;0.0051088423;1.9873188582;
16.3671875000;0.0404377543;0.0051089003;1.9873915539;
16.4062500000;0.0404387005;0.0051089332;1.9874700305;
16.4453125000;0.0404396337;0.0051089373;1.9875546769;
16.4843750000;0.0404325503;0.0051089342;1.9869950272;
16.5234375000;0.0404309202;0.0051085544;1.9869129891;
16.5625000000;0.0404301454;0.0051083893;1.9868740626;
16.6015625000;0.0404298849;0.0051083517;1.9868619692;
16.6406250000;0.0404299617;0.0051083947;1.9868690649;
16.6796875000;0.0404302903;0.0051084937;1.9868926272;
16.7187500000;0.0404308354;0.0051086364;1.9869329387;
16.7578125000;0.0404315871;0.0051088169;1.9869922338;
16.7968750000;0.0404325458;0.0051090323;1.9870740861;
16.8359375000;0.0404337105;0.0051092799;1.9871830000;
16.8750000000;0.0404350687;0.0051095560;1.9873240811;
16.9140625000;0.0404325971;0.0051088456;1.9869176944;
16.9531250000;0.0404313028;0.0051085397;1.9868244302;
16.9921875000;0.0404308396;0.0051084389;1.9867647964;
17.0312500000;0.0404309514;0.0051084711;1.9867266330;
17.0507812500;0.0404296611;0.0051079922;1.9868926052;
17.0703125000;0.0404304660;0.0051081956;1.9869321836;
17.0898437500;0.0404310285;0.0051083378;1.9869592911;
17.1093750000;0.0404314198;0.0051084367;1.9869779490;
17.1289062500;0.0404316918;0.0051085054;1.9869906943;
17.1484375000;0.0404318801;0.0051085530;1.9869992884;
17.1679687500;0.0404320099;0.0051085858;1.9870049552;
17.1875000000;0.0404320984;0.0051086082;1.9870085454;
17.2070312500;0.0404321577;0.0051086232;1.9870106503;
17.2265625000;0.0404321963;0.0051086329;1.9870116814;
17.2460937500;0.0404322200;0.0051086389;1.9870119248;
17.2656250000;0.0404322329;0.0051086422;1.9870115797;
17.2851562500;0.0404322378;0.0051086435;1.9870107849;
