time;WT4B_WT_measurements_PGenNomPu;WT4B_WT_measurements_QGenNomPu;WT4B_WT_measurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
6.005297;0.372531;-0.113490;0.743258;0.736649;0.098893;-0.476441;-0.218024;
6.005773;0.373265;-0.110087;0.744485;0.737873;0.099008;-0.477255;-0.213234;
6.005773;0.373259;-0.110088;0.744485;0.737873;0.099005;-0.477247;-0.213232;
6.005773;0.373259;-0.110088;0.744485;0.737873;0.099005;-0.477247;-0.213232;
6.005773;0.373259;-0.110088;0.744485;0.737873;0.099005;-0.477247;-0.213232;
6.006162;0.374041;-0.106089;0.745925;0.739311;0.099114;-0.478102;-0.207593;
6.006162;0.374040;-0.106089;0.745925;0.739311;0.099113;-0.478100;-0.207593;
6.006678;0.375146;-0.100436;0.747950;0.741334;0.099267;-0.479306;-0.199660;
6.007710;0.377619;-0.087827;0.752425;0.745802;0.099613;-0.481998;-0.182141;
6.008170;0.378799;-0.082025;0.754464;0.747836;0.099787;-0.483287;-0.174170;
6.008170;0.378782;-0.082027;0.754464;0.747837;0.099781;-0.483265;-0.174166;
6.008237;0.378950;-0.081183;0.754760;0.748132;0.099806;-0.483448;-0.173009;
6.008237;0.378950;-0.081183;0.754760;0.748132;0.099805;-0.483448;-0.173009;
6.008238;0.378954;-0.081162;0.754767;0.748139;0.099806;-0.483452;-0.172980;
6.008238;0.378954;-0.081162;0.754767;0.748139;0.099806;-0.483452;-0.172980;
6.008706;0.380150;-0.075176;0.756858;0.750225;0.099979;-0.484752;-0.164805;
6.009641;0.382617;-0.062974;0.761081;0.754438;0.100341;-0.487432;-0.148300;
6.011510;0.387457;-0.039929;0.768920;0.762246;0.101088;-0.492697;-0.117725;
6.013380;0.391982;-0.019645;0.775678;0.768965;0.101836;-0.497642;-0.091452;
6.014223;0.393793;-0.012163;0.778137;0.771402;0.102159;-0.499639;-0.081936;
6.014223;0.393764;-0.012167;0.778137;0.771403;0.102150;-0.499603;-0.081930;
6.014782;0.395081;-0.006425;0.780015;0.773267;0.102375;-0.501043;-0.074643;
6.015899;0.397761;0.005261;0.783809;0.777034;0.102833;-0.503966;-0.059924;
6.018133;0.403013;0.027724;0.790996;0.784163;0.103749;-0.509696;-0.032081;
6.022600;0.412125;0.063356;0.802114;0.795151;0.105464;-0.519723;0.010745;
6.026621;0.419051;0.087050;0.809317;0.802227;0.106891;-0.527453;0.038231;
6.030642;0.424780;0.102993;0.814064;0.806842;0.108201;-0.533987;0.056040;
6.034663;0.429542;0.112709;0.816895;0.809535;0.109412;-0.539564;0.066302;
6.038684;0.433598;0.117896;0.818356;0.810855;0.110550;-0.544445;0.071169;
6.042705;0.437182;0.120069;0.818913;0.811267;0.111639;-0.548861;0.072473;
6.046726;0.440477;0.120413;0.818922;0.811131;0.112697;-0.552991;0.071620;
6.054768;0.446673;0.118676;0.818213;0.810124;0.114768;-0.560860;0.067036;
6.062810;0.452801;0.116584;0.817392;0.808999;0.116829;-0.568656;0.061988;
