time;SVarC_SVarC_URegulatedPu;SVarC_SVarC_BPu;SVarC_SVarC_QInjPu;SVarC_SVarC_modeHandling_mode;SVarC_SVarC_modeHandling_URefPu;Load_load_UPu_value;
0.000000;1.000000;0.000000;0.000000;2.000000;1.000000;1.000000;
10.000000;1.000000;0.000000;0.000000;2.000000;1.000000;1.000000;
10.000000;0.956639;0.000000;0.000000;2.000000;1.000000;0.956639;
20.000000;0.956639;0.000000;0.000000;2.000000;1.000000;0.956639;
20.000000;0.972401;0.551464;0.537719;3.000000;0.977778;0.972401;
30.000000;0.972401;0.551464;0.537719;3.000000;0.977778;0.972401;
30.000000;0.940393;1.067800;1.002635;3.000000;0.977778;0.940393;
40.000000;0.940393;1.067800;1.002637;3.000000;0.977778;0.940393;
