time;WT4A_WT4A_injector_PInjPu;WT4A_WT4A_injector_QInjPu;WT4A_WT4A_injector_terminal_V_re;WT4A_WT4A_injector_terminal_i_re;WT4A_WT4A_injector_terminal_V_im;WT4A_WT4A_injector_terminal_i_im;WT4A_WT4A_pll_omegaPLLPu;WT4A_WT4A_wecc_wtgt_PePu;
1.004851;0.440068;0.207152;0.630113;-0.733438;0.110023;0.200690;1.010994;0.440063;
1.004867;0.440154;0.207343;0.630149;-0.733581;0.110044;0.200931;1.010934;0.440149;
1.004899;0.440327;0.207725;0.630222;-0.733868;0.110087;0.201415;1.010817;0.440321;
1.004963;0.440673;0.208499;0.630369;-0.734446;0.110174;0.202393;1.010591;0.440667;
1.005091;0.441375;0.210075;0.630668;-0.735615;0.110349;0.204388;1.010165;0.441369;
1.005347;0.442811;0.213343;0.631289;-0.738009;0.110708;0.208524;1.009412;0.442805;
1.005859;0.445804;0.220235;0.632596;-0.742997;0.111456;0.217238;1.008235;0.445798;
1.006371;0.448947;0.227540;0.633976;-0.748235;0.112242;0.226438;1.007419;0.448941;
1.006883;0.452229;0.235181;0.635412;-0.753704;0.113062;0.236013;1.006877;0.452223;
1.007395;0.455640;0.243100;0.636891;-0.759389;0.113915;0.245872;1.006538;0.455634;
1.007907;0.459170;0.251243;0.638402;-0.765272;0.114797;0.255938;1.006346;0.459163;
1.008419;0.462808;0.259565;0.639933;-0.771335;0.115707;0.266147;1.006259;0.462801;
1.009443;0.470355;0.276547;0.643019;-0.783913;0.117594;0.286716;1.006259;0.470348;
1.010467;0.478210;0.293817;0.646102;-0.797004;0.119557;0.307272;1.006406;0.478203;
1.011285;0.484660;0.307679;0.648538;-0.807754;0.121170;0.323504;1.006563;0.484652;
1.011286;0.484668;0.307696;0.648540;-0.807767;0.121172;0.323523;1.006563;0.484660;
1.011287;0.484676;0.307713;0.648543;-0.807780;0.121174;0.323543;1.006564;0.484668;
1.011289;0.484692;0.307747;0.648549;-0.807807;0.121178;0.323583;1.006564;0.484684;
1.011293;0.484724;0.307815;0.648561;-0.807860;0.121186;0.323662;1.006565;0.484716;
1.011301;0.484787;0.307951;0.648585;-0.807966;0.121201;0.323820;1.006567;0.484780;
1.011317;0.484915;0.308223;0.648632;-0.808179;0.121233;0.324136;1.006570;0.484907;
1.011349;0.485169;0.308767;0.648727;-0.808602;0.121297;0.324768;1.006576;0.485161;
1.011413;0.485675;0.309853;0.648917;-0.809446;0.121423;0.326031;1.006587;0.485668;
1.011541;0.486679;0.312022;0.649295;-0.811119;0.121674;0.328555;1.006600;0.486671;
1.011797;0.488652;0.316346;0.650051;-0.814408;0.122168;0.333592;1.006599;0.488645;
1.012309;0.492467;0.324938;0.651555;-0.820766;0.123121;0.343615;1.006514;0.492459;
1.013333;0.499623;0.341863;0.654522;-0.832690;0.124910;0.363397;1.006146;0.499614;
1.014357;0.506210;0.358400;0.657425;-0.843668;0.126557;0.382747;1.005634;0.506201;
1.015381;0.512315;0.374484;0.660246;-0.853844;0.128083;0.401549;1.005100;0.512307;
1.016405;0.518024;0.390052;0.662967;-0.863358;0.129510;0.419687;1.004616;0.518015;
1.017429;0.523413;0.405045;0.665573;-0.872340;0.130857;0.437058;1.004215;0.523404;
1.018447;0.528439;0.419422;0.668062;-0.880715;0.132113;0.453653;1.003855;0.528429;
1.018447;0.528440;0.419423;0.668062;-0.880717;0.132114;0.453652;1.003855;0.528430;
1.018448;0.528444;0.419435;0.668064;-0.880724;0.132115;0.453667;1.003855;0.528434;
1.018449;0.528449;0.419449;0.668067;-0.880732;0.132116;0.453683;1.003855;0.528439;
1.018450;0.528454;0.419463;0.668069;-0.880740;0.132117;0.453699;1.003854;0.528444;
1.018452;0.528463;0.419491;0.668074;-0.880756;0.132119;0.453731;1.003854;0.528453;
1.018456;0.528482;0.419546;0.668084;-0.880788;0.132124;0.453795;1.003852;0.528473;
1.018464;0.528520;0.419657;0.668103;-0.880851;0.132134;0.453923;1.003850;0.528511;
1.018480;0.528597;0.419879;0.668141;-0.880978;0.132153;0.454179;1.003844;0.528587;
1.018512;0.528748;0.420323;0.668218;-0.881231;0.132191;0.454690;1.003833;0.528739;
1.018576;0.529050;0.421209;0.668371;-0.881734;0.132266;0.455713;1.003810;0.529040;
1.018704;0.529647;0.422980;0.668678;-0.882729;0.132415;0.457758;1.003762;0.529637;
1.018960;0.530814;0.426511;0.669291;-0.884674;0.132707;0.461845;1.003658;0.530804;
