time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
0.108059;0.999996;-0.210303;1.000091;0.976102;0.217733;-0.930139;-0.422932;
0.176390;0.999997;-0.210336;1.000081;0.976091;0.217734;-0.930141;-0.422972;
0.313053;0.999998;-0.210389;1.000064;0.976073;0.217736;-0.930143;-0.423036;
0.586378;0.999998;-0.210459;1.000042;0.976050;0.217738;-0.930145;-0.423121;
1.133029;0.999999;-0.210528;1.000021;0.976028;0.217741;-0.930148;-0.423204;
2.000000;1.000000;-0.210563;1.000010;0.976016;0.217742;-0.930150;-0.423247;
2.000182;0.999998;-0.210564;1.000010;0.976016;0.217742;-0.930148;-0.423247;
2.000546;0.999981;-0.210568;1.000009;0.976017;0.217737;-0.930133;-0.423243;
2.001275;0.999817;-0.210606;1.000007;0.976024;0.217696;-0.929984;-0.423206;
2.002733;0.998499;-0.210890;0.999996;0.976086;0.217365;-0.928789;-0.422890;
2.004000;0.994497;-0.211651;0.999993;0.976306;0.216358;-0.925156;-0.421810;
2.004000;0.994497;-0.211649;0.999992;0.976306;0.216358;-0.925156;-0.421808;
2.004145;0.994211;-0.211705;0.999992;0.976322;0.216286;-0.924896;-0.421733;
2.004436;0.993584;-0.211827;0.999990;0.976355;0.216128;-0.924327;-0.421568;
2.004727;0.992903;-0.211959;0.999989;0.976391;0.215957;-0.923709;-0.421389;
2.005308;0.991329;-0.212259;0.999986;0.976476;0.215561;-0.922280;-0.420969;
2.005890;0.989551;-0.212590;0.999986;0.976575;0.215113;-0.920666;-0.420488;
2.006471;0.987580;-0.212949;0.999988;0.976686;0.214617;-0.918876;-0.419946;
2.007634;0.982964;-0.213746;1.000004;0.976958;0.213452;-0.914682;-0.418633;
2.008798;0.977768;-0.214588;1.000037;0.977278;0.212140;-0.909960;-0.417104;
2.011124;0.965690;-0.216307;1.000180;0.978082;0.209083;-0.898974;-0.413326;
2.013450;0.952430;-0.217938;1.000401;0.979022;0.205720;-0.886902;-0.408971;
2.018103;0.923734;-0.220675;1.001075;0.981214;0.198420;-0.860742;-0.398959;
2.022755;0.894461;-0.222789;1.001894;0.983529;0.190959;-0.834021;-0.388451;
2.032060;0.839196;-0.225701;1.003569;0.987864;0.176852;-0.783493;-0.368738;
2.041366;0.789405;-0.227862;1.005011;0.991496;0.164145;-0.737904;-0.351979;
2.050671;0.745744;-0.229701;1.006126;0.994381;0.153013;-0.697888;-0.338388;
2.059976;0.708113;-0.231285;1.006957;0.996633;0.143429;-0.663369;-0.327534;
2.069281;0.676017;-0.232654;1.007565;0.998381;0.135261;-0.633907;-0.318913;
2.078586;0.648816;-0.233839;1.008004;0.999736;0.128345;-0.608924;-0.312074;
2.087891;0.625852;-0.234872;1.008317;1.000785;0.122510;-0.587823;-0.306646;
2.097197;0.606509;-0.235784;1.008534;1.001597;0.117599;-0.570044;-0.302338;
2.106502;0.590236;-0.236602;1.008678;1.002224;0.113471;-0.555082;-0.298923;
2.115807;0.576552;-0.237346;1.008765;1.002704;0.110002;-0.542500;-0.296221;
2.125112;0.565047;-0.238035;1.008809;1.003069;0.107089;-0.531920;-0.294095;
2.143722;0.548355;-0.239044;1.008819;1.003562;0.102863;-0.516567;-0.291143;
2.162333;0.536115;-0.240289;1.008697;1.003748;0.099781;-0.505322;-0.289626;
2.180943;0.527129;-0.241429;1.008534;1.003804;0.097526;-0.497072;-0.288808;
2.199553;0.520476;-0.242492;1.008344;1.003773;0.095864;-0.490969;-0.288469;
2.218164;0.515501;-0.243499;1.008137;1.003683;0.094627;-0.486413;-0.288465;
2.255384;0.509424;-0.245341;1.007700;1.003386;0.093135;-0.480865;-0.289148;
2.292605;0.505670;-0.247070;1.007256;1.003025;0.092232;-0.477457;-0.290229;
2.329825;0.503372;-0.248675;1.006823;1.002639;0.091696;-0.475388;-0.291497;
2.404267;0.501534;-0.251472;1.006031;1.001878;0.091314;-0.473781;-0.294183;
