time;AVOI5L71DISTR_ACLS_i1;AVOI5L72DISTR_ACLS_i1;AVOI5P7_S_VL7_TN3_U;DISTRP7_S_VL7_TN2_U;BAYETP7_S_VL7_TN3_U;N_2_AVOI5_DISTR_ACLS_N_1_AVOI5L71DISTR_ACLS_OPEN_state1;N_2_AVOI5_DISTR_ACLS_N_1_AVOI5L72DISTR_ACLS_OPEN_state1;
0;7.08987;7.08987;404.422;404.753;409.202;2;2;
1;7.08983;7.08983;404.428;404.759;409.211;2;2;
2;7.08989;7.08989;404.43;404.762;409.215;2;2;
3;7.0899;7.0899;404.43;404.762;409.216;2;2;
4;7.0899;7.0899;404.43;404.762;409.216;2;2;
5;7.08991;7.08991;404.43;404.762;409.216;2;2;
6;7.08991;7.08991;404.43;404.762;409.216;2;2;
7;7.08991;7.08991;404.43;404.762;409.215;2;2;
8;7.08991;7.08991;404.43;404.761;409.215;2;2;
9;7.08991;7.08991;404.43;404.761;409.215;2;2;
10;7.08991;7.08991;404.43;404.761;409.215;2;2;
11;7.08991;7.08991;404.43;404.761;409.215;2;2;
12;7.08991;7.08991;404.43;404.761;409.215;2;2;
13;7.08991;7.08991;404.43;404.761;409.215;2;2;
14;7.08991;7.08991;404.43;404.761;409.215;2;2;
15;7.08991;7.08991;404.43;404.761;409.215;2;2;
16;7.08991;7.08991;404.43;404.761;409.215;2;2;
17;7.08991;7.08991;404.43;404.761;409.215;2;2;
18;7.08991;7.08991;404.43;404.761;409.215;2;2;
19;7.08991;7.08991;404.43;404.761;409.215;2;2;
20;7.08991;7.08991;404.43;404.761;409.215;2;2;
21;7.08991;7.08991;404.43;404.761;409.215;2;2;
22;7.08991;7.08991;404.43;404.761;409.215;2;2;
23;7.08991;7.08991;404.43;404.761;409.215;2;2;
24;7.08991;7.08991;404.43;404.761;409.215;2;2;
25;7.08991;7.08991;404.43;404.761;409.215;2;2;
26;7.08991;7.08991;404.43;404.761;409.215;2;2;
27;7.08991;7.08991;404.43;404.761;409.215;2;2;
28;7.08991;7.08991;404.43;404.761;409.215;2;2;
29;7.08991;7.08991;404.43;404.761;409.215;2;2;
30;7.08991;7.08991;404.43;404.761;409.215;2;2;
31;7.08991;7.08991;404.43;404.761;409.215;2;2;
32;7.08991;7.08991;404.43;404.761;409.215;2;2;
33;7.08991;7.08991;404.43;404.761;409.215;2;2;
34;7.08991;7.08991;404.43;404.761;409.215;2;2;
35;7.08991;7.08991;404.43;404.761;409.215;2;2;
36;7.08991;7.08991;404.43;404.761;409.215;2;2;
37;7.08991;7.08991;404.43;404.761;409.215;2;2;
38;7.08991;7.08991;404.43;404.761;409.215;2;2;
39;7.08991;7.08991;404.43;404.761;409.215;2;2;
40;7.08991;7.08991;404.43;404.761;409.215;2;2;
41;7.08991;7.08991;404.43;404.761;409.215;2;2;
42;7.08991;7.08991;404.43;404.761;409.215;2;2;
43;7.08991;7.08991;404.43;404.761;409.215;2;2;
44;7.08991;7.08991;404.43;404.761;409.215;2;2;
45;7.08991;7.08991;404.43;404.761;409.215;2;2;
46;7.08991;7.08991;404.43;404.761;409.215;2;2;
47;7.08991;7.08991;404.43;404.761;409.215;2;2;
48;7.08991;7.08991;404.43;404.761;409.215;2;2;
49;7.08991;7.08991;404.43;404.761;409.215;2;2;
50;0;0;404.43;404.761;409.215;1;1;
50;0;0;399.152;394.394;406.414;1;1;
51;0;0;401.654;398.871;408.69;1;1;
52;0;0;403.672;400.528;409.159;1;1;
53;0;0;404.259;400.917;409.155;1;1;
54;0;0;404.409;400.999;409.109;1;1;
55;0;0;404.447;401.014;409.083;1;1;
56;0;0;404.453;401.014;409.074;1;1;
57;0;0;404.448;401.009;409.072;1;1;
58;0;0;404.44;401.002;409.071;1;1;
59;0;0;404.431;400.996;409.071;1;1;
60;0;0;404.424;400.99;409.071;1;1;
61;0;0;404.417;400.985;409.071;1;1;
62;0;0;404.412;400.981;409.071;1;1;
63;0;0;404.407;400.978;409.071;1;1;
64;0;0;404.403;400.975;409.071;1;1;
65;0;0;404.4;400.972;409.071;1;1;
66;0;0;404.398;400.97;409.071;1;1;
67;0;0;404.396;400.969;409.071;1;1;
68;0;0;404.394;400.968;409.071;1;1;
69;0;0;404.393;400.966;409.072;1;1;
70;0;0;404.392;400.965;409.072;1;1;
71;0;0;404.391;400.965;409.072;1;1;
72;0;0;404.39;400.964;409.072;1;1;
73;0;0;404.389;400.963;409.072;1;1;
74;0;0;404.389;400.963;409.072;1;1;
75;0;0;404.388;400.963;409.072;1;1;
76;0;0;404.388;400.962;409.072;1;1;
77;0;0;404.388;400.962;409.072;1;1;
78;0;0;404.387;400.962;409.072;1;1;
79;0;0;404.387;400.962;409.072;1;1;
80;0;0;404.387;400.962;409.072;1;1;
81;0;0;404.387;400.961;409.072;1;1;
82;0;0;404.387;400.961;409.072;1;1;
83;0;0;404.387;400.961;409.072;1;1;
84;0;0;404.387;400.961;409.072;1;1;
85;0;0;404.387;400.961;409.072;1;1;
86;0;0;404.386;400.961;409.072;1;1;
87;0;0;404.386;400.961;409.072;1;1;
88;0;0;404.386;400.961;409.072;1;1;
89;0;0;404.386;400.961;409.072;1;1;
90;0;0;404.386;400.961;409.072;1;1;
91;0;0;404.386;400.961;409.072;1;1;
92;0;0;404.386;400.961;409.072;1;1;
93;0;0;404.386;400.961;409.072;1;1;
94;0;0;404.386;400.961;409.072;1;1;
95;0;0;404.386;400.961;409.072;1;1;
96;0;0;404.386;400.961;409.072;1;1;
97;0;0;404.386;400.961;409.072;1;1;
98;0;0;404.386;400.961;409.072;1;1;
99;0;0;404.386;400.961;409.072;1;1;
100;0;0;404.386;400.961;409.072;1;1;
