time;AVOI5L71DISTR_ACLS_i1;AVOI5L72DISTR_ACLS_i1;AVOI5P7_S_VL7_TN3_U;DISTRP7_S_VL7_TN2_U;BAYETP7_S_VL7_TN3_U;N_2_AVOI5_DISTR_ACLS_N_1_AVOI5L71DISTR_ACLS_OPEN_state1;N_2_AVOI5_DISTR_ACLS_N_1_AVOI5L72DISTR_ACLS_OPEN_state1;
0;7.08987;7.08987;404.422;404.753;409.202;2;2;
0.001;7.08987;7.08987;404.422;404.753;409.202;2;2;
0.002;7.08987;7.08987;404.422;404.753;409.202;2;2;
0.004;7.08987;7.08987;404.422;404.753;409.202;2;2;
0.008;7.08986;7.08986;404.422;404.752;409.202;2;2;
0.016;7.08985;7.08985;404.421;404.752;409.201;2;2;
0.032;7.08983;7.08983;404.42;404.751;409.2;2;2;
0.064;7.08979;7.08979;404.42;404.75;409.198;2;2;
0.128;7.0897;7.0897;404.42;404.751;409.199;2;2;
0.256;7.08959;7.08959;404.424;404.755;409.203;2;2;
0.512;7.08973;7.08973;404.428;404.759;409.21;2;2;
1.024;7.08991;7.08991;404.43;404.762;409.215;2;2;
2.048;7.08991;7.08991;404.43;404.762;409.216;2;2;
4.096;7.0899;7.0899;404.43;404.762;409.216;2;2;
8.192;7.08991;7.08991;404.43;404.762;409.215;2;2;
16.384;7.08991;7.08991;404.43;404.761;409.215;2;2;
26.384;7.08991;7.08991;404.43;404.761;409.215;2;2;
36.384;7.08991;7.08991;404.43;404.761;409.215;2;2;
46.384;7.08991;7.08991;404.43;404.761;409.215;2;2;
50;0;0;404.43;404.761;409.215;1;1;
50;0;0;399.152;394.394;406.414;1;1;
50.001;0;0;399.095;394.349;406.392;1;1;
50.002;0;0;399.04;394.305;406.37;1;1;
50.004;0;0;398.932;394.22;406.329;1;1;
50.008;0;0;398.727;394.061;406.253;1;1;
50.016;0;0;398.363;393.787;406.123;1;1;
50.032;0;0;397.787;393.398;405.947;1;1;
50.048;0;0;397.389;393.19;405.87;1;1;
50.08;0;0;396.957;393.16;405.932;1;1;
50.112;0;0;396.886;393.513;406.211;1;1;
50.144;0;0;397.032;394.091;406.62;1;1;
50.176;0;0;397.291;394.772;407.087;1;1;
50.208;0;0;397.595;395.467;407.56;1;1;
50.24;0;0;397.901;396.118;408;1;1;
50.304;0;0;398.463;397.161;408.693;1;1;
50.3616;0;0;398.904;397.791;409.086;1;1;
50.4192;0;0;399.35;398.205;409.283;1;1;
50.4768;0;0;399.873;398.518;409.342;1;1;
50.5344;0;0;400.526;398.836;409.326;1;1;
50.592;0;0;401.32;399.216;409.284;1;1;
50.6496;0;0;402.209;399.645;409.24;1;1;
50.7072;0;0;403.111;400.064;409.198;1;1;
50.7648;0;0;403.93;400.401;409.149;1;1;
50.8224;0;0;404.582;400.606;409.089;1;1;
50.88;0;0;405.023;400.677;409.026;1;1;
50.9376;0;0;405.247;400.661;408.982;1;1;
50.9952;0;0;405.288;400.636;408.986;1;1;
51.0528;0;0;405.197;400.676;409.063;1;1;
51.1104;0;0;405.026;400.822;409.223;1;1;
51.168;0;0;404.813;401.065;409.451;1;1;
51.2256;0;0;404.576;401.353;409.715;1;1;
51.2832;0;0;404.318;401.607;409.968;1;1;
51.3408;0;0;404.038;401.747;410.158;1;1;
51.3984;0;0;403.738;401.725;410.247;1;1;
51.456;0;0;403.436;401.531;410.211;1;1;
51.5136;0;0;403.161;401.194;410.047;1;1;
51.5712;0;0;402.952;400.774;409.771;1;1;
51.6288;0;0;402.846;400.343;409.419;1;1;
51.6864;0;0;402.873;399.972;409.039;1;1;
51.744;0;0;403.046;399.719;408.684;1;1;
51.8016;0;0;403.355;399.621;408.405;1;1;
51.8592;0;0;403.773;399.691;408.243;1;1;
51.9168;0;0;404.253;399.921;408.217;1;1;
51.9744;0;0;404.741;400.279;408.325;1;1;
52.032;0;0;405.183;400.722;408.541;1;1;
52.0896;0;0;405.534;401.198;408.826;1;1;
52.1472;0;0;405.764;401.654;409.136;1;1;
52.2048;0;0;405.86;402.041;409.428;1;1;
52.2624;0;0;405.825;402.323;409.671;1;1;
52.32;0;0;405.678;402.479;409.85;1;1;
52.3776;0;0;405.444;402.502;409.96;1;1;
52.4352;0;0;405.151;402.397;410.003;1;1;
52.4928;0;0;404.827;402.174;409.981;1;1;
52.5504;0;0;404.493;401.853;409.893;1;1;
52.608;0;0;404.167;401.451;409.735;1;1;
52.6656;0;0;403.867;400.994;409.508;1;1;
52.7232;0;0;403.61;400.52;409.222;1;1;
52.7808;0;0;403.417;400.073;408.9;1;1;
52.8384;0;0;403.309;399.708;408.584;1;1;
52.896;0;0;403.304;399.479;408.319;1;1;
52.9536;0;0;403.41;399.425;408.15;1;1;
53.0112;0;0;403.625;399.565;408.106;1;1;
53.0688;0;0;403.929;399.886;408.193;1;1;
53.1264;0;0;404.289;400.345;408.393;1;1;
53.2416;0;0;404.968;401.338;408.916;1;1;
53.336;0;0;405.373;402.012;409.319;1;1;
53.4304;0;0;405.537;402.356;409.559;1;1;
53.5153;0;0;405.473;402.344;409.615;1;1;
53.6003;0;0;405.246;402.068;409.543;1;1;
53.6852;0;0;404.915;401.613;409.383;1;1;
53.7702;0;0;404.544;401.08;409.171;1;1;
53.8552;0;0;404.189;400.567;408.942;1;1;
53.9401;0;0;403.901;400.166;408.733;1;1;
54.0251;0;0;403.721;399.953;408.588;1;1;
54.11;0;0;403.675;399.965;408.547;1;1;
54.195;0;0;403.769;400.19;408.622;1;1;
54.2799;0;0;403.986;400.571;408.793;1;1;
54.3649;0;0;404.285;401.02;409.013;1;1;
54.4498;0;0;404.611;401.439;409.227;1;1;
54.5348;0;0;404.901;401.74;409.382;1;1;
54.6197;0;0;405.1;401.869;409.453;1;1;
54.7047;0;0;405.174;401.809;409.436;1;1;
54.7896;0;0;405.119;401.589;409.351;1;1;
54.8746;0;0;404.956;401.279;409.231;1;1;
54.9596;0;0;404.733;400.968;409.117;1;1;
55.0445;0;0;404.498;400.735;409.042;1;1;
55.1295;0;0;404.291;400.62;409.019;1;1;
55.2144;0;0;404.13;400.619;409.041;1;1;
55.2994;0;0;404.029;400.7;409.089;1;1;
55.3843;0;0;403.998;400.823;409.142;1;1;
55.4693;0;0;404.039;400.953;409.179;1;1;
55.5542;0;0;404.149;401.069;409.193;1;1;
55.6392;0;0;404.313;401.162;409.184;1;1;
55.7241;0;0;404.502;401.217;409.151;1;1;
55.8381;0;0;404.719;401.217;409.083;1;1;
55.9521;0;0;404.837;401.14;409.006;1;1;
56.066;0;0;404.832;401.031;408.951;1;1;
56.18;0;0;404.726;400.954;408.945;1;1;
56.2939;0;0;404.555;400.933;408.983;1;1;
56.4079;0;0;404.385;400.965;409.052;1;1;
56.5218;0;0;404.229;400.979;409.093;1;1;
56.6358;0;0;404.128;400.953;409.083;1;1;
56.7498;0;0;404.11;400.897;409.025;1;1;
56.8637;0;0;404.181;400.846;408.949;1;1;
56.9777;0;0;404.33;400.836;408.886;1;1;
57.0916;0;0;404.503;400.873;408.866;1;1;
57.2056;0;0;404.646;400.95;408.9;1;1;
57.3195;0;0;404.721;401.051;408.983;1;1;
57.4335;0;0;404.718;401.15;409.092;1;1;
57.5475;0;0;404.646;401.216;409.198;1;1;
57.6614;0;0;404.529;401.22;409.27;1;1;
57.7754;0;0;404.4;401.158;409.286;1;1;
57.8893;0;0;404.291;401.046;409.245;1;1;
58.0033;0;0;404.233;400.927;409.167;1;1;
58.1173;0;0;404.241;400.845;409.085;1;1;
58.2312;0;0;404.311;400.832;409.034;1;1;
58.3452;0;0;404.417;400.893;409.029;1;1;
58.4591;0;0;404.523;401.001;409.067;1;1;
58.5731;0;0;404.597;401.115;409.125;1;1;
58.687;0;0;404.617;401.191;409.176;1;1;
58.801;0;0;404.582;401.205;409.199;1;1;
58.915;0;0;404.506;401.152;409.185;1;1;
59.0289;0;0;404.41;401.049;409.135;1;1;
59.2568;0;0;404.272;400.85;409.002;1;1;
59.4422;0;0;404.254;400.776;408.918;1;1;
59.6275;0;0;404.322;400.824;408.903;1;1;
59.8128;0;0;404.427;400.943;408.948;1;1;
59.9982;0;0;404.5;401.042;409.011;1;1;
60.1835;0;0;404.509;401.069;409.058;1;1;
60.3688;0;0;404.464;401.03;409.079;1;1;
60.5542;0;0;404.404;400.971;409.086;1;1;
60.7395;0;0;404.366;400.941;409.096;1;1;
60.9248;0;0;404.369;400.957;409.116;1;1;
61.1102;0;0;404.404;401.004;409.142;1;1;
61.2955;0;0;404.444;401.047;409.161;1;1;
61.4808;0;0;404.463;401.059;409.162;1;1;
61.6662;0;0;404.45;401.036;409.143;1;1;
61.8515;0;0;404.417;400.995;409.11;1;1;
62.0368;0;0;404.383;400.957;409.074;1;1;
62.2825;0;0;404.356;400.926;409.029;1;1;
62.5282;0;0;404.36;400.921;408.997;1;1;
62.7739;0;0;404.382;400.931;408.982;1;1;
62.9198;0;0;404.395;400.938;408.985;1;1;
63.0657;0;0;404.401;400.944;408.995;1;1;
63.2117;0;0;404.403;400.95;409.01;1;1;
63.5035;0;0;404.403;400.963;409.048;1;1;
63.7661;0;0;404.403;400.979;409.086;1;1;
64.0413;0;0;404.407;400.992;409.113;1;1;
64.2474;0;0;404.409;400.997;409.122;1;1;
64.4535;0;0;404.408;400.996;409.122;1;1;
64.6596;0;0;404.403;400.99;409.114;1;1;
64.8656;0;0;404.4;400.984;409.103;1;1;
65.0717;0;0;404.394;400.974;409.087;1;1;
65.2778;0;0;404.389;400.964;409.069;1;1;
65.69;0;0;404.384;400.95;409.041;1;1;
66.047;0;0;404.386;400.946;409.029;1;1;
66.2565;0;0;404.389;400.95;409.034;1;1;
66.4659;0;0;404.392;400.956;409.045;1;1;
66.6753;0;0;404.395;400.963;409.058;1;1;
67.0941;0;0;404.4;400.975;409.083;1;1;
67.4485;0;0;404.401;400.982;409.099;1;1;
67.8028;0;0;404.399;400.982;409.102;1;1;
68.1571;0;0;404.395;400.975;409.09;1;1;
68.4175;0;0;404.392;400.969;409.08;1;1;
68.6779;0;0;404.39;400.965;409.071;1;1;
68.9383;0;0;404.389;400.961;409.065;1;1;
69.459;0;0;404.389;400.96;409.062;1;1;
69.9798;0;0;404.39;400.962;409.067;1;1;
70.4484;0;0;404.39;400.964;409.071;1;1;
70.9171;0;0;404.39;400.964;409.074;1;1;
71.8545;0;0;404.389;400.963;409.073;1;1;
72.7918;0;0;404.388;400.962;409.071;1;1;
73.7291;0;0;404.387;400.962;409.071;1;1;
75.6038;0;0;404.387;400.962;409.071;1;1;
79.3532;0;0;404.387;400.961;409.072;1;1;
86.852;0;0;404.387;400.961;409.072;1;1;
96.852;0;0;404.386;400.961;409.072;1;1;
100;0;0;404.386;400.961;409.072;1;1;
