time;AVOI5L71DISTR_ACLS_i1;AVOI5L72DISTR_ACLS_i1;AVOI5P7_S_VL7_TN3_U;DISTRP7_S_VL7_TN2_U;BAYETP7_S_VL7_TN3_U;N_2_AVOI5_DISTR_ACLS_N_1_AVOI5L71DISTR_ACLS_OPEN_state1;N_2_AVOI5_DISTR_ACLS_N_1_AVOI5L72DISTR_ACLS_OPEN_state1;
0;7.08987;7.08987;404.422;404.753;409.202;2;2;
0.001;7.08987;7.08987;404.422;404.753;409.202;2;2;
0.003;7.08987;7.08987;404.422;404.753;409.202;2;2;
0.007;7.08986;7.08986;404.422;404.753;409.202;2;2;
0.015;7.08985;7.08985;404.421;404.752;409.201;2;2;
0.031;7.08983;7.08983;404.421;404.751;409.2;2;2;
0.063;7.08979;7.08979;404.42;404.751;409.199;2;2;
0.127;7.08971;7.08971;404.421;404.752;409.2;2;2;
0.255;7.08965;7.08965;404.424;404.755;409.204;2;2;
0.511;7.08976;7.08976;404.428;404.759;409.21;2;2;
1.023;7.0899;7.0899;404.43;404.761;409.214;2;2;
2.047;7.0899;7.0899;404.43;404.762;409.216;2;2;
4.095;7.0899;7.0899;404.43;404.762;409.216;2;2;
8.191;7.08991;7.08991;404.43;404.762;409.215;2;2;
16.383;7.08991;7.08991;404.43;404.761;409.215;2;2;
26.383;7.08991;7.08991;404.43;404.761;409.215;2;2;
36.383;7.08991;7.08991;404.43;404.761;409.215;2;2;
46.383;7.08991;7.08991;404.43;404.761;409.215;2;2;
50;0;0;404.43;404.761;409.215;1;1;
50;0;0;399.152;394.394;406.414;1;1;
50.001;0;0;399.095;394.349;406.392;1;1;
50.003;0;0;398.987;394.263;406.35;1;1;
50.007;0;0;398.785;394.107;406.275;1;1;
50.015;0;0;398.439;393.854;406.156;1;1;
50.023;0;0;398.144;393.652;406.065;1;1;
50.039;0;0;397.719;393.42;405.975;1;1;
50.055;0;0;397.428;393.329;405.964;1;1;
50.071;0;0;397.244;393.35;406.016;1;1;
50.087;0;0;397.146;393.462;406.118;1;1;
50.103;0;0;397.113;393.644;406.261;1;1;
50.119;0;0;397.133;393.879;406.433;1;1;
50.151;0;0;397.296;394.466;406.842;1;1;
50.183;0;0;397.53;395.095;407.268;1;1;
50.215;0;0;397.79;395.702;407.675;1;1;
50.247;0;0;398.053;396.252;408.039;1;1;
50.279;0;0;398.308;396.728;408.349;1;1;
50.311;0;0;398.555;397.126;408.599;1;1;
50.343;0;0;398.8;397.453;408.79;1;1;
50.375;0;0;399.051;397.724;408.93;1;1;
50.407;0;0;399.32;397.955;409.027;1;1;
50.439;0;0;399.614;398.165;409.09;1;1;
50.471;0;0;399.939;398.368;409.128;1;1;
50.503;0;0;400.299;398.574;409.151;1;1;
50.535;0;0;400.692;398.791;409.164;1;1;
50.567;0;0;401.111;399.018;409.172;1;1;
50.599;0;0;401.55;399.253;409.178;1;1;
50.631;0;0;401.996;399.489;409.183;1;1;
50.663;0;0;402.438;399.719;409.188;1;1;
50.695;0;0;402.862;399.934;409.191;1;1;
50.727;0;0;403.258;400.127;409.193;1;1;
50.759;0;0;403.616;400.294;409.194;1;1;
50.791;0;0;403.928;400.432;409.194;1;1;
50.823;0;0;404.189;400.541;409.193;1;1;
50.887;0;0;404.52;400.693;409.212;1;1;
50.9439;0;0;404.672;400.786;409.246;1;1;
51.0008;0;0;404.713;400.869;409.302;1;1;
51.0521;0;0;404.683;400.949;409.371;1;1;
51.1033;0;0;404.606;401.035;409.455;1;1;
51.1494;0;0;404.51;401.111;409.535;1;1;
51.1955;0;0;404.396;401.179;409.612;1;1;
51.2416;0;0;404.271;401.226;409.677;1;1;
51.2877;0;0;404.141;401.244;409.722;1;1;
51.3338;0;0;404.013;401.228;409.741;1;1;
51.3799;0;0;403.891;401.177;409.73;1;1;
51.426;0;0;403.783;401.096;409.69;1;1;
51.4721;0;0;403.696;400.994;409.622;1;1;
51.5183;0;0;403.635;400.881;409.533;1;1;
51.5644;0;0;403.607;400.769;409.43;1;1;
51.6105;0;0;403.613;400.67;409.322;1;1;
51.6566;0;0;403.655;400.594;409.216;1;1;
51.7027;0;0;403.732;400.55;409.123;1;1;
51.7488;0;0;403.838;400.541;409.049;1;1;
51.7949;0;0;403.968;400.569;408.999;1;1;
51.841;0;0;404.114;400.629;408.974;1;1;
51.8871;0;0;404.265;400.716;408.974;1;1;
51.9332;0;0;404.412;400.822;408.995;1;1;
51.9793;0;0;404.548;400.939;409.034;1;1;
52.0254;0;0;404.664;401.056;409.084;1;1;
52.0715;0;0;404.757;401.167;409.14;1;1;
52.1637;0;0;404.834;401.319;409.24;1;1;
52.2559;0;0;404.819;401.383;409.304;1;1;
52.3482;0;0;404.739;401.368;409.328;1;1;
52.4312;0;0;404.638;401.304;409.316;1;1;
52.5141;0;0;404.529;401.209;409.278;1;1;
52.5971;0;0;404.43;401.102;409.221;1;1;
52.6801;0;0;404.355;401.004;409.156;1;1;
52.7631;0;0;404.31;400.928;409.094;1;1;
52.8461;0;0;404.299;400.885;409.042;1;1;
52.9291;0;0;404.317;400.876;409.006;1;1;
53.0121;0;0;404.357;400.895;408.987;1;1;
53.0951;0;0;404.408;400.934;408.983;1;1;
53.1781;0;0;404.461;400.98;408.99;1;1;
53.2611;0;0;404.507;401.025;409;1;1;
53.427;0;0;404.543;401.064;409.019;1;1;
53.593;0;0;404.535;401.06;409.024;1;1;
53.759;0;0;404.508;401.037;409.025;1;1;
53.925;0;0;404.483;401.017;409.028;1;1;
54.091;0;0;404.469;401.009;409.037;1;1;
54.2569;0;0;404.468;401.014;409.051;1;1;
54.4229;0;0;404.475;401.025;409.068;1;1;
54.5889;0;0;404.483;401.038;409.084;1;1;
54.7549;0;0;404.488;401.046;409.097;1;1;
55.0869;0;0;404.482;401.044;409.103;1;1;
55.3707;0;0;404.473;401.036;409.097;1;1;
55.6262;0;0;404.465;401.027;409.087;1;1;
55.8817;0;0;404.459;401.019;409.076;1;1;
56.1372;0;0;404.454;401.012;409.067;1;1;
56.3927;0;0;404.45;401.007;409.061;1;1;
56.9037;0;0;404.446;401.003;409.06;1;1;
57.3636;0;0;404.442;401.002;409.065;1;1;
57.8235;0;0;404.439;401.002;409.071;1;1;
58.2834;0;0;404.434;401;409.075;1;1;
59.2032;0;0;404.426;400.993;409.073;1;1;
60.0311;0;0;404.419;400.987;409.071;1;1;
60.8589;0;0;404.414;400.983;409.07;1;1;
62.5145;0;0;404.406;400.977;409.07;1;1;
64.1701;0;0;404.401;400.973;409.071;1;1;
67.4814;0;0;404.395;400.968;409.071;1;1;
74.104;0;0;404.39;400.964;409.072;1;1;
80.7265;0;0;404.388;400.962;409.072;1;1;
90.7265;0;0;404.387;400.961;409.072;1;1;
100;0;0;404.386;400.961;409.072;1;1;
