time;Generator_generator_UPu;Generator_generator_running;Generator_generator_QGenPu;Generator_generator_PGenPu;Generator_generator_omegaRefPu;NETWORK_Load_P;NETWORK_Load_Q;Load2_load_PPu;Load2_load_QPu;Load2_load_zP;Load2_load_zQ;Load2_load_zPRaw;Load2_load_zQRaw;NETWORK_line1_P1;NETWORK_line1_Q1;NETWORK_line1_P2;NETWORK_line1_Q2;NETWORK_VL1_BUS1_U;NETWORK_VL1_BUS1_phi;NETWORK_VL2_BUS1_U;NETWORK_VL2_BUS1_phi;NETWORK_Load3_P;NETWORK_Load3_Q;NETWORK_Load3_state;
0.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.000000;0.000000;1.000000;
1.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.000000;0.000000;1.000000;
2.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.000000;0.000000;1.000000;
3.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.000000;0.000000;1.000000;
4.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.000000;0.000000;1.000000;
5.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.000000;0.000000;1.000000;
6.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.000000;0.000000;1.000000;
7.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.000000;0.000000;1.000000;
8.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.000000;0.000000;1.000000;
9.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.000000;0.000000;1.000000;
10.000000;1.364498;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.272576;0.185747;1.000000;1.000000;1.000000;1.000000;0.004315;-0.182308;0.002336;0.248817;1.000000;0.000000;1.364498;-1.893745;0.050000;0.020000;1.000000;
10.000000;1.340059;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.267694;0.179152;1.000000;1.000000;1.000000;1.000000;0.049154;-0.171655;-0.042778;0.235418;1.000000;0.000000;1.340059;-5.680441;0.050000;0.020000;2.000000;
11.000000;1.339983;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.267732;0.179203;1.000197;1.000391;1.000197;1.000391;0.049194;-0.171617;-0.042820;0.235361;1.000000;0.000000;1.339983;-5.683875;0.050000;0.020000;2.000000;
12.000000;1.339913;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.267770;0.179254;1.000393;1.000780;1.000393;1.000780;0.049231;-0.171582;-0.042858;0.235310;1.000000;0.000000;1.339913;-5.687046;0.050000;0.020000;2.000000;
13.000000;1.339844;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.267808;0.179304;1.000588;1.001165;1.000588;1.001165;0.049268;-0.171548;-0.042896;0.235260;1.000000;0.000000;1.339844;-5.690192;0.050000;0.020000;2.000000;
14.000000;1.339776;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.267846;0.179354;1.000781;1.001548;1.000781;1.001548;0.049304;-0.171514;-0.042934;0.235210;1.000000;0.000000;1.339776;-5.693313;0.050000;0.020000;2.000000;
15.000000;1.339708;1.000000;0.600000;0.800000;1.000000;0.525088;0.165436;0.267884;0.179404;1.000972;1.001927;1.000972;1.001927;0.049340;-0.171480;-0.042972;0.235160;1.000000;0.000000;1.339708;-5.696409;0.050000;0.020000;2.000000;
