time;WT4A_WT_measurements_PGenNomPu;WT4A_WT_measurements_QGenNomPu;WT4A_WT_measurements_UPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;
6.001714;0.367975;-0.133331;0.736022;0.729449;0.098140;-0.471333;-0.246196;
6.002325;0.368409;-0.131135;0.736833;0.730260;0.098200;-0.471811;-0.243019;
6.003171;0.369283;-0.126745;0.738448;0.731873;0.098323;-0.472774;-0.236693;
6.003171;0.369276;-0.126745;0.738448;0.731873;0.098321;-0.472766;-0.236692;
6.003199;0.369307;-0.126594;0.738503;0.731928;0.098325;-0.472800;-0.236474;
6.003199;0.369306;-0.126594;0.738503;0.731928;0.098325;-0.472799;-0.236474;
6.003522;0.369661;-0.124838;0.739147;0.732571;0.098376;-0.473190;-0.233956;
6.003522;0.369659;-0.124839;0.739147;0.732571;0.098375;-0.473188;-0.233955;
6.004090;0.370326;-0.121557;0.740346;0.733768;0.098472;-0.473924;-0.229263;
6.004706;0.371173;-0.117479;0.741830;0.735249;0.098598;-0.474861;-0.223461;
6.004706;0.371166;-0.117480;0.741830;0.735249;0.098596;-0.474852;-0.223459;
6.005288;0.371981;-0.113589;0.743240;0.736655;0.098718;-0.475753;-0.217951;
6.005770;0.372725;-0.110135;0.744486;0.737896;0.098834;-0.476578;-0.213088;
6.005770;0.372718;-0.110136;0.744486;0.737897;0.098832;-0.476569;-0.213087;
6.005770;0.372718;-0.110136;0.744486;0.737897;0.098832;-0.476569;-0.213086;
6.005770;0.372718;-0.110136;0.744486;0.737897;0.098832;-0.476569;-0.213086;
6.006158;0.373496;-0.106158;0.745918;0.739327;0.098939;-0.477418;-0.207478;
6.006158;0.373495;-0.106159;0.745918;0.739327;0.098939;-0.477417;-0.207478;
6.006666;0.374583;-0.100588;0.747913;0.741320;0.099090;-0.478603;-0.199661;
6.007683;0.377015;-0.088171;0.752321;0.745722;0.099430;-0.481250;-0.182402;
6.008189;0.378312;-0.081779;0.754568;0.747963;0.099620;-0.482666;-0.173620;
6.008189;0.378294;-0.081781;0.754568;0.747964;0.099614;-0.482642;-0.173617;
6.008252;0.378454;-0.080980;0.754848;0.748244;0.099637;-0.482817;-0.172519;
6.008252;0.378453;-0.080980;0.754848;0.748244;0.099637;-0.482816;-0.172518;
6.008253;0.378457;-0.080961;0.754855;0.748250;0.099637;-0.482820;-0.172492;
6.008253;0.378457;-0.080961;0.754855;0.748250;0.099637;-0.482820;-0.172492;
6.008714;0.379635;-0.075060;0.756915;0.750306;0.099807;-0.484100;-0.164435;
6.009635;0.382064;-0.063033;0.761078;0.754458;0.100163;-0.486738;-0.148168;
6.011478;0.386835;-0.040276;0.768820;0.762171;0.100899;-0.491927;-0.117967;
6.013321;0.391306;-0.020175;0.775520;0.768831;0.101635;-0.496810;-0.091917;
6.014223;0.393252;-0.012090;0.778177;0.771466;0.101981;-0.498956;-0.081630;
6.014223;0.393223;-0.012094;0.778177;0.771467;0.101972;-0.498919;-0.081623;
6.014773;0.394520;-0.006436;0.780028;0.773304;0.102193;-0.500337;-0.074442;
6.015874;0.397158;0.005081;0.783767;0.777017;0.102643;-0.503215;-0.059935;
6.018076;0.402335;0.027257;0.790864;0.784057;0.103545;-0.508861;-0.032438;
6.022480;0.411348;0.062628;0.801907;0.794972;0.105237;-0.518775;0.010106;
6.026444;0.418219;0.086306;0.809110;0.802051;0.106647;-0.526438;0.037607;
6.030408;0.423917;0.102373;0.813899;0.806709;0.107942;-0.532928;0.055593;
6.034371;0.428660;0.112274;0.816788;0.809463;0.109141;-0.538473;0.066099;
6.038335;0.432698;0.117650;0.818307;0.810843;0.110267;-0.543323;0.071209;
6.042299;0.436260;0.119980;0.818912;0.811307;0.111343;-0.547705;0.072718;
6.046262;0.439527;0.120437;0.818957;0.811208;0.112387;-0.551795;0.072018;
6.054190;0.445646;0.118787;0.818277;0.810237;0.114430;-0.559564;0.067580;
6.062117;0.451686;0.116707;0.817463;0.809125;0.116463;-0.567249;0.062591;
6.070044;0.457753;0.114899;0.816724;0.808083;0.118495;-0.574955;0.057878;
6.085899;0.470043;0.112414;0.815567;0.806304;0.122573;-0.590508;0.049651;
6.101753;0.482376;0.110479;0.814553;0.804647;0.126647;-0.606084;0.041907;
6.112987;0.491101;0.109242;0.813871;0.803488;0.129525;-0.617093;0.036482;
6.112987;0.491128;0.109310;0.813881;0.803507;0.129532;-0.617124;0.036556;
6.121032;0.494659;0.108129;0.813388;0.802815;0.130721;-0.621606;0.033473;
6.137121;0.497490;0.105743;0.812545;0.801797;0.131724;-0.625259;0.029161;
6.153211;0.498638;0.103420;0.811782;0.800950;0.132177;-0.626797;0.025685;
6.185389;0.499237;0.098882;0.810350;0.799439;0.132529;-0.627737;0.019624;
6.217568;0.499395;0.094441;0.808960;0.797996;0.132735;-0.628119;0.013870;
6.281925;0.499465;0.085981;0.806306;0.795253;0.133051;-0.628553;0.002957;
6.335771;0.499485;0.079552;0.804279;0.793158;0.133282;-0.628839;-0.005372;
6.335771;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.335796;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.335847;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.335949;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336051;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336153;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336357;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336561;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336765;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.336969;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.337377;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.337785;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.338193;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339009;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339645;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339645;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339856;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339905;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339905;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339907;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.339907;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.340121;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.340551;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.341411;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.343130;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344023;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344023;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344090;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344090;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344381;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.344961;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.346122;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.347282;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.349604;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.351925;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.354246;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.356568;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.358889;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.361210;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.365853;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.370496;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.375139;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.379781;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.389067;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.398352;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.399999;0.000000;-0.000000;0.782989;0.782578;-0.025371;0.000000;0.000000;
6.399999;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.400395;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.401186;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.401558;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.401558;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402024;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402236;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402236;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402241;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402241;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402649;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402661;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402661;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402674;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.402674;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.403048;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.403797;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.404305;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.404305;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.404646;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.404646;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.404988;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.405374;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.405374;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.405374;0.000000;-0.000000;1.073064;1.072196;-0.043153;0.000000;0.000000;
6.405374;0.668490;0.159131;1.111930;1.105247;0.121721;-0.613251;0.076441;
6.405403;0.668315;0.157971;1.111653;1.104970;0.121709;-0.613135;0.075429;
6.405461;0.667961;0.155648;1.111099;1.104416;0.121685;-0.612897;0.073403;
6.405577;0.667234;0.150995;1.109989;1.103304;0.121633;-0.612404;0.069343;
6.405692;0.666484;0.146339;1.108876;1.102191;0.121575;-0.611890;0.065277;
6.405808;0.665713;0.141680;1.107760;1.101075;0.121512;-0.611357;0.061206;
6.406040;0.664101;0.132354;1.105521;1.098839;0.121369;-0.610225;0.053048;
6.406271;0.662413;0.123038;1.103278;1.096600;0.121206;-0.609022;0.044885;
6.406503;0.660653;0.113741;1.101031;1.094359;0.121025;-0.607751;0.036723;
6.406966;0.656929;0.095256;1.096541;1.089888;0.120609;-0.605012;0.020448;
6.407429;0.652986;0.076971;1.092069;1.085441;0.120132;-0.602059;0.004278;
6.407893;0.648859;0.058937;1.087627;1.081030;0.119603;-0.598923;-0.011744;
6.408819;0.640218;0.024055;1.078943;1.072425;0.118415;-0.592237;-0.042963;
6.409217;0.636346;0.009685;1.075330;1.068853;0.117848;-0.589191;-0.055901;
6.409217;0.636424;0.009686;1.075329;1.068850;0.117868;-0.589262;-0.055919;
6.409230;0.636291;0.009192;1.075204;1.068726;0.117848;-0.589158;-0.056366;
6.409230;0.636292;0.009192;1.075204;1.068726;0.117849;-0.589158;-0.056366;
6.409230;0.636291;0.009188;1.075203;1.068725;0.117848;-0.589158;-0.056369;
6.409230;0.636291;0.009188;1.075203;1.068725;0.117848;-0.589158;-0.056369;
6.409384;0.634781;0.003579;1.073786;1.067324;0.117628;-0.587969;-0.061446;
6.409472;0.633918;0.000432;1.072990;1.066537;0.117500;-0.587287;-0.064296;
6.409472;0.633924;0.000433;1.072990;1.066537;0.117502;-0.587293;-0.064297;
6.409473;0.633911;0.000383;1.072977;1.066524;0.117500;-0.587282;-0.064342;
6.409473;0.633911;0.000383;1.072977;1.066524;0.117500;-0.587282;-0.064342;
6.409473;0.633911;0.000382;1.072977;1.066524;0.117500;-0.587282;-0.064343;
6.409473;0.633911;0.000382;1.072977;1.066524;0.117500;-0.587282;-0.064343;
6.409632;0.632341;-0.005329;1.071528;1.065092;0.117267;-0.586041;-0.069527;
6.409950;0.629188;-0.016581;1.068665;1.062263;0.116793;-0.583539;-0.079768;
6.410585;0.622866;-0.038341;1.063086;1.056757;0.115822;-0.578487;-0.099685;
6.411855;0.610429;-0.078624;1.052611;1.046436;0.113844;-0.568439;-0.136976;
6.413125;0.598286;-0.115372;1.042880;1.036865;0.111844;-0.558514;-0.171516;
6.414074;0.589516;-0.140263;1.036190;1.030297;0.110355;-0.551274;-0.195185;
6.414074;0.589643;-0.140267;1.036186;1.030290;0.110387;-0.551391;-0.195220;
6.414326;0.587290;-0.146864;1.034398;1.028535;0.109986;-0.549445;-0.201544;
6.414831;0.582703;-0.159544;1.030945;1.025145;0.109199;-0.545641;-0.213753;
6.415841;0.574040;-0.182886;1.024527;1.018851;0.107697;-0.538429;-0.236416;
6.417860;0.558876;-0.222071;1.013567;1.008111;0.105025;-0.525724;-0.275054;
6.419880;0.545708;-0.254353;1.004355;0.999094;0.102660;-0.514610;-0.307461;
6.420176;0.544079;-0.258238;1.003235;0.997998;0.102364;-0.513230;-0.311398;
6.420176;0.544184;-0.258245;1.003230;0.997991;0.102391;-0.513328;-0.311431;
6.420575;0.541767;-0.263696;1.001656;0.996455;0.101944;-0.511270;-0.316940;
6.421373;0.537485;-0.272040;0.999248;0.994120;0.101110;-0.507582;-0.325274;
6.422969;0.530860;-0.280437;0.996858;0.991862;0.099681;-0.501733;-0.333162;
6.424564;0.525863;-0.282407;0.996364;0.991486;0.098469;-0.497187;-0.334209;
6.426160;0.522237;-0.279681;0.997256;0.992482;0.097460;-0.493759;-0.330285;
6.427756;0.519631;-0.273732;0.999092;0.994410;0.096611;-0.491172;-0.322991;
6.430948;0.516746;-0.257398;1.004012;0.999472;0.095372;-0.488001;-0.304100;
6.434140;0.514935;-0.241593;1.008704;1.004274;0.094424;-0.485830;-0.286243;
6.437332;0.513437;-0.228919;1.012431;1.008090;0.093654;-0.484043;-0.272051;
6.440523;0.511930;-0.220150;1.015000;1.010729;0.093003;-0.482370;-0.262199;
6.443715;0.510341;-0.214969;1.016522;1.012310;0.092440;-0.480735;-0.256253;
6.450099;0.507311;-0.212562;1.017265;1.013133;0.091595;-0.477861;-0.253009;
6.456482;0.504873;-0.213234;1.017111;1.013032;0.090994;-0.475633;-0.253214;
6.469249;0.502266;-0.214986;1.016648;1.012622;0.090384;-0.473285;-0.254550;
6.494784;0.500683;-0.215552;1.016510;1.012518;0.089998;-0.471843;-0.254827;
6.520318;0.500223;-0.215370;1.016570;1.012589;0.089875;-0.471412;-0.254534;
6.571386;0.500061;-0.214888;1.016712;1.012736;0.089819;-0.471247;-0.253980;
6.673523;0.500025;-0.214087;1.016943;1.012971;0.089786;-0.471188;-0.253110;
6.877797;0.500016;-0.212922;1.017278;1.013311;0.089748;-0.471141;-0.251853;
7.286345;0.500009;-0.211606;1.017656;1.013695;0.089706;-0.471092;-0.250436;
8.103442;0.500003;-0.210598;1.017946;1.013988;0.089674;-0.471054;-0.249351;
8.920538;0.500001;-0.210203;1.018059;1.014103;0.089662;-0.471039;-0.248927;
10.554730;0.500000;-0.210047;1.018104;1.014149;0.089657;-0.471033;-0.248759;
11.999998;0.500000;-0.210012;1.018114;1.014159;0.089655;-0.471032;-0.248721;
11.999998;0.272153;-0.103506;0.546630;0.542541;0.066737;-0.471032;-0.248721;
12.000124;0.272117;-0.103561;0.546615;0.542526;0.066729;-0.470971;-0.248815;
12.000378;0.272152;-0.103437;0.546649;0.542560;0.066736;-0.471030;-0.248584;
12.000459;0.272195;-0.103326;0.546680;0.542590;0.066746;-0.471105;-0.248384;
12.000459;0.272195;-0.103326;0.546680;0.542590;0.066746;-0.471105;-0.248384;
12.000460;0.272196;-0.103325;0.546680;0.542590;0.066746;-0.471106;-0.248382;
12.000460;0.272196;-0.103325;0.546680;0.542590;0.066746;-0.471106;-0.248382;
12.000460;0.272196;-0.103325;0.546680;0.542590;0.066746;-0.471106;-0.248382;
12.000460;0.272196;-0.103325;0.546680;0.542590;0.066746;-0.471106;-0.248382;
12.000675;0.272271;-0.103006;0.546770;0.542679;0.066761;-0.471234;-0.247783;
12.001107;0.272489;-0.101809;0.547107;0.543013;0.066802;-0.471606;-0.245507;
12.001539;0.272770;-0.100102;0.547587;0.543491;0.066853;-0.472086;-0.242254;
12.002403;0.273554;-0.095000;0.549019;0.544916;0.066992;-0.473422;-0.232542;
12.002508;0.273673;-0.094208;0.549240;0.545137;0.067013;-0.473626;-0.231038;
12.002508;0.273672;-0.094208;0.549240;0.545137;0.067013;-0.473623;-0.231038;
12.002803;0.273979;-0.092204;0.549800;0.545694;0.067067;-0.474145;-0.227240;
12.002803;0.273979;-0.092204;0.549800;0.545694;0.067067;-0.474145;-0.227240;
12.002804;0.273979;-0.092202;0.549801;0.545695;0.067067;-0.474146;-0.227236;
12.002804;0.273979;-0.092202;0.549801;0.545695;0.067067;-0.474146;-0.227236;
12.002972;0.274168;-0.090964;0.550146;0.546039;0.067100;-0.474467;-0.224894;
12.002972;0.274167;-0.090964;0.550146;0.546039;0.067100;-0.474466;-0.224893;
12.002972;0.274167;-0.090964;0.550146;0.546039;0.067100;-0.474466;-0.224893;
12.002972;0.274167;-0.090964;0.550146;0.546039;0.067100;-0.474466;-0.224893;
12.003120;0.274383;-0.089434;0.550572;0.546464;0.067137;-0.474833;-0.221997;
12.003120;0.274382;-0.089434;0.550572;0.546464;0.067137;-0.474831;-0.221997;
12.003431;0.274863;-0.086007;0.551525;0.547413;0.067219;-0.475647;-0.215522;
12.004054;0.276029;-0.077519;0.553871;0.549753;0.067415;-0.477623;-0.199576;
12.005299;0.278976;-0.055842;0.559768;0.555634;0.067909;-0.482595;-0.159484;
12.006543;0.282391;-0.030884;0.566402;0.562247;0.068483;-0.488318;-0.114409;
12.006788;0.283117;-0.025651;0.567773;0.563612;0.068607;-0.489532;-0.105101;
12.006788;0.283103;-0.025653;0.567773;0.563613;0.068603;-0.489509;-0.105098;
12.006844;0.283265;-0.024477;0.568079;0.563919;0.068631;-0.489779;-0.103013;
12.006844;0.283265;-0.024477;0.568079;0.563919;0.068630;-0.489779;-0.103013;
12.006844;0.283266;-0.024473;0.568081;0.563920;0.068631;-0.489780;-0.103006;
12.006844;0.283266;-0.024473;0.568081;0.563920;0.068631;-0.489780;-0.103006;
12.007062;0.283899;-0.019878;0.569277;0.565112;0.068738;-0.490835;-0.094878;
12.007499;0.285200;-0.010429;0.571722;0.567548;0.068958;-0.493002;-0.078276;
12.008372;0.287887;0.009042;0.576694;0.572501;0.069413;-0.497461;-0.044522;
12.009684;0.291916;0.037796;0.583881;0.579657;0.070103;-0.504114;0.004237;
12.009684;0.291902;0.037794;0.583881;0.579658;0.070099;-0.504090;0.004241;
12.009904;0.292600;0.042800;0.585114;0.580885;0.070218;-0.505237;0.012606;
12.010344;0.294028;0.053098;0.587635;0.583396;0.070461;-0.507583;0.029710;
12.011223;0.296981;0.074507;0.592810;0.588547;0.070964;-0.512414;0.064811;
12.012982;0.303010;0.118479;0.603171;0.598860;0.071988;-0.522214;0.135067;
12.014741;0.309015;0.162334;0.613173;0.608811;0.073009;-0.531897;0.202855;
12.016500;0.314823;0.204767;0.622565;0.618151;0.073998;-0.541196;0.266471;
12.018259;0.320323;0.244799;0.631187;0.626723;0.074938;-0.549951;0.324843;
12.020018;0.325446;0.281743;0.638954;0.634440;0.075819;-0.558066;0.377389;
12.021777;0.330154;0.315170;0.645835;0.641272;0.076635;-0.565500;0.423897;
12.023536;0.334434;0.344874;0.651837;0.647227;0.077385;-0.572247;0.464427;
12.027055;0.341374;0.389826;0.660728;0.656032;0.078639;-0.583211;0.524308;
12.030221;0.346558;0.420131;0.666595;0.661824;0.079614;-0.591445;0.563661;
12.033387;0.350839;0.441824;0.670730;0.665887;0.080456;-0.598310;0.591221;
12.036553;0.354410;0.456611;0.673511;0.668599;0.081196;-0.604107;0.609572;
12.039720;0.357443;0.466095;0.675272;0.670292;0.081859;-0.609100;0.620974;
12.042886;0.360083;0.471665;0.676288;0.671242;0.082466;-0.613511;0.627302;
12.046052;0.362446;0.474460;0.676780;0.671666;0.083035;-0.617513;0.630053;
12.049219;0.364624;0.475369;0.676915;0.671736;0.083577;-0.621241;0.630379;
12.055551;0.368651;0.473774;0.676542;0.671230;0.084616;-0.628213;0.626637;
12.061884;0.372565;0.470947;0.675935;0.670488;0.085641;-0.635020;0.621284;
12.068216;0.376461;0.467910;0.675286;0.669702;0.086663;-0.641798;0.615632;
12.080881;0.384349;0.462717;0.674147;0.668283;0.088723;-0.655499;0.605371;
12.093547;0.392307;0.458343;0.673155;0.667005;0.090790;-0.669296;0.596064;
12.118877;0.408303;0.450904;0.671398;0.664653;0.094932;-0.696988;0.578854;
12.149998;0.427861;0.442486;0.669353;0.661829;0.099989;-0.730812;0.558169;
12.149998;0.824743;0.796649;1.246712;1.238371;0.143973;-0.730902;0.558329;
12.150110;0.824591;0.796491;1.246684;1.238346;0.143938;-0.730769;0.558248;
12.150335;0.824050;0.794618;1.246327;1.237997;0.143850;-0.730352;0.556993;
