model;variable;value;
Generator;generator_UPu;1.539094;
Generator;generator_QGenPu;0.600000;
Generator;generator_PGenPu;0.800000;
NETWORK;Load2_P;0.000000;
NETWORK;Load2_Q;0.000000;
NETWORK;line1_P1;-0.206084;
NETWORK;line1_Q1;-0.226763;
NETWORK;line1_P2;0.224862;
NETWORK;line1_Q2;0.414548;
NETWORK;VL2_BUS1_U;1.539094;
NETWORK;VL2_BUS1_phi;13.788099;
Generator;generator_PGen;80.000000;
