time;svarc_SVarC_URegulatedPu;svarc_SVarC_BPu;svarc_SVarC_QInjPu;svarc_SVarC_URefPu;load_load_UPu_value;
0.000000;1.000000;0.101583;0.101876;1.000000;1.000000;
10.000000;1.000000;0.101586;0.101871;1.000000;1.000000;
10.000000;1.013806;1.067800;1.130626;1.044000;1.013806;
20.000000;1.013806;1.067800;1.130626;1.044000;1.013806;
20.000000;1.013000;1.012929;1.069090;1.013000;1.013000;
30.000000;1.013000;1.012848;1.069090;1.013000;1.013000;
