time;IECWT4A_control_iECWT4AMeasures_PGenPu;IECWT4A_control_iECWT4AMeasures_QGenPu;IECWT4A_control_iECWT4AMeasures_uWTCPu;IECWT4A_control_iECWT4APControl_ipCmdPu;IECWT4A_control_theta;
0.000000;0.999409;-0.210479;0.999531;0.999581;0.220000;
0.000003;0.999409;-0.210479;0.999531;0.999581;0.220000;
0.000006;0.999409;-0.210478;0.999531;0.999581;0.220000;
0.000012;0.999409;-0.210478;0.999531;0.999581;0.219999;
0.000024;0.999409;-0.210478;0.999531;0.999582;0.219999;
0.000049;0.999408;-0.210476;0.999531;0.999584;0.219997;
0.000098;0.999408;-0.210474;0.999532;0.999587;0.219994;
0.000098;0.999408;-0.210474;0.999532;0.999587;0.219994;
0.000098;0.999408;-0.210474;0.999532;0.999587;0.219994;
0.000101;0.999408;-0.210474;0.999532;0.999587;0.219994;
0.000105;0.999408;-0.210474;0.999532;0.999587;0.219994;
0.000111;0.999407;-0.210474;0.999532;0.999587;0.219994;
0.000125;0.999407;-0.210473;0.999533;0.999588;0.219993;
0.000151;0.999407;-0.210472;0.999533;0.999590;0.219991;
0.000205;0.999406;-0.210469;0.999534;0.999593;0.219988;
0.000311;0.999405;-0.210464;0.999536;0.999600;0.219982;
0.000525;0.999402;-0.210453;0.999539;0.999613;0.219970;
0.000738;0.999401;-0.210441;0.999543;0.999626;0.219959;
0.000952;0.999399;-0.210429;0.999547;0.999639;0.219947;
0.001165;0.999399;-0.210416;0.999551;0.999651;0.219936;
0.001379;0.999399;-0.210403;0.999555;0.999664;0.219925;
0.001593;0.999399;-0.210389;0.999559;0.999676;0.219914;
0.001806;0.999400;-0.210375;0.999563;0.999688;0.219903;
0.002020;0.999401;-0.210360;0.999568;0.999700;0.219893;
0.002233;0.999403;-0.210345;0.999572;0.999712;0.219883;
0.002447;0.999405;-0.210330;0.999577;0.999724;0.219873;
0.002660;0.999407;-0.210315;0.999582;0.999735;0.219863;
0.003087;0.999413;-0.210283;0.999591;0.999758;0.219844;
0.003143;0.999414;-0.210279;0.999592;0.999761;0.219841;
0.003143;0.999414;-0.210279;0.999592;0.999761;0.219841;
0.003153;0.999414;-0.210279;0.999593;0.999761;0.219841;
0.003163;0.999414;-0.210278;0.999593;0.999761;0.219840;
0.003184;0.999414;-0.210276;0.999593;0.999762;0.219839;
0.003225;0.999415;-0.210273;0.999594;0.999763;0.219838;
0.003307;0.999416;-0.210267;0.999596;0.999766;0.219834;
0.003470;0.999419;-0.210255;0.999600;0.999771;0.219827;
0.003798;0.999425;-0.210230;0.999607;0.999781;0.219813;
0.004454;0.999437;-0.210180;0.999622;0.999799;0.219787;
0.005109;0.999451;-0.210131;0.999636;0.999815;0.219762;
0.005765;0.999465;-0.210084;0.999650;0.999830;0.219739;
0.006420;0.999480;-0.210037;0.999664;0.999843;0.219718;
0.007076;0.999495;-0.209993;0.999677;0.999854;0.219697;
0.007731;0.999509;-0.209952;0.999689;0.999864;0.219678;
0.008387;0.999523;-0.209913;0.999700;0.999872;0.219660;
0.009042;0.999537;-0.209878;0.999710;0.999880;0.219643;
0.009698;0.999550;-0.209846;0.999719;0.999887;0.219628;
0.010353;0.999562;-0.209817;0.999727;0.999892;0.219613;
0.011009;0.999573;-0.209791;0.999735;0.999897;0.219599;
0.011664;0.999583;-0.209769;0.999741;0.999902;0.219587;
0.012975;0.999601;-0.209734;0.999751;0.999909;0.219563;
0.014155;0.999614;-0.209712;0.999757;0.999914;0.219545;
0.015335;0.999625;-0.209699;0.999760;0.999919;0.219529;
0.016515;0.999633;-0.209694;0.999762;0.999923;0.219515;
0.017695;0.999638;-0.209694;0.999761;0.999927;0.219503;
0.018875;0.999643;-0.209699;0.999759;0.999931;0.219492;
0.020054;0.999646;-0.209708;0.999756;0.999935;0.219483;
0.021234;0.999648;-0.209720;0.999753;0.999940;0.219475;
0.022414;0.999649;-0.209733;0.999748;0.999945;0.219468;
0.023594;0.999650;-0.209746;0.999744;0.999950;0.219462;
0.024774;0.999652;-0.209760;0.999740;0.999955;0.219456;
0.025954;0.999653;-0.209773;0.999736;0.999961;0.219452;
0.027134;0.999655;-0.209784;0.999732;0.999966;0.219448;
0.028314;0.999657;-0.209794;0.999729;0.999972;0.219445;
0.029494;0.999660;-0.209803;0.999726;0.999978;0.219443;
0.030673;0.999663;-0.209810;0.999724;0.999983;0.219440;
0.031853;0.999667;-0.209816;0.999722;0.999989;0.219439;
0.034213;0.999675;-0.209822;0.999719;1.000000;0.219436;
0.036337;0.999684;-0.209824;0.999718;1.000009;0.219435;
0.038461;0.999693;-0.209823;0.999718;1.000018;0.219435;
0.040584;0.999703;-0.209820;0.999718;1.000025;0.219435;
0.042708;0.999712;-0.209816;0.999719;1.000033;0.219435;
0.044832;0.999722;-0.209812;0.999719;1.000039;0.219436;
0.046956;0.999730;-0.209809;0.999720;1.000045;0.219437;
0.047330;0.999732;-0.209808;0.999720;1.000046;0.219438;
0.047330;0.999732;-0.209808;0.999720;1.000046;0.219438;
0.047552;0.999733;-0.209808;0.999720;1.000046;0.219438;
0.047774;0.999733;-0.209808;0.999720;1.000046;0.219438;
0.048218;0.999735;-0.209807;0.999720;1.000046;0.219438;
0.049106;0.999738;-0.209806;0.999721;1.000047;0.219439;
0.050882;0.999743;-0.209804;0.999721;1.000048;0.219440;
0.052658;0.999748;-0.209803;0.999721;1.000048;0.219441;
0.054434;0.999751;-0.209803;0.999721;1.000048;0.219442;
0.057986;0.999757;-0.209803;0.999720;1.000048;0.219444;
0.061538;0.999760;-0.209804;0.999720;1.000048;0.219446;
0.065090;0.999762;-0.209805;0.999719;1.000048;0.219448;
0.068642;0.999764;-0.209806;0.999719;1.000049;0.219449;
0.072194;0.999765;-0.209807;0.999719;1.000049;0.219450;
0.075746;0.999766;-0.209807;0.999719;1.000049;0.219451;
0.082850;0.999767;-0.209806;0.999719;1.000049;0.219452;
0.089954;0.999768;-0.209806;0.999719;1.000050;0.219453;
0.097058;0.999768;-0.209806;0.999719;1.000050;0.219453;
0.104162;0.999769;-0.209806;0.999719;1.000050;0.219453;
0.111266;0.999769;-0.209806;0.999719;1.000050;0.219453;
0.125474;0.999769;-0.209806;0.999719;1.000050;0.219453;
0.139682;0.999769;-0.209806;0.999719;1.000050;0.219453;
0.168098;0.999769;-0.209806;0.999719;1.000050;0.219453;
0.224929;0.999769;-0.209806;0.999719;1.000050;0.219453;
0.281761;0.999769;-0.209806;0.999719;1.000050;0.219453;
0.338593;0.999769;-0.209806;0.999719;1.000050;0.219453;
0.452256;0.999769;-0.209806;0.999719;1.000050;0.219453;
0.565919;0.999769;-0.209806;0.999719;1.000050;0.219453;
0.793246;0.999769;-0.209806;0.999719;1.000050;0.219453;
1.020572;0.999769;-0.209806;0.999719;1.000050;0.219453;
1.247899;0.999769;-0.209806;0.999719;1.000050;0.219453;
1.475225;0.999769;-0.209806;0.999719;1.000050;0.219453;
1.702552;0.999769;-0.209806;0.999719;1.000050;0.219453;
1.929878;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000000;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000000;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000000;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000000;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000000;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000000;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000000;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000000;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000001;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000003;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000007;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000014;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000028;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000056;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000094;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000094;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000094;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000094;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000094;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000094;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000094;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000094;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000095;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000097;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000101;0.999769;-0.209806;0.999719;1.000050;0.219453;
2.000108;0.999769;-0.209806;0.999719;1.000049;0.219453;
2.000122;0.999769;-0.209806;0.999719;1.000049;0.219453;
2.000151;0.999769;-0.209806;0.999719;1.000047;0.219453;
2.000208;0.999769;-0.209806;0.999719;1.000042;0.219453;
2.000322;0.999768;-0.209806;0.999719;1.000027;0.219453;
2.000436;0.999768;-0.209806;0.999719;1.000006;0.219453;
2.000550;0.999767;-0.209806;0.999719;0.999979;0.219453;
2.000664;0.999766;-0.209806;0.999719;0.999946;0.219453;
2.000778;0.999765;-0.209807;0.999719;0.999907;0.219453;
2.000892;0.999763;-0.209807;0.999719;0.999862;0.219453;
2.001006;0.999760;-0.209808;0.999719;0.999810;0.219453;
2.001120;0.999757;-0.209809;0.999719;0.999754;0.219453;
2.001234;0.999753;-0.209810;0.999719;0.999691;0.219453;
2.001348;0.999749;-0.209811;0.999718;0.999623;0.219453;
2.001462;0.999743;-0.209812;0.999718;0.999549;0.219453;
2.001576;0.999737;-0.209813;0.999718;0.999469;0.219453;
2.001690;0.999730;-0.209815;0.999718;0.999384;0.219453;
