time;IEEE_5bus_test_IEEE_5bus_GridFeeding2_CurrentControl_Vs;IEEE_5bus_test_IEEE_5bus_GridFeeding2_CurrentControl_Ws;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_i1;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_i2;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_i3;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_v1;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_v2;IEEE_5bus_test_IEEE_5bus_GridFeeding2_p_v3;
0;207340;314.159;-165.042;162.222;2.8196;84556.4;-45654.7;-38901.7;
9.53674e-11;207340;-227.503;-165.042;162.222;2.81961;82655;-81242.8;-1412.2;
1.90735e-10;207340;-227.502;-165.042;162.222;2.81962;82654.8;-81242.5;-1412.31;
3.8147e-10;207340;-227.5;-165.042;162.222;2.81965;82654.4;-81241.9;-1412.52;
7.62939e-10;207340;-227.494;-165.042;162.222;2.81969;82653.6;-81240.6;-1412.95;
1.52588e-09;207340;-227.484;-165.042;162.222;2.81978;82651.9;-81238.1;-1413.8;
3.05176e-09;207340;-227.464;-165.042;162.222;2.81997;82648.5;-81233;-1415.51;
6.10352e-09;207340;-227.423;-165.042;162.222;2.82034;82641.8;-81222.9;-1418.92;
1.2207e-08;207340;-227.342;-165.043;162.221;2.82108;82628.3;-81202.6;-1425.74;
2.44141e-08;207340;-227.18;-165.043;162.221;2.82256;82601.4;-81162.1;-1439.38;
4.88281e-08;207340;-226.856;-165.045;162.219;2.82553;82547.7;-81081.1;-1466.62;
9.76563e-08;207340;-226.21;-165.048;162.216;2.83146;82440.6;-80919.7;-1520.96;
1.46484e-07;207340;-225.565;-165.051;162.213;2.8374;82333.8;-80758.7;-1575.16;
1.95313e-07;207340;-224.922;-165.054;162.211;2.84335;82227.3;-80598.1;-1629.22;
2.92969e-07;207340;-223.641;-165.06;162.205;2.85525;82015.1;-80278.1;-1737.02;
3.90625e-07;207340;-222.366;-165.066;162.199;2.86718;81804;-79959.7;-1844.31;
4.88281e-07;207340;-221.098;-165.072;162.193;2.87913;81594.2;-79643.1;-1951.07;
6.83594e-07;207340;-218.582;-165.084;162.181;2.9031;81178.1;-79015.1;-2162.98;
1.07422e-06;207340;-213.633;-165.109;162.157;2.95131;80360.3;-77779.9;-2580.42;
1.46484e-06;207340;-208.791;-165.133;162.134;2.99988;79561.5;-76572;-2989.5;
2.24609e-06;207340;-199.417;-165.183;162.085;3.09804;78018.5;-74235;-3783.47;
2.94922e-06;207340;-191.325;-165.229;162.041;3.18753;76690.6;-72219.4;-4471.16;
3.65234e-06;207340;-183.545;-165.275;161.997;3.27805;75417.8;-70283.5;-5134.38;
4.35547e-06;207340;-176.065;-165.321;161.952;3.36958;74198.2;-68424.1;-5774.06;
5.05859e-06;207340;-168.874;-165.368;161.906;3.46206;73029.4;-66638.2;-6391.15;
5.76172e-06;207340;-161.961;-165.416;161.86;3.55547;71909.6;-64923.1;-6986.48;
6.46484e-06;207340;-155.313;-165.464;161.814;3.64976;70836.7;-63275.9;-7560.89;
7.16797e-06;207340;-148.922;-165.512;161.767;3.7449;69809.1;-61694;-8115.16;
7.87109e-06;207340;-142.776;-165.561;161.72;3.84087;68824.9;-60174.9;-8650.07;
8.57422e-06;207340;-136.867;-165.61;161.673;3.93762;67882.4;-58716.1;-9166.36;
9.27734e-06;207340;-131.185;-165.66;161.625;4.03513;66980;-57315.2;-9664.75;
9.98047e-06;207340;-125.721;-165.71;161.576;4.13337;66116;-55970.1;-10145.9;
1.06836e-05;207340;-120.467;-165.76;161.528;4.23231;65289;-54678.5;-10610.5;
1.20898e-05;207340;-110.544;-165.862;161.429;4.43215;63738.5;-52245.1;-11493.3;
1.33555e-05;207340;-102.252;-165.954;161.34;4.61414;62455.4;-50218.1;-12237.3;
1.46211e-05;207340;-94.5198;-166.048;161.25;4.798;61270.9;-48334;-12936.9;
1.58867e-05;207340;-87.3095;-166.142;161.158;4.98362;60178.4;-46583.4;-13595;
1.71523e-05;207340;-80.5855;-166.237;161.066;5.17088;59171.5;-44957.1;-14214.4;
1.8418e-05;207340;-74.3143;-166.333;160.973;5.35966;58244.2;-43446.6;-14797.6;
1.96836e-05;207340;-68.4646;-166.43;160.88;5.54986;57390.9;-42043.7;-15347.2;
2.09492e-05;207340;-63.007;-166.527;160.786;5.74139;56606.5;-40741.1;-15865.4;
2.22148e-05;207340;-57.9145;-166.625;160.691;5.93415;55886.2;-39531.8;-16354.4;
2.34805e-05;207340;-53.1618;-166.723;160.595;6.12807;55225.4;-38409.3;-16816.1;
2.47461e-05;207340;-48.7252;-166.822;160.499;6.32306;54620;-37367.5;-17252.4;
2.60117e-05;207340;-44.5829;-166.922;160.403;6.51906;54066;-36400.9;-17665.1;
2.72773e-05;207340;-40.7145;-167.022;160.306;6.71599;53559.9;-35504.3;-18055.6;
2.8543e-05;207340;-37.1011;-167.123;160.209;6.9138;53098.2;-34672.7;-18425.5;
2.98086e-05;207340;-33.725;-167.223;160.111;7.11242;52678;-33901.7;-18776.2;
3.23398e-05;207340;-27.6027;-167.426;159.915;7.51184;51946.9;-32520.3;-19426.6;
3.4618e-05;207340;-22.7535;-167.61;159.737;7.87361;51403.7;-31445.5;-19958.2;
3.68961e-05;207340;-18.4494;-167.795;159.558;8.23729;50954.7;-30509.4;-20445.3;
3.91742e-05;207340;-14.6277;-167.98;159.378;8.60266;50589;-29696.1;-20892.9;
4.14523e-05;207340;-11.2306;-168.167;159.197;8.96954;50296.3;-28990.7;-21305.6;
4.37305e-05;207340;-8.20693;-168.354;159.016;9.33776;50067.5;-28380;-21687.5;
4.60086e-05;207340;-5.51142;-168.542;158.834;9.70716;49894.6;-27852.4;-22042.2;
