time;GfmEPRI_gfm_epriVoltageControl_PPu;GfmEPRI_gfm_epriVoltageControl_QPu;GfmEPRI_gfm_injectorURI_terminal_V_re;GfmEPRI_gfm_injectorURI_terminal_i_re;GfmEPRI_gfm_injectorURI_terminal_V_im;GfmEPRI_gfm_injectorURI_terminal_i_im;GfmEPRI_gfm_pll_omegaPLLPu;
6.008288;0.043450;1.908318;1.062246;-0.574743;0.181496;3.116111;1.000000;
6.008416;0.043524;1.889433;1.053620;-0.626874;0.199145;3.090565;1.000005;
6.008671;0.043626;1.851509;1.035308;-0.729766;0.233980;3.036340;1.000000;
6.009182;0.043635;1.775260;0.994538;-0.929319;0.301546;2.915647;1.000000;
6.010203;0.042865;1.622506;0.897205;-1.297795;0.426331;2.627619;1.000000;
6.011224;0.041049;1.473956;0.780388;-1.618238;0.534883;2.282058;1.000000;
6.011668;0.039941;1.411889;0.724318;-1.739770;0.576064;2.116227;1.000000;
6.011668;0.039940;1.409385;0.724325;-1.739940;0.576122;2.116248;1.000000;
6.011712;0.039819;1.403167;0.718643;-1.751174;0.579929;2.099445;1.000000;
6.011756;0.039698;1.396992;0.712991;-1.762127;0.583641;2.082728;1.000000;
6.011844;0.039451;1.384789;0.701664;-1.783660;0.590939;2.049232;1.000000;
6.012020;0.038933;1.359983;0.679027;-1.823419;0.604416;1.982292;1.000000;
6.012371;0.037819;1.310128;0.633631;-1.893195;0.628074;1.848063;1.000000;
6.012723;0.036629;1.262028;0.588095;-1.953637;0.648573;1.713426;1.000000;
6.013427;0.034006;1.164706;0.497483;-2.040470;0.678049;1.445550;1.000000;
6.014130;0.031185;1.074187;0.408170;-2.094327;0.696366;1.181548;1.000000;
6.014834;0.028215;0.989428;0.321162;-2.117397;0.704262;0.924392;1.000000;
6.016241;0.022069;0.841866;0.154968;-2.097268;0.697623;0.433260;1.000000;
6.017647;0.015780;0.716239;0.004797;-1.981671;0.658664;-0.010420;1.000000;
6.019054;0.009644;0.603778;-0.123445;-1.783202;0.591640;-0.389207;1.000000;
6.020461;0.003943;0.502013;-0.225450;-1.519681;0.502576;-0.690387;1.000000;
6.021868;-0.001068;0.409989;-0.298323;-1.210999;0.398201;-0.905430;1.000000;
6.023275;-0.005188;0.327308;-0.340672;-0.877393;0.285361;-1.030237;1.000000;
6.024682;-0.008268;0.254326;-0.352511;-0.538336;0.170644;-1.064873;1.000000;
