time;WECCPV_photovoltaics_injector_PInjPu;WECCPV_photovoltaics_injector_QInjPu;WECCPV_photovoltaics_injector_terminal_V_re;WECCPV_photovoltaics_injector_terminal_i_re;WECCPV_photovoltaics_injector_terminal_V_im;WECCPV_photovoltaics_injector_terminal_i_im;WECCPV_photovoltaics_pll_omegaPLLPu;
1.0000000000;0.3584052004;0.1431060108;0.5190817588;-0.7168104007;0.1075230411;0.1272099732;1.0000022736;
1.0000078659;0.3584078213;0.1431205707;0.5190855029;-0.7168156426;0.1075238274;0.1272349331;1.0000022654;
1.0000078659;0.3584078213;0.1431205707;0.5190855029;-0.7168156426;0.1075238274;0.1272349331;1.0000022654;
1.0000178659;0.3584111951;0.1431391298;0.5190902713;-0.7168223902;0.1075248396;0.1272667221;1.0000022549;
1.0000278659;0.3584146219;0.1431577512;0.5190950506;-0.7168292439;0.1075258676;0.1272985838;1.0000022445;
1.0000478659;0.3584216044;0.1431951452;0.5191046357;-0.7168432088;0.1075279624;0.1273624835;1.0000022239;
1.0000878659;0.3584361878;0.1432706581;0.5191239326;-0.7168723756;0.1075323375;0.1274911282;1.0000021831;
1.0001678659;0.3584678567;0.1434246092;0.5191630374;-0.7169357135;0.1075418383;0.1277518232;1.0000021039;
1.0003278659;0.3585412347;0.1437441938;0.5192432800;-0.7170824694;0.1075638520;0.1282867662;1.0000019539;
1.0006478659;0.3587276566;0.1444290811;0.5194116621;-0.7174553131;0.1076197793;0.1294092981;1.0000016849;
1.0008081378;0.3588403781;0.1447939674;0.5194997171;-0.7176807562;0.1076535962;0.1299963231;1.0000015630;
1.0008081378;0.3588403781;0.1447939674;0.5194997171;-0.7176807562;0.1076535962;0.1299963231;1.0000015630;
1.0008181378;0.3588478890;0.1448173158;0.5195053147;-0.7176957780;0.1076558495;0.1300336401;1.0000015558;
1.0008281378;0.3588554600;0.1448407202;0.5195109205;-0.7177109201;0.1076581209;0.1300710121;1.0000015487;
1.0008481378;0.3588707206;0.1448876688;0.5195221566;-0.7177414411;0.1076626991;0.1301459179;1.0000015346;
1.0008881378;0.3589018426;0.1449822309;0.5195447400;-0.7178036852;0.1076720358;0.1302964722;1.0000015067;
1.0009681378;0.3589664595;0.1451740460;0.5195903645;-0.7179329189;0.1076914212;0.1306006314;1.0000014525;
1.0011281378;0.3591052469;0.1455684155;0.5196834279;-0.7182104939;0.1077330580;0.1312210454;1.0000013500;
1.0014481378;0.3594205616;0.1463991619;0.5198765901;-0.7188411232;0.1078276537;0.1325087753;1.0000011663;
1.0020881378;0.3601981154;0.1482209880;0.5202892735;-0.7203962308;0.1080609230;0.1352599600;1.0000008692;
1.0033681378;0.3623093743;0.1524476368;0.5212065773;-0.7246187486;0.1086943094;0.1413752350;1.0000004728;
