model;variable;value;
Generator;generator_UPu;1.420520;
Generator;generator_QGenPu;0.600000;
Generator;generator_PGenPu;0.800000;
NETWORK;Load_P;0.000000;
NETWORK;Load_Q;0.000000;
NETWORK;Load2_P;0.210049;
NETWORK;Load2_Q;0.110285;
NETWORK;Load2_zP;1.023493;
NETWORK;Load2_zQ;1.047527;
NETWORK;line1_P1;-0.531686;
NETWORK;line1_Q1;0.092940;
NETWORK;line1_P2;0.589951;
NETWORK;line1_Q2;0.489715;
NETWORK;VL2_BUS1_U;1.420520;
NETWORK;VL2_BUS1_phi;49.611153;
Generator;generator_PGen;80.000000;
