"time","generatorSynchronous.PGenPu","generatorSynchronous.PmPu_in","generatorSynchronous.UPu","generatorSynchronous.efdPu_in","avr.EfdPu","generatorSynchronous.PmPu.value"
0,3.800001039473908,0.8,1.000000136772873,1.817240296464635,1.817240296464635,0.8
0.01,3.800001163613118,0.8,1.000000153106978,1.817238819395028,1.817238819395028,0.8
0.02,3.80000124411945,0.8,1.000000163699915,1.817235944764212,1.817235944764212,0.8
0.03,3.800001266850651,0.8,1.000000166690861,1.817233266139819,1.817233266139819,0.8
0.04,3.800001270997487,0.8000000000003333,1.000000167236498,1.817230865388511,1.817230865388511,0.8000000000003333
0.05,3.800001216682191,0.8000000000022278,1.000000160089749,1.817229601932624,1.817229601932624,0.8000000000022278
0.06,3.800001162366896,0.8000000000041223,1.000000152943001,1.817228338476754,1.817228338476754,0.8000000000041223
0.07000000000000001,3.80000110805172,0.8000000000060169,1.000000145796268,1.817227075020929,1.817227075020929,0.8000000000060169
0.08,3.800001036248911,0.8000000000407202,1.000000136348532,1.817226935084081,1.817226935084081,0.8000000000407202
0.09,3.800000958453227,0.8000000000866672,1.000000126112259,1.817227180170227,1.817227180170227,0.8000000000866672
0.1,3.800000880657544,0.8000000001326141,1.000000115875986,1.817227425256367,1.817227425256367,0.8000000001326141
0.100000000110001,3.800000880657544,0.8000000001326141,1.000000115875986,1.81722742525637,1.81722742525637,0.8000000001326141
0.100000000110001,4.024668605370118,0.8000000001326141,0.9984097082874294,1.835259531961074,1.835259531961074,0.8000000001326141
0.11,4.021110121729174,0.800000000362232,0.9979682296672486,1.851915764284321,1.851915764284321,0.800000000362232
0.12,4.01850386840213,0.800000000570053,0.9976447643150508,1.890312636371488,1.890312636371488,0.800000000570053
0.13,4.016791736324977,0.8000000007580964,0.9974322123757704,1.93657565870556,1.93657565870556,0.8000000007580964
0.14,4.015893611218722,0.8000003557638953,0.9973206968864498,1.982485594380699,1.982485594380699,0.8000003557638953
0.15,4.015719047592069,0.8000016745153314,0.997299020788103,2.023499836336761,2.023499836336761,0.8000016745153314
0.16,4.016169634556031,0.8000049699572634,0.9973549705853674,2.057181219917397,2.057181219917397,0.8000049699572634
0.17,4.017140660676302,0.8000096350178512,0.9974755331218872,2.082467997424387,2.082467997424387,0.8000096350178512
0.18,4.018534621323822,0.8000174357214644,0.9976485817099843,2.099195375354912,2.099195375354912,0.8000174357214644
0.19,4.020251967870625,0.8000290556015125,0.9978617346996846,2.107705296529491,2.107705296529491,0.8000290556015125
0.2,4.022199251330528,0.8000430671243617,0.9981033718442286,2.108682269320423,2.108682269320423,0.8000430671243617
0.21,4.024289242479631,0.8000617510134859,0.998362652423191,2.103020830389349,2.103020830389349,0.8000617510134859
0.22,4.026441475842105,0.8000856225550833,0.9986295843045107,2.091748042648009,2.091748042648009,0.8000856225550833
0.23,4.028585480558148,0.8001122492749158,0.9988954247007472,2.075928041199527,2.075928041199527,0.8001122492749158
0.24,4.030660447635476,0.8001446301548246,0.9991526375996858,2.056622539949455,2.056622539949455,0.8001446301548246
0.25,4.032614866205083,0.800183202330219,0.9993948467653799,2.034870648161021,2.034870648161021,0.800183202330219
