"time","generatorSynchronous.PGenPu","generatorSynchronous.PmPu_in","generatorSynchronous.UPu","generatorSynchronous.efdPu_in","avr.EfdPu","generatorSynchronous.PmPu.value"
0,3.800000000000001,0.8,1,1.817240027570055,1.817240027570055,0.8
0.02,3.800000599204797,0.7999999999995782,1.000000078842733,1.817239207356423,1.817239207356423,0.7999999999995782
0.04,3.800000982133761,0.7999999999919425,1.000000129228118,1.817236300302642,1.817236300302642,0.7999999999919425
0.06,3.800001187883285,0.79999999996483,1.00000015630042,1.817232521569798,1.817232521569798,0.79999999996483
0.08,3.800001117259414,0.7999999998028828,1.000000147007807,1.817230700780482,1.817230700780482,0.7999999998028828
0.1,3.800001004495023,0.7999999996100206,1.000000132170389,1.817229513634876,1.817229513634876,0.7999999996100206
0.1,3.800001004495023,0.7999999996100206,1.000000132170389,1.81722951363487,1.81722951363487,0.7999999996100206
0.1,4.024668736597878,0.7999999996100206,0.9984097245644304,1.835261641109065,1.835261641109065,0.7999999996100206
0.12,4.018502398401152,0.7999998102972425,0.997644581841802,1.890261866253537,1.890261866253537,0.7999998102972425
0.14,4.015892754372843,0.7999974748044962,0.997320590490432,1.982497412577661,1.982497412577661,0.7999974748044962
0.16,4.016168663240927,0.7999891364001904,0.9973548499796544,2.057191041392316,2.057191041392316,0.7999891364001904
0.18,4.018540301507221,0.7999707334592252,0.9976492867959728,2.099178549423054,2.099178549423054,0.7999707334592252
0.2,4.022210057442559,0.7999389840904992,0.9981047126044614,2.108558204908101,2.108558204908101,0.7999389840904992
0.22,4.026452681933046,0.7998943782724988,0.9986309739591497,2.091529085352293,2.091529085352293,0.7998943782724988
0.24,4.030667051509899,0.7998417122712203,0.9991534561101918,2.056356435466708,2.056356435466708,0.7998417122712203
0.26,4.034405061576076,0.7997858755713959,0.9996166524140881,2.011385706189686,2.011385706189686,0.7997858755713959
0.28,4.037378091259048,0.7997315277213837,0.9999849028283346,1.964016066362009,1.964016066362009,0.7997315277213837
