time;gridFollowing_gridFollowing_PGenPu;gridFollowing_gridFollowing_QGenPu;gridFollowing_gridFollowing_plantControllerPropInt_PInjPu;gridFollowing_gridFollowing_plantControllerPropInt_QInjPu;gridFollowing_gridFollowing_plantControllerPropInt_QVCtrlErr_y;gridFollowing_gridFollowing_plantControllerPropInt_QVCtrlErr_u1;gridFollowing_gridFollowing_plantControllerPropInt_QVCtrlErr_u2;gridFollowing_gridFollowing_plantControllerPropInt_URefPu;gridFollowing_gridFollowing_plantControllerPropInt_URegPu;gridFollowing_gridFollowing_plantControllerPropInt_QRegPu;gridFollowing_gridFollowing_plantControllerPropInt_deadZone_y;gridFollowing_gridFollowing_plantControllerPropInt_limitedPI_u;gridFollowing_gridFollowing_plantControllerPropInt_limitedPI_y;Tfo_transformer_U2Pu;Tfo_transformer_Q2Pu;Fault_fault_terminal_i_re;Fault_fault_terminal_i_im;Fault1_fault_terminal_i_re;Fault1_fault_terminal_i_im;Fault_fault_terminal_V_re;Fault_fault_terminal_V_im;Fault1_fault_terminal_V_re;Fault1_fault_terminal_V_im;
0.000000;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
0.015000;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
0.030000;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
0.060000;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
0.120000;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
0.240000;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
0.480000;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
0.960000;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
1.920000;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
3.840000;0.200000;-0.043994;1.333333;-0.293293;0.000021;-0.305632;-0.305610;1.002297;1.066476;0.045845;0.000000;0.000000;-0.293293;1.066476;0.045845;0.000000;0.000000;0.000000;0.000000;1.064333;0.008604;1.067889;-0.029516;
