time;NETWORK_1011_131_Upu_value;NETWORK_4011_401_Upu_value;NETWORK_B11___21_Upu_value;NETWORK_BG09__11_Upu_value;NETWORK_1012_131_Upu_value;NETWORK_4012_401_Upu_value;NETWORK_B12___21_Upu_value;NETWORK_BG01__11_Upu_value;NETWORK_BG10__11_Upu_value;NETWORK_1013_131_Upu_value;NETWORK_B13___21_Upu_value;NETWORK_BG02__11_Upu_value;NETWORK_1014_131_Upu_value;NETWORK_BG03__11_Upu_value;NETWORK_1021_131_Upu_value;NETWORK_BG04__11_Upu_value;NETWORK_1022_131_Upu_value;NETWORK_4022_401_Upu_value;NETWORK_B22___21_Upu_value;NETWORK_BG05__11_Upu_value;NETWORK_1041_131_Upu_value;NETWORK_B01___21_Upu_value;NETWORK_1042_131_Upu_value;NETWORK_B02___21_Upu_value;NETWORK_BG06__11_Upu_value;NETWORK_1043_131_Upu_value;NETWORK_B03___21_Upu_value;NETWORK_BG07__11_Upu_value;NETWORK_1044_131_Upu_value;NETWORK_4044_401_Upu_value;NETWORK_B04___21_Upu_value;NETWORK_1045_131_Upu_value;NETWORK_4045_401_Upu_value;NETWORK_B05___21_Upu_value;NETWORK_2031_221_Upu_value;NETWORK_4031_401_Upu_value;NETWORK_B31___21_Upu_value;NETWORK_BG12__11_Upu_value;NETWORK_2032_221_Upu_value;NETWORK_B32___21_Upu_value;NETWORK_BG08__11_Upu_value;NETWORK_4021_401_Upu_value;NETWORK_BG11__11_Upu_value;NETWORK_4032_401_Upu_value;NETWORK_4041_401_Upu_value;NETWORK_B41___21_Upu_value;NETWORK_BG13__11_Upu_value;NETWORK_4042_401_Upu_value;NETWORK_B42___21_Upu_value;NETWORK_BG14__11_Upu_value;NETWORK_4043_401_Upu_value;NETWORK_B43___21_Upu_value;NETWORK_4046_401_Upu_value;NETWORK_B46___21_Upu_value;NETWORK_4047_401_Upu_value;NETWORK_B47___21_Upu_value;NETWORK_BG15__11_Upu_value;NETWORK_4051_401_Upu_value;NETWORK_B51___21_Upu_value;NETWORK_BG16__11_Upu_value;NETWORK_4061_401_Upu_value;NETWORK_B61___21_Upu_value;NETWORK_4062_401_Upu_value;NETWORK_B62___21_Upu_value;NETWORK_BG17__11_Upu_value;NETWORK_4063_401_Upu_value;NETWORK_B63___21_Upu_value;NETWORK_BG18__11_Upu_value;NETWORK_4071_401_Upu_value;NETWORK_B71___21_Upu_value;NETWORK_BG19__11_Upu_value;NETWORK_4072_401_Upu_value;NETWORK_B72___21_Upu_value;NETWORK_BG20__11_Upu_value;
0.000000;1.061776;1.022448;1.002565;0.998795;1.063385;1.023549;0.997505;1.068398;1.015698;1.054809;0.995721;1.056495;1.061113;1.059496;1.031062;1.033860;1.051232;0.994687;0.995213;1.029372;1.012455;0.998853;1.014565;1.001256;1.008473;1.027481;0.997456;1.014126;1.006634;1.039503;0.999690;1.011103;1.053378;0.996131;1.027901;1.036690;1.004205;1.019997;1.069481;0.997778;1.049821;1.048852;1.021100;1.048679;1.050625;0.996764;1.017015;1.042892;0.995268;1.045451;1.037022;1.001336;1.035770;0.999084;1.059099;0.995008;1.045547;1.065978;0.997807;1.053143;1.038712;0.994892;1.056026;1.000212;1.009197;1.053548;0.999194;1.030693;1.048462;1.002775;1.030017;1.059034;0.997429;1.018527;
2.000000;1.061782;1.022453;1.002571;0.998805;1.063394;1.023555;0.997513;1.068409;1.015709;1.054819;0.995730;1.056507;1.061123;1.059508;1.031082;1.033883;1.051236;0.994688;0.995217;1.029382;1.012465;0.998863;1.014577;1.001268;1.008485;1.027491;0.997465;1.014138;1.006641;1.039510;0.999697;1.011113;1.053388;0.996141;1.027903;1.036691;1.004207;1.020006;1.069490;0.997786;1.049832;1.048853;1.021110;1.048680;1.050629;0.996767;1.017018;1.042897;0.995274;1.045461;1.037030;1.001343;1.035779;0.999093;1.059109;0.995018;1.045559;1.065989;0.997817;1.053155;1.038728;0.994907;1.056048;1.000232;1.009221;1.053572;0.999216;1.030717;1.048464;1.002777;1.030017;1.059034;0.997430;1.018528;
2.000000;1.065979;1.026407;1.006543;1.001645;1.067220;1.027454;1.001111;1.071085;1.018484;1.057750;0.998503;1.058422;1.063844;1.061373;1.035647;1.036941;1.056700;0.998777;1.000402;1.033948;0.982865;0.969587;0.997194;0.984063;0.997363;0.998722;0.969449;0.995109;0.975643;1.006880;0.968829;0.982906;1.024199;0.968278;1.022914;1.027450;0.999320;1.018545;1.071243;0.999425;1.052285;1.038774;1.018261;1.035929;1.023125;0.970608;0.999610;1.008767;0.962620;1.026480;1.005401;0.970728;1.006598;0.970876;1.033760;0.971144;1.030374;1.043051;0.976293;1.038575;1.020038;0.976962;1.041491;0.986411;1.001001;1.043507;0.989648;1.025074;1.050388;1.004622;1.031302;1.059828;0.998179;1.019029;
4.000000;1.063961;1.023780;1.004632;1.004310;1.067361;1.026027;1.001243;1.074517;1.021458;1.059815;1.000458;1.062822;1.066615;1.065993;1.041007;1.046330;1.048070;0.988657;0.992211;1.033887;0.985629;0.972321;1.006953;0.993721;1.010584;1.002090;0.972729;1.011127;0.974020;1.004174;0.967213;0.984307;1.025335;0.969662;1.008266;1.012594;0.984975;1.019706;1.067129;0.995577;1.054530;1.025853;1.020999;1.021292;1.010574;0.958671;0.994366;1.003613;0.957690;1.038886;1.005276;0.970607;1.009513;0.973694;1.041036;0.977996;1.044722;1.050629;0.983404;1.052952;1.022795;0.979608;1.051532;0.995945;1.016261;1.056637;1.002131;1.040082;1.049386;1.003661;1.030432;1.059440;0.997812;1.018806;
4.000000;1.063961;1.023780;1.004632;1.004310;1.067361;1.026027;1.001243;1.074517;1.021458;1.059815;1.000458;1.062822;1.066615;1.065993;1.041007;1.046330;1.048070;0.988657;0.992211;1.033887;0.985629;0.972321;1.006953;0.993721;1.010584;1.002090;0.972729;1.011127;0.974020;1.004174;0.967213;0.984307;1.025335;0.969662;1.008266;1.012594;0.984975;1.019706;1.067129;0.995577;1.054530;1.025853;1.020999;1.021292;1.010574;0.958671;0.994366;1.003613;0.957690;1.038886;1.005276;0.970607;1.009513;0.973694;1.041036;0.977996;1.044722;1.050629;0.983404;1.052952;1.022795;0.979608;1.051532;0.995945;1.016261;1.056637;1.002131;1.040082;1.049386;1.003661;1.030432;1.059440;0.997812;1.018806;
6.000000;1.063924;1.023820;1.004598;1.004328;1.067235;1.026002;1.001125;1.074295;1.021368;1.059566;1.000222;1.062485;1.066335;1.065631;1.040688;1.045859;1.048689;0.989412;0.992799;1.034338;0.991581;0.978208;1.010962;0.997690;1.013898;1.008058;0.978541;1.017254;0.979355;1.009620;0.972526;0.989613;1.030792;0.974903;1.010686;1.015381;0.987346;1.022325;1.068179;0.996560;1.054982;1.028530;1.023599;1.024529;1.015286;0.963153;1.000558;1.009029;0.962871;1.045756;1.010696;0.975854;1.014880;0.978885;1.046327;0.982980;1.049525;1.055792;0.988249;1.057472;1.027261;0.983897;1.055857;1.000051;1.020762;1.060315;1.005627;1.043073;1.049262;1.003543;1.030249;1.059301;0.997682;1.018666;
6.000000;1.063924;1.023820;1.004598;1.004328;1.067235;1.026002;1.001125;1.074295;1.021368;1.059566;1.000222;1.062485;1.066335;1.065631;1.040688;1.045859;1.048689;0.989412;0.992799;1.034338;0.991581;0.978208;1.010962;0.997690;1.013898;1.008058;0.978541;1.017254;0.979355;1.009620;0.972526;0.989613;1.030792;0.974903;1.010686;1.015381;0.987346;1.022325;1.068179;0.996560;1.054982;1.028530;1.023599;1.024529;1.015286;0.963153;1.000558;1.009029;0.962871;1.045756;1.010696;0.975854;1.014880;0.978885;1.046327;0.982980;1.049525;1.055792;0.988249;1.057472;1.027261;0.983897;1.055857;1.000051;1.020762;1.060315;1.005627;1.043073;1.049262;1.003543;1.030249;1.059301;0.997682;1.018666;
8.000000;1.063952;1.023918;1.004625;1.003911;1.067045;1.025981;1.000947;1.073779;1.020913;1.059210;0.999886;1.061917;1.065910;1.065037;1.039903;1.044727;1.049278;0.990222;0.993359;1.034088;0.992376;0.978994;1.010874;0.997602;1.013418;1.008857;0.979319;1.017493;0.980339;1.010693;0.973505;0.990318;1.031530;0.975600;1.011896;1.016824;0.988531;1.022489;1.068280;0.996654;1.054591;1.029853;1.023721;1.026032;1.017145;0.964920;1.003514;1.010341;0.964126;1.046624;1.011650;0.976777;1.015649;0.979628;1.046826;0.983449;1.049495;1.056115;0.988552;1.057305;1.027573;0.984197;1.055432;0.999648;1.020025;1.059435;1.004790;1.041870;1.049272;1.003552;1.030234;1.059289;0.997670;1.018651;
10.000000;1.063553;1.023572;1.004247;1.003242;1.066526;1.025574;1.000458;1.073074;1.020235;1.058607;0.999315;1.061202;1.065268;1.064308;1.038687;1.043288;1.049034;0.990165;0.993126;1.033429;0.991913;0.978537;1.010165;0.996901;1.012589;1.008417;0.978891;1.016841;0.980065;1.010449;0.973232;0.989858;1.031060;0.975146;1.011938;1.016983;0.988572;1.021968;1.067792;0.996198;1.053901;1.029948;1.023186;1.026184;1.017481;0.965240;1.004913;1.010249;0.964038;1.046269;1.011360;0.976496;1.015273;0.979264;1.046323;0.982976;1.048793;1.055499;0.987974;1.056560;1.026778;0.983433;1.054104;0.998387;1.018437;1.057866;1.003298;1.040180;1.049139;1.003425;1.030197;1.059253;0.997636;1.018640;
10.000000;1.063553;1.023572;1.004247;1.003242;1.066526;1.025574;1.000458;1.073074;1.020235;1.058607;0.999315;1.061202;1.065268;1.064308;1.038687;1.043288;1.049034;0.990165;0.993126;1.033429;0.991913;0.978537;1.010165;0.996901;1.012589;1.008417;0.978891;1.016841;0.980065;1.010449;0.973232;0.989858;1.031060;0.975146;1.011938;1.016983;0.988572;1.021968;1.067792;0.996198;1.053901;1.029948;1.023186;1.026184;1.017481;0.965240;1.004913;1.010249;0.964038;1.046269;1.011360;0.976496;1.015273;0.979264;1.046323;0.982976;1.048793;1.055499;0.987974;1.056560;1.026778;0.983433;1.054104;0.998387;1.018437;1.057866;1.003298;1.040180;1.049139;1.003425;1.030197;1.059253;0.997636;1.018640;
