time;SVarC_SVarC_UPu;SVarC_SVarC_BPu;SVarC_SVarC_QInjPu;SVarC_SVarC_URefPu;
0.000000;1.000000;0.000000;0.000000;1.000000;
10.000000;1.000000;0.000000;0.000000;1.000000;
10.000000;0.996324;0.370271;0.367567;1.000000;
20.000000;0.996324;0.370288;0.367571;1.000000;
30.000000;0.996324;0.370288;0.367571;1.000000;
30.000000;0.939429;1.067800;0.942360;1.000000;
40.000000;0.939430;1.067810;0.942373;1.000000;
