model;variable;value;
NETWORK;Transformer_P1;-0.0404188218;
NETWORK;Transformer_P2;0.0405970221;
NETWORK;Transformer_Q1;-0.0051052537;
NETWORK;Transformer_Q2;0.0059370724;
Generator;generator_UPu;1.0000005787;
Generator;generator_PGen;7.0597039569;
Generator;generator_QGen;1.5937084030;
Generator;generator_PGenPu;0.0705970396;
Generator;generator_QGenPu;0.0159370840;
NETWORK;Transformer_i1;0.0410202221;
NETWORK;Transformer_i2;0.0410288324;
NETWORK;Transformer_iS1ToS2Side1;-1184.1518127084;
NETWORK;Transformer_iS2ToS1Side1;1184.1518127084;
NETWORK;Transformer_iS1ToS2Side2;-2368.8007424911;
NETWORK;Transformer_iS2ToS1Side2;2368.8007424911;
NETWORK;Transformer_iSide1;1184.1518127084;
NETWORK;Transformer_iSide2;2368.8007424911;
