time;Converter_Converter_qCmdPu;Converter_Converter_uCmdPu;Converter_Converter_pCmdPu;Converter_Converter_gridMeasurement_QMeasPu;Converter_Converter_gridMeasurement_UMeasPu;Converter_Converter_gridMeasurement_PMeasPu;Converter_Converter_injectorVoltageSource_voltageSourceIEC63406_PInjPu;Converter_Converter_injectorVoltageSource_voltageSourceIEC63406_QInjPu;Converter_Converter_controlAndProtection_control_qControl_voltageDroop;
0.000000;-0.000000;1.000000;1.000000;-0.000000;1.000000;1.000000;1.029999;0.149985;1.000000;
0.000002;0.000000;1.000000;1.000000;-0.000000;1.000000;1.000000;1.029999;0.149985;1.000000;
0.000005;0.000000;1.000000;1.000000;-0.000000;1.000000;1.000000;1.029999;0.149985;1.000000;
0.000010;0.000000;1.000000;1.000000;-0.000000;1.000000;1.000000;1.029999;0.149985;1.000000;
0.000019;0.000000;1.000000;1.000000;-0.000000;1.000000;1.000000;1.029999;0.149985;1.000000;
0.000039;0.000000;1.000000;1.000000;-0.000000;1.000000;1.000000;1.029999;0.149985;1.000000;
0.000078;0.000000;1.000000;1.000000;-0.000000;1.000000;1.000000;1.029999;0.149985;1.000000;
0.000155;0.000000;1.000000;1.000000;-0.000000;1.000000;1.000000;1.030000;0.149985;1.000000;
0.000311;0.000000;1.000000;1.000000;-0.000000;1.000000;1.000000;1.030000;0.149986;1.000000;
0.000622;0.000000;1.000000;1.000000;-0.000001;1.000000;1.000000;1.030000;0.149987;1.000000;
0.001000;0.000000;1.000000;1.000000;-0.000001;1.000000;1.000000;1.030000;0.149987;1.000000;
0.001004;0.000000;1.000000;1.000000;-0.000001;1.000000;1.000000;1.030000;0.149987;1.000000;
0.001007;0.000000;1.000000;1.000000;-0.000001;1.000000;1.000000;1.030000;0.149987;1.000000;
0.001013;0.000000;1.000000;1.000000;-0.000001;1.000000;1.000000;1.030000;0.149987;1.000000;
0.001026;0.000000;1.000000;1.000000;-0.000001;1.000000;1.000000;1.030000;0.149987;1.000000;
0.001051;0.000000;1.000000;1.000000;-0.000001;1.000000;1.000000;1.030000;0.149988;1.000000;
0.001101;0.000000;1.000000;1.000000;-0.000001;1.000000;1.000000;1.030000;0.149988;1.000000;
0.001202;0.000000;1.000000;1.000000;-0.000001;1.000000;1.000000;1.030000;0.149988;1.000000;
0.001403;0.000000;1.000000;1.000000;-0.000002;1.000000;1.000000;1.030000;0.149988;1.000000;
0.001805;0.000000;1.000000;1.000000;-0.000002;1.000000;1.000000;1.030000;0.149989;1.000000;
0.002610;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030000;0.149991;1.000000;
0.003415;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149992;1.000000;
0.004000;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004005;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004010;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004021;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004043;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004085;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004171;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004216;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004222;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004227;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004238;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004260;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004304;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004393;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004569;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000000;1.030001;0.149993;1.000000;
0.004745;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149994;1.000000;
0.004921;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149994;1.000000;
0.005098;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149994;1.000000;
0.005274;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149994;1.000000;
0.005450;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149994;1.000000;
0.005626;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149995;1.000000;
0.005803;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149995;1.000000;
0.006155;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149995;1.000000;
0.006508;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149996;1.000000;
0.006860;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149996;1.000000;
0.007213;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030001;0.149996;1.000000;
0.007565;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000000;1.030002;0.149997;1.000000;
0.007832;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149997;1.000000;
0.007845;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149997;1.000000;
0.007857;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149997;1.000000;
0.007882;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149997;1.000000;
0.007933;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149997;1.000000;
0.008034;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149997;1.000000;
0.008237;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149997;1.000000;
0.008642;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149997;1.000000;
0.009154;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149998;1.000001;
0.009167;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149998;1.000001;
0.009181;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149998;1.000001;
0.009207;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149998;1.000001;
0.009261;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149998;1.000001;
0.009368;0.000000;1.000000;1.000000;-0.000004;1.000001;1.000001;1.030002;0.149998;1.000001;
0.009582;0.000000;1.000000;1.000000;-0.000003;1.000001;1.000001;1.030002;0.149998;1.000001;
0.010000;0.000000;1.000000;1.000000;-0.000003;1.000002;1.000001;1.030002;0.149998;1.000001;
0.010014;0.000000;1.000000;1.000000;-0.000003;1.000002;1.000001;1.030002;0.149998;1.000001;
0.010028;0.000000;1.000000;1.000000;-0.000003;1.000002;1.000001;1.030002;0.149998;1.000001;
0.010057;0.000000;1.000000;1.000000;-0.000003;1.000002;1.000001;1.030002;0.149998;1.000001;
0.010113;0.000000;1.000000;1.000000;-0.000003;1.000002;1.000001;1.030002;0.149998;1.000001;
0.010226;0.000000;1.000000;1.000000;-0.000003;1.000002;1.000001;1.030002;0.149999;1.000001;
0.010452;0.000000;1.000000;1.000000;-0.000003;1.000002;1.000001;1.030002;0.149999;1.000001;
0.010903;0.000000;1.000000;1.000000;-0.000003;1.000002;1.000001;1.030002;0.149999;1.000001;
0.011805;0.000000;1.000000;1.000000;-0.000003;1.000002;1.000001;1.030002;0.149999;1.000001;
0.012708;0.000000;1.000000;1.000000;-0.000003;1.000002;1.000001;1.030002;0.150000;1.000001;
0.014513;0.000000;1.000000;1.000000;-0.000002;1.000002;1.000001;1.030002;0.150000;1.000001;
0.016138;0.000000;1.000000;1.000000;-0.000002;1.000002;1.000001;1.030002;0.150001;1.000002;
0.017763;0.000000;1.000000;1.000000;-0.000001;1.000002;1.000001;1.030002;0.150001;1.000002;
0.019388;0.000000;1.000000;1.000000;-0.000001;1.000002;1.000002;1.030002;0.150001;1.000002;
0.021012;0.000000;1.000000;1.000000;-0.000001;1.000002;1.000002;1.030002;0.150002;1.000002;
0.021680;0.000000;1.000000;1.000000;-0.000000;1.000002;1.000002;1.030002;0.150002;1.000002;
0.021713;0.000000;1.000000;1.000000;-0.000000;1.000002;1.000002;1.030002;0.150002;1.000002;
