time;NETWORK__BUS____7-BUS___10-2_AC_iSide2;HVDC_hvdc_P1Pu;
0.000000;1377.507418;11.955000;
10.000000;1376.540332;11.984365;
20.000000;1376.093278;11.997938;
30.000000;1375.886633;12.004213;
30.000000;1685.702755;12.004213;
40.000000;1484.674374;14.073445;
50.000000;1431.613315;14.620401;
50.000000;1431.613315;14.620401;
60.000000;1417.591227;14.764992;
70.000000;1413.884627;14.803217;
80.000000;1412.904750;14.813322;
90.000000;1412.645637;14.815995;
100.000000;1412.577123;14.816700;
110.000000;1412.559093;14.816887;
120.000000;1412.559093;14.816887;
130.000000;1412.559093;14.816887;
140.000000;1412.559093;14.816887;
150.000000;1412.559093;14.816887;
160.000000;1412.559093;14.816887;
170.000000;1412.559093;14.816887;
180.000000;1412.559093;14.816887;
190.000000;1412.559093;14.816887;
200.000000;1412.559093;14.816887;
210.000000;1412.559093;14.816887;
220.000000;1412.559093;14.816887;
230.000000;1412.559093;14.816887;
240.000000;1412.559093;14.816887;
250.000000;1412.559093;14.816887;
260.000000;1412.559093;14.816887;
270.000000;1412.559093;14.816887;
280.000000;1412.559093;14.816887;
290.000000;1412.559093;14.816887;
300.000000;1412.559093;14.816887;
