time;NETWORK_Generator_Q;NETWORK_Generator_P;Load_load_PPu;Load_load_QPu;NETWORK_line1_P1;NETWORK_line1_Q1;NETWORK_line1_P2;NETWORK_line1_Q2;NETWORK_VL2_BUS1_U;NETWORK_VL2_BUS1_phi;
0.000000;0.002998;0.007995;0.004997;0.002498;-0.002982;-0.000528;0.002984;0.000546;1.001669;0.335072;
1.000000;0.002997;0.007993;0.004996;0.002498;-0.002996;-0.000482;0.002998;0.000500;1.001580;0.337292;
2.000000;0.002997;0.007993;0.004996;0.002498;-0.002996;-0.000482;0.002998;0.000500;1.001580;0.337292;
3.000000;0.002997;0.007993;0.004996;0.002498;-0.002996;-0.000482;0.002998;0.000500;1.001580;0.337292;
4.000000;0.002997;0.007993;0.004996;0.002498;-0.002996;-0.000482;0.002998;0.000500;1.001580;0.337292;
5.000000;0.002997;0.007993;0.004996;0.002498;-0.002996;-0.000482;0.002998;0.000500;1.001580;0.337292;
6.000000;0.002997;0.007993;0.004996;0.002498;-0.002996;-0.000482;0.002998;0.000500;1.001580;0.337292;
7.000000;0.002997;0.007993;0.004996;0.002498;-0.002996;-0.000482;0.002998;0.000500;1.001580;0.337292;
8.000000;0.002997;0.007993;0.004996;0.002498;-0.002996;-0.000482;0.002998;0.000500;1.001580;0.337292;
9.000000;0.002997;0.007993;0.004996;0.002498;-0.002996;-0.000482;0.002998;0.000500;1.001580;0.337292;
10.000000;0.002997;0.007993;0.004996;0.002498;-0.002996;-0.000482;0.002998;0.000500;1.001580;0.337292;
10.000000;0.002961;0.007897;0.009936;0.004968;0.001941;0.002045;-0.001940;-0.002029;0.995529;-0.199933;
11.000000;0.002962;0.007899;0.009872;0.004936;0.001977;0.001991;-0.001975;-0.001975;0.995629;-0.204598;
12.000000;0.002962;0.007899;0.009872;0.004936;0.001977;0.001991;-0.001975;-0.001975;0.995629;-0.204598;
13.000000;0.002962;0.007899;0.009872;0.004936;0.001977;0.001991;-0.001975;-0.001975;0.995629;-0.204598;
14.000000;0.002962;0.007899;0.009872;0.004936;0.001977;0.001991;-0.001975;-0.001975;0.995629;-0.204598;
15.000000;0.002962;0.007899;0.009872;0.004936;0.001977;0.001991;-0.001975;-0.001975;0.995629;-0.204598;
16.000000;0.002962;0.007899;0.009872;0.004936;0.001977;0.001991;-0.001975;-0.001975;0.995629;-0.204598;
17.000000;0.002962;0.007899;0.009872;0.004936;0.001977;0.001991;-0.001975;-0.001975;0.995629;-0.204598;
18.000000;0.002962;0.007899;0.009872;0.004936;0.001977;0.001991;-0.001975;-0.001975;0.995629;-0.204598;
19.000000;0.002962;0.007899;0.009872;0.004936;0.001977;0.001991;-0.001975;-0.001975;0.995629;-0.204598;
20.000000;0.002962;0.007899;0.009872;0.004936;0.001977;0.001991;-0.001975;-0.001975;0.995629;-0.204598;
