time;infBus_infiniteBus_omegaPu;infBus_infiniteBus_UPu;Load_load_PPu;Load_load_QPu;Load_load_UPu;
0.000000;1.000000;1.000000;1.000000;0.999999;0.884660;
0.012000;1.000000;1.000000;0.999999;1.000000;0.884660;
0.024000;1.000000;1.000000;0.999999;1.000000;0.884660;
0.048000;1.000000;1.000000;0.999999;1.000000;0.884660;
0.096000;1.000000;1.000000;0.999999;1.000000;0.884660;
0.192000;1.000000;1.000000;0.999999;1.000000;0.884660;
0.384000;1.000000;1.000000;0.999999;1.000000;0.884660;
0.768000;1.000000;1.000000;0.999999;1.000000;0.884660;
1.536000;1.000000;1.000000;0.999999;1.000000;0.884660;
2.000000;1.000000;1.000000;0.999999;1.000000;0.884660;
2.000000;1.000000;0.800000;0.697169;0.872166;0.673713;
2.000004;1.000000;0.800000;0.697171;0.872163;0.673713;
2.000009;1.000000;0.800000;0.697174;0.872160;0.673713;
2.000017;1.000000;0.800000;0.697179;0.872155;0.673714;
2.000035;1.000000;0.800000;0.697190;0.872144;0.673715;
2.000071;1.000000;0.800000;0.697211;0.872122;0.673717;
2.000142;1.000000;0.800000;0.697254;0.872079;0.673721;
2.000284;1.000000;0.800000;0.697337;0.871993;0.673730;
2.000569;1.000000;0.800000;0.697497;0.871829;0.673746;
2.001139;1.000000;0.800000;0.697795;0.871523;0.673776;
2.001709;1.000000;0.800000;0.698067;0.871244;0.673803;
2.002279;1.000000;0.800000;0.698313;0.870992;0.673828;
2.002848;1.000000;0.800000;0.698537;0.870762;0.673850;
2.003988;1.000000;0.800000;0.698924;0.870365;0.673889;
2.005127;1.000000;0.800000;0.699243;0.870038;0.673921;
2.006500;1.000000;0.800000;0.699553;0.869720;0.673953;
2.007872;1.000000;0.800000;0.699799;0.869467;0.673977;
2.009245;1.000000;0.800000;0.699995;0.869267;0.673997;
2.010617;1.000000;0.800000;0.700149;0.869109;0.674012;
2.011990;1.000000;0.800000;0.700272;0.868983;0.674025;
2.013362;1.000000;0.800000;0.700369;0.868883;0.674035;
2.014735;1.000000;0.800000;0.700447;0.868803;0.674042;
2.016107;1.000000;0.800000;0.700509;0.868740;0.674049;
2.017480;1.000000;0.800000;0.700558;0.868689;0.674053;
2.018852;1.000000;0.800000;0.700597;0.868650;0.674057;
2.020224;1.000000;0.800000;0.700628;0.868618;0.674060;
2.022969;1.000000;0.800000;0.700671;0.868573;0.674065;
2.025714;1.000000;0.800000;0.700699;0.868545;0.674068;
2.028459;1.000000;0.800000;0.700716;0.868527;0.674069;
2.031204;1.000000;0.800000;0.700727;0.868516;0.674070;
2.033949;1.000000;0.800000;0.700734;0.868509;0.674071;
2.036694;1.000000;0.800000;0.700738;0.868505;0.674071;
2.039439;1.000000;0.800000;0.700740;0.868503;0.674072;
2.044929;1.000000;0.800000;0.700743;0.868500;0.674072;
2.050419;1.000000;0.800000;0.700743;0.868500;0.674072;
2.055909;1.000000;0.800000;0.700743;0.868500;0.674072;
2.066888;1.000000;0.800000;0.700742;0.868500;0.674072;
2.077868;1.000000;0.800000;0.700742;0.868501;0.674072;
2.099827;1.000000;0.800000;0.700741;0.868502;0.674072;
