time;Generator_generator_cePu;Generator_generator_PePu;Generator_generator_cmPu;Generator_generator_PmPu;Generator_generator_ufPu;Generator_generator_efdPu;Generator_generator_omegaPu;Generator_generator_theta;Generator_generator_PGenPu;Generator_generator_QGenPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_UPu;Generator_generator_IStatorPu;Generator_generator_IRotorPu;Generator_generator_UStatorPu;Generator_generator_QStatorPu;Generator_generator_thetaInternal;Generator_voltageRegulator_VrefPu;Generator_voltageRegulator_VsPu;Generator_voltageRegulator_VcPu;Generator_governor_RefLPu;Generator_governor_omegaPu;Generator_governor_PmPu;Load_LoadPQ_terminal_i_re;Load_LoadPQ_terminal_i_im;
0.016384;0.798159;0.79816;0.799998;0.8;0.000752467;1.08434;1;0.963812;3.79126;4.4794e-26;379.126;4.4794e-24;0.998849;3.79563;1.87252;0.998849;4.74716e-26;0.964809;1.00942;0;0.998849;0.04;1;0.8;3.79563;-0.0037827;
0.024576;0.797137;0.79714;0.799996;0.8;0.000780984;1.12544;1;0.963821;3.78642;5.90993e-19;378.642;5.90993e-17;0.998211;3.7932;1.86811;0.998211;5.91033e-19;0.965346;1.00942;0;0.998211;0.04;1;0.8;3.7932;-0.00578694;
0.04096;0.795023;0.795032;0.799988;0.799998;0.00083774;1.20722;1.00001;0.963867;3.7764;9.19814e-20;377.64;9.19814e-18;0.99689;3.78818;1.86152;0.99689;9.19811e-20;0.966427;1.00942;0;0.99689;0.04;1.00001;0.799998;3.78817;-0.00969911;
0.057344;0.792928;0.792949;0.799971;0.799993;0.000894019;1.28832;1.00003;0.964004;3.76651;1.24399e-20;376.651;1.24399e-18;0.995583;3.78322;1.85826;0.995583;1.10118e-20;0.967439;1.00942;0;0.995583;0.04;1.00003;0.799993;3.78319;-0.0129936;
0.073728;0.790976;0.791011;0.799948;0.799984;0.000949324;1.36802;1.00005;0.964235;3.7573;1.75824e-18;375.73;1.75824e-16;0.994366;3.77859;1.85625;0.994366;1.75576e-18;0.968346;1.00942;0;0.994366;0.04;1.00005;0.799984;3.77856;-0.0155328;
0.090112;0.789204;0.789257;0.799918;0.799972;0.00100276;1.44502;1.00007;0.964579;3.74897;1.40775e-18;374.897;1.40775e-16;0.993263;3.7744;1.8552;0.993263;1.41296e-18;0.969135;1.00942;0;0.993263;0.04;1.00007;0.799972;3.77436;-0.0171966;
0.106496;0.787565;0.787637;0.799884;0.799957;0.00105454;1.51964;1.00009;0.965006;3.74128;5.62528e-22;374.128;5.62528e-20;0.992243;3.77052;1.85467;0.992243;5.33265e-22;0.969842;1.00942;0;0.992243;0.04;1.00009;0.799957;3.77048;-0.0182334;
0.126716;0.785803;0.785901;0.799833;0.799932;0.00111467;1.6063;1.00012;0.965702;3.73303;1.30195e-18;373.303;1.30195e-16;0.991149;3.76637;1.85478;0.991149;1.30516e-18;0.970559;1.00942;0;0.991149;0.04;1.00012;0.799932;3.76632;-0.0182927;
0.146936;0.784355;0.784482;0.799771;0.7999;0.0011694;1.68516;1.00016;0.966619;3.72629;4.37599e-19;372.629;4.37599e-17;0.990254;3.76296;1.85555;0.990254;4.36758e-19;0.971096;1.00942;0;0.990254;0.04;1.00016;0.7999;3.76293;-0.0168461;
0.167156;0.783223;0.783381;0.799699;0.79986;0.00121783;1.75495;1.0002;0.96778;3.72106;1.13684e-19;372.106;1.13684e-17;0.989559;3.76032;1.85677;0.989559;1.13439e-19;0.971459;1.00942;0;0.989559;0.04;1.0002;0.79986;3.7603;-0.0138366;
