time;NETWORK__BUS____7-BUS___10-2_AC_iSide2;HVDC_hvdc_P1Pu;
0.000000;1377.507418;11.955000;
10.000000;1376.846069;11.975082;
20.000000;1376.427900;11.987778;
30.000000;1376.163520;11.995806;
30.000000;1686.520509;11.995806;
40.000000;1526.999488;13.637383;
50.000000;1460.392033;14.323710;
60.000000;0.000000;14.610694;
60.000000;0.000000;14.610694;
70.000000;0.000000;16.624878;
80.000000;0.000000;17.356937;
90.000000;0.000000;17.623304;
100.000000;0.000000;17.720055;
110.000000;0.000000;17.755193;
120.000000;0.000000;17.767954;
130.000000;0.000000;17.772589;
140.000000;0.000000;17.774272;
150.000000;0.000000;17.774880;
160.000000;0.000000;17.775103;
170.000000;0.000000;17.775185;
180.000000;0.000000;17.775214;
190.000000;0.000000;17.775225;
200.000000;0.000000;17.775229;
210.000000;0.000000;17.775230;
220.000000;0.000000;17.775231;
230.000000;0.000000;17.775231;
240.000000;0.000000;17.775231;
250.000000;0.000000;17.775231;
260.000000;0.000000;17.775231;
270.000000;0.000000;17.775231;
280.000000;0.000000;17.775231;
290.000000;0.000000;17.775231;
300.000000;0.000000;17.775231;
