time;WECCPVVSource_photovoltaics_HvMeasurements_PPu;WECCPVVSource_photovoltaics_HvMeasurements_QPu;WECCPVVSource_photovoltaics_HvMeasurements_UPu;WECCPVVSource_photovoltaics_LvMeasurements_PPu;WECCPVVSource_photovoltaics_LvMeasurements_QPu;WECCPVVSource_photovoltaics_LvMeasurements_UPu;WECCPVVSource_photovoltaics_injector_PInjPu;WECCPVVSource_photovoltaics_injector_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
0.000000;0.699993;0.199999;1.037138;0.699993;0.273906;1.070860;0.699998;0.323182;1.028709;-0.699993;0.385003;0.052184;0.999990;
0.020000;0.699998;0.200000;1.037138;0.699998;0.273908;1.070860;0.700003;0.323185;1.028709;-0.699998;0.385005;0.052184;1.000000;
0.040000;0.700000;0.200000;1.037138;0.700000;0.273909;1.070860;0.700005;0.323186;1.028708;-0.700000;0.385007;0.052183;1.000000;
0.080000;0.700001;0.200000;1.037138;0.700001;0.273908;1.070860;0.700006;0.323186;1.028708;-0.700001;0.385007;0.052182;1.000000;
0.160000;0.700000;0.200000;1.037138;0.700000;0.273908;1.070860;0.700005;0.323186;1.028708;-0.700000;0.385007;0.052183;1.000000;
0.320000;0.700000;0.200000;1.037138;0.700000;0.273908;1.070860;0.700005;0.323186;1.028708;-0.700000;0.385007;0.052183;1.000000;
0.640000;0.700000;0.200000;1.037138;0.700000;0.273908;1.070860;0.700005;0.323186;1.028708;-0.700000;0.385006;0.052183;1.000000;
1.280000;0.700000;0.200000;1.037138;0.700000;0.273908;1.070860;0.700005;0.323186;1.028708;-0.700000;0.385006;0.052183;1.000000;
2.560000;0.700000;0.200000;1.037138;0.700000;0.273908;1.070860;0.700005;0.323186;1.028708;-0.700000;0.385006;0.052183;1.000000;
3.999999;0.700000;0.200000;1.037138;0.700000;0.273908;1.070860;0.700005;0.323186;1.028708;-0.700000;0.385006;0.052183;1.000000;
3.999999;0.350008;0.904840;0.815868;0.350008;1.116946;0.984332;0.350022;1.258364;1.028708;-0.700017;0.385006;0.961257;1.080252;
3.999999;0.350009;0.904839;0.815868;0.350009;1.116944;0.984331;0.350023;1.258362;1.028707;-0.700017;0.385007;0.961256;1.080253;
3.999999;0.350009;0.904837;0.815867;0.350009;1.116942;0.984330;0.350023;1.258360;1.028706;-0.700018;0.385007;0.961254;1.080253;
3.999999;0.350010;0.904834;0.815866;0.350010;1.116938;0.984329;0.350024;1.258355;1.028704;-0.700020;0.385008;0.961250;1.080254;
3.999999;0.350012;0.904827;0.815864;0.350012;1.116930;0.984326;0.350026;1.258346;1.028700;-0.700023;0.385010;0.961242;1.080256;
4.000000;0.350015;0.904814;0.815860;0.350015;1.116914;0.984321;0.350029;1.258328;1.028692;-0.700030;0.385014;0.961227;1.080260;
4.000000;0.350022;0.904787;0.815853;0.350022;1.116881;0.984310;0.350036;1.258292;1.028675;-0.700044;0.385022;0.961197;1.080267;
4.000000;0.350036;0.904734;0.815837;0.350036;1.116816;0.984288;0.350050;1.258219;1.028642;-0.700072;0.385037;0.961137;1.080282;
4.000002;0.350064;0.904627;0.815807;0.350064;1.116687;0.984245;0.350078;1.258074;1.028576;-0.700127;0.385067;0.961016;1.080313;
4.000004;0.350119;0.904414;0.815745;0.350119;1.116427;0.984158;0.350133;1.257784;1.028443;-0.700238;0.385128;0.960775;1.080373;
