time;WT4A_WT4A_injector_PInjPu;WT4A_WT4A_injector_QInjPu;WT4A_WT4A_injector_terminal_V_re;WT4A_WT4A_injector_terminal_i_re;WT4A_WT4A_injector_terminal_V_im;WT4A_WT4A_injector_terminal_i_im;WT4A_WT4A_driveTrainPmConstrant_PePu;
0.000000;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.000000;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.000010;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.000020;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.000040;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.000080;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.000160;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.000320;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.000640;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.001280;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.002560;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.005120;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.010240;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.020480;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.040960;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.081920;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.163840;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.327680;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
0.655360;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
1.000000;0.700000;0.279500;1.030000;-0.700000;0.105001;0.199999;0.700000;
1.000000;0.427206;0.170577;0.622769;-0.712010;0.106803;0.151794;0.427206;
1.000010;0.427209;0.170599;0.622774;-0.712016;0.106804;0.151826;0.427209;
1.000020;0.427213;0.170621;0.622779;-0.712021;0.106805;0.151858;0.427213;
1.000040;0.427220;0.170665;0.622789;-0.712033;0.106806;0.151922;0.427220;
1.000080;0.427236;0.170755;0.622808;-0.712059;0.106810;0.152053;0.427236;
1.000160;0.427271;0.170941;0.622848;-0.712119;0.106819;0.152321;0.427271;
1.000320;0.427362;0.171335;0.622933;-0.712270;0.106842;0.152882;0.427362;
1.000640;0.427616;0.172213;0.623115;-0.712693;0.106905;0.154101;0.427616;
1.001280;0.428408;0.174300;0.623534;-0.714013;0.107103;0.156892;0.428408;
1.001323;0.428474;0.174457;0.623565;-0.714124;0.107120;0.157096;0.428474;
1.001323;0.428474;0.174457;0.623565;-0.714124;0.107120;0.157096;0.428474;
1.001333;0.428490;0.174494;0.623572;-0.714151;0.107124;0.157145;0.428490;
1.001343;0.428506;0.174531;0.623579;-0.714177;0.107128;0.157193;0.428506;
1.001363;0.428539;0.174606;0.623594;-0.714231;0.107136;0.157292;0.428539;
1.001403;0.428605;0.174761;0.623624;-0.714341;0.107153;0.157494;0.428605;
1.001483;0.428742;0.175086;0.623688;-0.714571;0.107187;0.157920;0.428742;
