time;Test_svarc_UPu;Test_svarc_BPu;Test_svarc_QInjPu;Test_svarc_modeHandling_mode;Test_svarc_modeHandling_URefPu;
0.000000;1.000000;0.000000;0.000000;3.000000;1.000000;
0.000001;1.000000;0.000000;0.000000;3.000000;1.000000;
0.000002;1.000000;0.000000;0.000000;3.000000;1.000000;
0.000004;1.000000;0.000000;0.000000;3.000000;1.000000;
0.000008;1.000000;0.000000;0.000000;3.000000;1.000000;
0.000016;1.000000;0.000000;0.000000;3.000000;1.000000;
0.000032;1.000000;0.000000;0.000000;3.000000;1.000000;
0.000064;1.000000;0.000000;0.000000;3.000000;1.000000;
0.000128;1.000000;0.000000;0.000000;3.000000;1.000000;
0.000256;1.000000;0.000000;0.000000;3.000000;1.000000;
0.000512;1.000000;0.000000;0.000000;3.000000;1.000000;
0.001024;1.000000;0.000000;0.000000;3.000000;1.000000;
0.002048;1.000000;0.000000;0.000000;3.000000;1.000000;
0.004096;1.000000;0.000000;0.000000;3.000000;1.000000;
0.008192;1.000000;0.000000;0.000000;3.000000;1.000000;
0.016384;1.000000;0.000000;0.000000;3.000000;1.000000;
0.032768;1.000000;0.000000;0.000000;3.000000;1.000000;
0.065536;1.000000;0.000000;0.000000;3.000000;1.000000;
0.131072;1.000000;0.000000;0.000000;3.000000;1.000000;
0.262144;1.000000;0.000000;0.000000;3.000000;1.000000;
0.524288;1.000000;0.000000;0.000000;3.000000;1.000000;
1.048576;1.000000;0.000000;0.000000;3.000000;1.000000;
2.097152;1.000000;0.000000;0.000000;3.000000;1.000000;
4.194304;1.000000;0.000000;0.000000;3.000000;1.000000;
8.388608;1.000000;0.000000;0.000000;3.000000;1.000000;
9.999998;1.000000;0.000000;0.000000;3.000000;1.000000;
9.999998;1.016250;0.578244;0.597184;3.000000;1.022222;
9.999999;1.016250;0.578236;0.597182;3.000000;1.022222;
10.000000;1.016250;0.578236;0.597182;3.000000;1.022222;
10.000002;1.016250;0.578237;0.597182;3.000000;1.022222;
10.000006;1.016250;0.578236;0.597182;3.000000;1.022222;
10.000014;1.016250;0.578236;0.597182;3.000000;1.022222;
10.000030;1.016250;0.578236;0.597182;3.000000;1.022222;
10.000062;1.016250;0.578236;0.597182;3.000000;1.022222;
10.000126;1.016250;0.578236;0.597182;3.000000;1.022222;
10.000254;1.016250;0.578236;0.597182;3.000000;1.022222;
10.000510;1.016250;0.578236;0.597182;3.000000;1.022222;
10.001022;1.016250;0.578236;0.597182;3.000000;1.022222;
10.002046;1.016250;0.578236;0.597182;3.000000;1.022222;
10.004094;1.016250;0.578236;0.597182;3.000000;1.022222;
10.008190;1.016250;0.578236;0.597182;3.000000;1.022222;
10.016382;1.016250;0.578236;0.597182;3.000000;1.022222;
10.032766;1.016250;0.578236;0.597182;3.000000;1.022222;
10.065534;1.016250;0.578236;0.597182;3.000000;1.022222;
10.131070;1.016250;0.578236;0.597182;3.000000;1.022222;
10.262142;1.016250;0.578236;0.597182;3.000000;1.022222;
10.524286;1.016250;0.578236;0.597182;3.000000;1.022222;
11.048574;1.016250;0.578236;0.597182;3.000000;1.022222;
12.097150;1.016250;0.578236;0.597182;3.000000;1.022222;
14.194302;1.016250;0.578236;0.597182;3.000000;1.022222;
18.388606;1.016250;0.578236;0.597182;3.000000;1.022222;
26.777214;1.016250;0.578236;0.597182;3.000000;1.022222;
30.000000;1.016250;0.578236;0.597182;3.000000;1.022222;
