time;SVarC_SVarC_injector_UPu;SVarC_SVarC_injector_BPu;SVarC_SVarC_injector_GPu;SVarC_SVarC_injector_PInjPu;SVarC_SVarC_injector_QInjPu;SVarC_SVarC_modeHandling_mode;SVarC_SVarC_modeHandling_URefPu;
0.000000;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.000001;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.000002;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.000004;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.000008;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.000016;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.000032;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.000064;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.000128;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.000256;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.000512;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.001024;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.002048;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.004096;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.008192;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.016384;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.032768;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.065536;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.131072;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.262144;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
0.524288;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
1.000000;1.000000;0.000000;0.000000;-0.000000;0.000000;2.000000;1.000000;
1.000000;0.958897;0.032519;0.000000;-0.000000;0.074751;3.000000;0.977778;
1.000001;0.958897;0.032523;0.000000;-0.000000;0.074762;3.000000;0.977778;
1.000002;0.958897;0.032528;0.000000;-0.000000;0.074773;3.000000;0.977778;
1.000004;0.958898;0.032538;0.000000;-0.000000;0.074795;3.000000;0.977778;
1.000008;0.958899;0.032557;0.000000;-0.000000;0.074839;3.000000;0.977778;
1.000016;0.958902;0.032595;0.000000;-0.000000;0.074927;3.000000;0.977778;
1.000032;0.958907;0.032671;0.000000;-0.000000;0.075103;3.000000;0.977778;
1.000064;0.958918;0.032823;0.000000;-0.000000;0.075455;3.000000;0.977778;
