time;Converter_Converter_gridMeasurement_QMeasPu;Converter_Converter_gridMeasurement_UMeasPu;Converter_Converter_gridMeasurement_PMeasPu;Converter_Converter_qCmdPu;Converter_Converter_uCmdPu;Converter_Converter_pCmdPu;Converter_Converter_energyConversion_storageSys_sOCcontrol_soc;Converter_Converter_injectorCurrentSource_currentSourceIEC63406_PInjPu;Converter_Converter_injectorCurrentSource_currentSourceIEC63406_QInjPu;
0.000000;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;50.000000;1.031200;-0.044000;
0.000024;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.999976;1.031200;-0.044000;
0.000048;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.999952;1.031200;-0.044000;
0.000096;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.999904;1.031200;-0.044000;
0.000192;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.999808;1.031200;-0.044000;
0.000384;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.999616;1.031200;-0.044000;
0.000769;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.999231;1.031200;-0.044000;
0.001000;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.999000;1.031200;-0.044000;
0.001031;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.998969;1.031200;-0.044000;
0.001063;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.998937;1.031200;-0.044000;
0.001125;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.998875;1.031200;-0.044000;
0.001249;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.998751;1.031200;-0.044000;
0.001498;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.998502;1.031200;-0.044000;
0.001996;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.998004;1.031200;-0.044000;
0.002991;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.997009;1.031200;-0.044000;
0.004000;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.996000;1.031200;-0.044000;
0.004053;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.995947;1.031200;-0.044000;
0.004106;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.995894;1.031200;-0.044000;
0.004197;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.995803;1.031200;-0.044000;
0.004251;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.995749;1.031200;-0.044000;
0.004306;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.995694;1.031200;-0.044000;
0.004414;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.995586;1.031200;-0.044000;
0.004632;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.995368;1.031200;-0.044000;
0.005066;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.994934;1.031200;-0.044000;
0.005501;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.994499;1.031200;-0.044000;
0.005936;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.994064;1.031200;-0.044000;
0.006371;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.993629;1.031200;-0.044000;
0.006806;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.993194;1.031200;-0.044000;
0.007675;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.992325;1.031200;-0.044000;
0.007811;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.992189;1.031200;-0.044000;
0.007934;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.992066;1.031200;-0.044000;
0.008057;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.991943;1.031200;-0.044000;
0.008303;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.991697;1.031200;-0.044000;
0.008795;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.991205;1.031200;-0.044000;
0.009108;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.990892;1.031200;-0.044000;
0.009240;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.990760;1.031200;-0.044000;
0.009372;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.990628;1.031200;-0.044000;
0.009635;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.990365;1.031200;-0.044000;
0.010000;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.990000;1.031200;-0.044000;
0.010140;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.989860;1.031200;-0.044000;
0.010279;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.989721;1.031200;-0.044000;
0.010558;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.989442;1.031200;-0.044000;
0.011115;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.988885;1.031200;-0.044000;
0.012231;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.987769;1.031200;-0.044000;
0.014461;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.985539;1.031200;-0.044000;
0.016692;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.983308;1.031200;-0.044000;
0.018923;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.981077;1.031200;-0.044000;
0.021153;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.978847;1.031200;-0.044000;
0.021582;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.978418;1.031200;-0.044000;
0.021908;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.978092;1.031200;-0.044000;
0.022233;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.977767;1.031200;-0.044000;
0.022884;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.977116;1.031200;-0.044000;
0.024187;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.975813;1.031200;-0.044000;
0.026792;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.973208;1.031200;-0.044000;
0.029372;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.970628;1.031200;-0.044000;
0.030001;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.969999;1.031200;-0.044000;
0.030630;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.969370;1.031200;-0.044000;
0.031888;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.968112;1.031200;-0.044000;
0.034404;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.965596;1.031200;-0.044000;
0.039436;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.960564;1.031200;-0.044000;
0.044468;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.955532;1.031200;-0.044000;
0.049500;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.950500;1.031200;-0.044000;
0.054532;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.945468;1.031200;-0.044000;
0.059564;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.940436;1.031200;-0.044000;
0.062997;-0.200000;1.000000;1.000000;-0.200000;1.000000;1.000000;49.937003;1.031200;-0.044000;
