time;Hvdc1_hvdc_PInj1Pu;Hvdc2_hvdc_PInj1Pu;Hvdc1_hvdc_QInj1Pu;Hvdc2_hvdc_QInj1Pu;Hvdc2_hvdc_QInj1MaxPu;Hvdc1_hvdc_QInj2Pu;Hvdc2_hvdc_QInj2Pu;Hvdc2_hvdc_QInj2MaxPu;Hvdc1_hvdc_U1Pu;Hvdc1_hvdc_U2Pu;
0.000000;-4.653412;-4.653412;0.298367;0.298367;0.400000;0.721732;0.721732;1.700000;1.000000;1.000000;
10.000000;-4.653412;-4.653412;0.298367;0.298367;0.400000;0.721732;0.721732;1.700000;1.000000;1.000000;
20.000000;-4.653412;-4.653412;0.298367;0.298367;0.400000;0.721732;0.721732;1.700000;1.000000;1.000000;
30.000000;-4.653412;-4.653412;0.298367;0.298367;0.400000;0.721732;0.721732;1.700000;1.000000;1.000000;
30.000000;0.000000;-4.653412;0.000000;0.400000;0.400000;0.000000;1.372537;1.700000;0.998224;0.997746;
40.000000;0.000000;-5.095572;0.000000;0.400000;0.400000;0.000000;1.742857;1.700000;0.999624;0.999678;
40.000000;0.000000;-5.095572;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999471;0.999470;
50.000000;0.000000;-5.429024;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999523;0.999568;
60.000000;0.000000;-5.680523;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999561;0.999639;
60.000000;0.000000;-5.680523;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999503;0.999597;
70.000000;0.000000;-5.885599;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999533;0.999654;
80.000000;0.000000;-6.040277;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999555;0.999697;
90.000000;0.000000;-6.156942;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999571;0.999730;
100.000000;0.000000;-6.244938;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999584;0.999754;
110.000000;0.000000;-6.311310;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999593;0.999772;
120.000000;0.000000;-6.361372;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999599;0.999785;
130.000000;0.000000;-6.399132;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999605;0.999795;
140.000000;0.000000;-6.427613;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999608;0.999803;
150.000000;0.000000;-6.449095;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999611;0.999809;
160.000000;0.000000;-6.465299;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999613;0.999813;
170.000000;0.000000;-6.477521;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999615;0.999817;
180.000000;0.000000;-6.486740;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999616;0.999819;
190.000000;0.000000;-6.493693;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999617;0.999821;
200.000000;0.000000;-6.498938;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999618;0.999822;
210.000000;0.000000;-6.502894;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999618;0.999823;
220.000000;0.000000;-6.505878;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999619;0.999824;
230.000000;0.000000;-6.508128;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999619;0.999825;
240.000000;0.000000;-6.509826;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999619;0.999825;
250.000000;0.000000;-6.511106;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999619;0.999825;
260.000000;0.000000;-6.512072;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999620;0.999826;
270.000000;0.000000;-6.512801;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999620;0.999826;
280.000000;0.000000;-6.513350;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999620;0.999826;
290.000000;0.000000;-6.513765;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999620;0.999826;
300.000000;0.000000;-6.514077;0.000000;0.400000;0.400000;0.000000;1.700000;1.700000;0.999620;0.999826;
