time;NETWORK_Load2_P;NETWORK_Load2_Q;NETWORK_Transformer_P1_value;NETWORK_Transformer_P2_value;NETWORK_Transformer_Q1_value;NETWORK_Transformer_Q2_value;NETWORK_VL1_BUS1_U;NETWORK_VL2_BUS1_U;
0.0000000000;0.0401030643;0.0050257993;-0.0701803626;0.0707208161;-0.0150773978;0.0177214037;1.9708181490;1.0007580520;
0.5000000000;0.0401045503;0.0050261717;-0.0701829631;0.0707234191;-0.0150785152;0.0177225290;1.9708911768;1.0007948259;
1.0000000000;0.0400841492;0.0050210594;-0.0701472612;0.0706876834;-0.0150631784;0.0177070828;1.9698885896;1.0002899622;
1.5000000000;0.0400723952;0.0050181152;-0.0701266915;0.0706670944;-0.0150543456;0.0176981870;1.9693109495;0.9999990853;
2.0000000000;0.0400673365;0.0050168483;-0.0701178389;0.0706582333;-0.0150505447;0.0176943590;1.9690623468;0.9998738987;
2.5000000000;0.0400660663;0.0050165302;-0.0701156160;0.0706560084;-0.0150495901;0.0176933976;1.9689999240;0.9998424648;
3.0000000000;0.0400666210;0.0050166691;-0.0701165867;0.0706569800;-0.0150500063;0.0176938167;1.9690271840;0.9998561916;
3.5000000000;0.0400678446;0.0050169755;-0.0701187280;0.0706591234;-0.0150509246;0.0176947416;1.9690873162;0.9998864713;
4.0000000000;0.0400691318;0.0050172979;-0.0701209807;0.0706613782;-0.0150518902;0.0176957141;1.9691505755;0.9999183255;
4.5000000000;0.0400702172;0.0050175697;-0.0701228802;0.0706632794;-0.0150527037;0.0176965333;1.9692039159;0.9999451847;
5.0000000000;0.0400710254;0.0050177721;-0.0701242946;0.0706646951;-0.0150533080;0.0176971420;1.9692436329;0.9999651831;
5.5000000000;0.0400715742;0.0050179096;-0.0701252551;0.0706656565;-0.0150537165;0.0176975533;1.9692706034;0.9999787625;
6.0000000000;0.0400719174;0.0050179955;-0.0701258559;0.0706662579;-0.0150539692;0.0176978078;1.9692874712;0.9999872539;
6.5000000000;0.0400721144;0.0050180448;-0.0701262007;0.0706666030;-0.0150541107;0.0176979502;1.9692971491;0.9999921240;
7.0000000000;0.0400722160;0.0050180703;-0.0701263788;0.0706667812;-0.0150541789;0.0176980189;1.9693021431;0.9999946347;
7.5000000000;0.0400722607;0.0050180815;-0.0701264573;0.0706668599;-0.0150542026;0.0176980427;1.9693043409;0.9999957365;
8.0000000000;0.0400722748;0.0050180850;-0.0701264824;0.0706668849;-0.0150542013;0.0176980414;1.9693050336;0.9999960793;
8.5000000000;0.0400722747;0.0050180850;-0.0701264828;0.0706668853;-0.0150541874;0.0176980272;1.9693050315;0.9999960714;
9.0000000000;0.0400722700;0.0050180838;-0.0701264751;0.0706668775;-0.0150541677;0.0176980073;1.9693047987;0.9999959461;
9.5000000000;0.0400722654;0.0050180827;-0.0701264677;0.0706668701;-0.0150541458;0.0176979852;1.9693045705;0.9999958220;
10.0000000000;0.0400722628;0.0050180820;-0.0701264641;0.0706668664;-0.0150541230;0.0176979621;1.9693044450;0.9999957484;
10.0000000000;0.0415180316;0.0053867092;-0.0415180329;0.0416969243;-0.0053867114;0.0062187229;2.0403550615;1.0270746049;
10.5000000000;0.0410372498;0.0052626746;-0.0410372503;0.0412158372;-0.0052626781;0.0060946047;2.0167275992;1.0152327001;
11.0000000000;0.0410672335;0.0052703677;-0.0410672351;0.0412458409;-0.0052703665;0.0061022984;2.0182011151;1.0159712113;
11.2500000000;0.0410408612;0.0052636009;-0.0410408621;0.0412194512;-0.0052635965;0.0060955237;2.0169050799;1.0153216480;
11.5000000000;0.0409818470;0.0052484743;-0.0409818470;0.0411603990;-0.0052484743;0.0060803912;2.0140048946;1.0138681028;
11.6250000000;0.0409461108;0.0052393250;-0.0409461115;0.0411246410;-0.0052393250;0.0060712356;2.0122486829;1.0129879056;
11.7500000000;0.0409065423;0.0052292037;-0.0409065445;0.0410850492;-0.0052292039;0.0060611076;2.0103041317;1.0120133148;
11.8750000000;0.0408648893;0.0052185599;-0.0408648961;0.0410433747;-0.0052185606;0.0060504573;2.0082571438;1.0109873846;
12.0000000000;0.0408225421;0.0052077498;-0.0408225618;0.0410010140;-0.0052077530;0.0060396428;2.0061760404;1.0099443584;
12.1250000000;0.0407805692;0.0051970463;-0.0407805692;0.0409589949;-0.0051970463;0.0060289279;2.0041133326;1.0089105458;
