time;Generator_generator_UPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_PGenPu;Generator_generator_QGenPu;Load_load_PPu;Load_load_QPu;Transformer_transformer_terminal1_V_re;Transformer_transformer_terminal1_V_im;Transformer_transformer_terminal2_V_re;Transformer_transformer_terminal2_V_im;Transformer_transformer_terminal1_i_re;Transformer_transformer_terminal1_i_im;Transformer_transformer_terminal2_i_re;Transformer_transformer_terminal2_i_im;Transformer_transformer_P1Pu;Transformer_transformer_Q1Pu;Transformer_transformer_P2Pu;Transformer_transformer_Q2Pu;Transformer_transformer_U1Pu;Transformer_transformer_U2Pu;Bus1_bus_U;Bus1_bus_UPhaseDeg;Bus2_bus_U;Bus2_bus_UPhaseDeg;
0.0000000000;0.9999925350;9.0849099832;1.5087830019;0.0908490998;0.0150878300;0.0900000000;0.0100000000;0.9818525656;-0.0530422934;0.9999925341;-0.0000419824;-0.0908481096;0.0150926856;0.0908491445;-0.0150917568;-0.0900000002;-0.0100000000;0.0908490998;0.0150878300;0.9832842649;0.9999925350;0.9832842649;-3.0922649044;0.9999925350;-0.0024054318;
0.1000000000;1.0000121084;9.0849065930;1.5087623795;0.0908490659;0.0150876238;0.0900000000;0.0100000000;0.9818676989;-0.0531322973;1.0000120993;-0.0001347055;-0.0908448977;0.0151006073;0.0908459327;-0.0150996785;-0.0900000007;-0.0100000004;0.0908490659;0.0150876238;0.9833042353;1.0000121084;0.9833042353;-3.0974541001;1.0000121084;-0.0077179616;
0.2000000000;1.0000110106;9.0849068291;1.5087635121;0.0908490683;0.0150876351;0.0900000000;0.0100000000;0.9818607396;-0.0532400657;1.0000109807;-0.0002444062;-0.0908433428;0.0151106008;0.0908443779;-0.0151096721;-0.0900000011;-0.0100000001;0.0908490683;0.0150876351;0.9833031153;1.0000110106;0.9833031153;-3.1037463622;1.0000110106;-0.0140032890;
0.3000000000;1.0000062588;9.0849077548;1.5087685398;0.0908490775;0.0150876854;0.0900000000;0.0100000000;0.9818480260;-0.0533847895;1.0000061822;-0.0003915490;-0.0908415593;0.0151240897;0.0908425945;-0.0151231612;-0.0900000020;-0.0100000001;0.0908490775;0.0150876854;0.9832982670;1.0000062588;0.9832982670;-3.1122070124;1.0000062588;-0.0224339633;
0.4000000000;1.0000014928;9.0849087246;1.5087735991;0.0908490872;0.0150877360;0.0900000000;0.0100000000;0.9818330032;-0.0535711867;1.0000013239;-0.0005811364;-0.0908391329;0.0151414347;0.0908401683;-0.0151405065;-0.0900000033;-0.0100000002;0.0908490872;0.0150877360;0.9832934040;1.0000014928;0.9832934040;-3.1230997442;1.0000014928;-0.0332966147;
0.5000000000;0.9999973907;9.0849096154;1.5087779685;0.0908490962;0.0150877797;0.0900000000;0.0100000000;0.9818162779;-0.0538004014;0.9999970591;-0.0008143717;-0.0908359803;0.0151627274;0.0908370160;-0.0151617994;-0.0900000049;-0.0100000004;0.0908490962;0.0150877797;0.9832892182;0.9999973907;0.9832892182;-3.1364892290;0.9999973907;-0.0466601899;
0.6000000000;0.9999940071;9.0849104156;1.5087815884;0.0908491042;0.0150878159;0.0900000000;0.0100000000;0.9817978638;-0.0540726485;0.9999934114;-0.0010914786;-0.0908320904;0.0151879861;0.0908331263;-0.0151870584;-0.0900000069;-0.0100000006;0.0908491042;0.0150878159;0.9832857655;0.9999940071;0.9832857655;-3.1523879372;0.9999940071;-0.0625375040;
0.7000000000;0.9999912809;9.0849111351;1.5087845225;0.0908491114;0.0150878452;0.0900000000;0.0100000000;0.9817776653;-0.0543878809;0.9999902835;-0.0014124075;-0.0908274661;0.0152172073;0.0908285023;-0.0152162799;-0.0900000093;-0.0100000009;0.0908491114;0.0150878452;0.9832829835;0.9999912809;0.9832829835;-3.1707934193;0.9999912809;-0.0809257230;
0.8000000000;0.9999891384;9.0849117862;1.5087868484;0.0908491179;0.0150878685;0.0900000000;0.0100000000;0.9817555727;-0.0547459677;0.9999875594;-0.0017770236;-0.0908221126;0.0152503801;0.0908231491;-0.0152494531;-0.0900000120;-0.0100000012;0.0908491179;0.0150878685;0.9832807969;0.9999891384;0.9832807969;-3.1916984026;0.9999891384;-0.1018171093;
0.9000000000;0.9999875102;9.0849123805;1.5087886387;0.0908491238;0.0150878864;0.0900000000;0.0100000000;0.9817314774;-0.0551467466;0.9999851227;-0.0021851602;-0.0908160344;0.0152874902;0.0908170713;-0.0152865637;-0.0900000150;-0.0100000015;0.0908491238;0.0150878864;0.9832791350;0.9999875102;0.9832791350;-3.2150937780;0.9999875102;-0.1252021182;
1.0000000000;0.9999863333;9.0849129286;1.5087899602;0.0908491293;0.0150878996;0.0900000000;0.0100000000;0.9817052724;-0.0555900405;0.9999828573;-0.0026366365;-0.0908092354;0.0153285221;0.0908102727;-0.0153275960;-0.0900000184;-0.0100000019;0.0908491293;0.0150878996;0.9832779335;0.9999863333;0.9832779335;-3.2409695752;0.9999863333;-0.1510703809;
1.1000000000;0.9999855493;9.0849134404;1.5087908741;0.0908491344;0.0150879087;0.0900000000;0.0100000000;0.9816768511;-0.0560756636;0.9999806468;-0.0031312631;-0.0908017185;0.0153734592;0.0908027563;-0.0153725336;-0.0900000220;-0.0100000024;0.0908491344;0.0150879087;0.9832771328;0.9999855493;0.9832771328;-3.2693153122;0.9999855493;-0.1794110488;
1.2000000000;0.9999851047;9.0849139247;1.5087914368;0.0908491392;0.0150879144;0.0900000000;0.0100000000;0.9816461066;-0.0566034234;0.9999783743;-0.0036688448;-0.0907934859;0.0154222839;0.0907945242;-0.0154213589;-0.0900000260;-0.0100000028;0.0908491392;0.0150879144;0.9832766783;0.9999851047;0.9832766783;-3.3001201294;0.9999851047;-0.2102129243;
1.3000000000;0.9999849498;9.0849143897;1.5087917004;0.0908491439;0.0150879170;0.0900000000;0.0100000000;0.9816129318;-0.0571731219;0.9999759219;-0.0042491807;-0.0907845390;0.0154749784;0.0907855778;-0.0154740539;-0.0900000303;-0.0100000033;0.0908491439;0.0150879170;0.9832765194;0.9999849498;0.9832765194;-3.3333728462;0.9999849498;-0.2434645151;
1.4000000000;0.9999850394;9.0849148430;1.5087917127;0.0908491484;0.0150879171;0.0900000000;0.0100000000;0.9815772189;-0.0577845560;0.9999731706;-0.0048720653;-0.0907748784;0.0155315238;0.0907759178;-0.0155306000;-0.0900000349;-0.0100000039;0.0908491484;0.0150879171;0.9832766099;0.9999850394;0.9832766099;-3.3690619880;0.9999850394;-0.2791540602;
1.5000000000;0.9999853319;9.0849152914;1.5087915174;0.0908491529;0.0150879152;0.0900000000;0.0100000000;0.9815388596;-0.0584375174;0.9999700007;-0.0055372887;-0.0907645041;0.0155919010;0.0907655441;-0.0155909779;-0.0900000398;-0.0100000045;0.0908491529;0.0150879152;0.9832769072;0.9999853319;0.9832769072;-3.4071758038;0.9999853319;-0.3172695477;
1.6000000000;0.9999857897;9.0849157408;1.5087911539;0.0908491574;0.0150879115;0.0900000000;0.0100000000;0.9814977452;-0.0591317932;0.9999662915;-0.0062446365;-0.0907534151;0.0156560902;0.0907544558;-0.0156551678;-0.0900000450;-0.0100000051;0.0908491574;0.0150879115;0.9832773733;0.9999857897;0.9832773733;-3.4477022812;0.9999857897;-0.3577987284;
1.7000000000;0.9999863791;9.0849161966;1.5087906577;0.0908491620;0.0150879066;0.0900000000;0.0100000000;0.9814537664;-0.0598671663;0.9999619213;-0.0069938905;-0.0907416100;0.0157240710;0.0907426513;-0.0157231495;-0.0900000505;-0.0100000057;0.0908491620;0.0150879066;0.9832779736;0.9999863791;0.9832779736;-3.4906291620;0.9999863791;-0.4007291320;
1.8000000000;0.9999870701;9.0849166637;1.5087900605;0.0908491666;0.0150879006;0.0900000000;0.0100000000;0.9814068135;-0.0606434153;0.9999567675;-0.0077848284;-0.0907290865;0.0157958227;0.0907301285;-0.0157949019;-0.0900000563;-0.0100000064;0.0908491666;0.0150879006;0.9832786774;0.9999870701;0.9832786774;-3.5359439599;0.9999870701;-0.4460480825;
1.9000000000;0.9999878361;9.0849171461;1.5087893902;0.0908491715;0.0150878939;0.0900000000;0.0100000000;0.9813567758;-0.0614603148;0.9999507067;-0.0086172246;-0.0907158415;0.0158713239;0.0907168844;-0.0158704040;-0.0900000623;-0.0100000070;0.0908491715;0.0150878939;0.9832794576;0.9999878361;0.9832794576;-3.5836339785;0.9999878361;-0.4937427165;
2.0000000000;0.9999886538;9.0849176474;1.5087886712;0.0908491765;0.0150878867;0.0900000000;0.0100000000;0.9813035423;-0.0623176361;0.9999436141;-0.0094908503;-0.0907018716;0.0159505528;0.0907029153;-0.0159496338;-0.0900000687;-0.0100000078;0.0908491765;0.0150878867;0.9832802906;0.9999886538;0.9832802906;-3.6336863315;0.9999886538;-0.5438000011;
2.1000000000;0.9999895030;9.0849181705;1.5087879246;0.0908491817;0.0150878792;0.0900000000;0.0100000000;0.9812470007;-0.0632151471;0.9999353641;-0.0104054739;-0.0906871725;0.0160334874;0.0906882169;-0.0160325694;-0.0900000753;-0.0100000085;0.0908491817;0.0150878792;0.9832811558;0.9999895030;0.9832811558;-3.6860879629;0.9999895030;-0.5962067538;
2.2000000000;0.9999903667;9.0849187179;1.5087871685;0.0908491872;0.0150878717;0.0900000000;0.0100000000;0.9811870380;-0.0641526129;0.9999258294;-0.0113608610;-0.0906717392;0.0161201052;0.0906727846;-0.0161191882;-0.0900000821;-0.0100000093;0.0908491872;0.0150878717;0.9832820355;0.9999903667;0.9832820355;-3.7408256681;0.9999903667;-0.6509496616;
2.3000000000;0.9999912301;9.0849192916;1.5087864182;0.0908491929;0.0150878642;0.0900000000;0.0100000000;0.9811235399;-0.0651297962;0.9999148816;-0.0123567753;-0.0906555665;0.0162103833;0.0906566127;-0.0162094673;-0.0900000892;-0.0100000101;0.0908491929;0.0150878642;0.9832829150;0.9999912301;0.9832829150;-3.7978861148;0.9999912301;-0.7080153005;
2.4000000000;0.9999920812;9.0849198933;1.5087856864;0.0908491989;0.0150878569;0.0900000000;0.0100000000;0.9810563908;-0.0661464572;0.9999023905;-0.0133929784;-0.0906386482;0.0163042986;0.0906396954;-0.0163033837;-0.0900000966;-0.0100000109;0.0908491989;0.0150878569;0.9832837819;0.9999920812;0.9832837819;-3.8572558630;0.9999920812;-0.7673901546;
2.5000000000;0.9999929102;9.0849205239;1.5087849834;0.0908492052;0.0150878498;0.0900000000;0.0100000000;0.9809854736;-0.0672023544;0.9998882246;-0.0144692303;-0.0906209778;0.0164018278;0.0906220259;-0.0164009140;-0.0900001042;-0.0100000117;0.0908492052;0.0150878498;0.9832846261;0.9999929102;0.9832846261;-3.9189213860;0.9999929102;-0.8290606349;
2.6000000000;0.9999937090;9.0849211845;1.5087843173;0.0908492118;0.0150878432;0.0900000000;0.0100000000;0.9809106697;-0.0682972447;0.9998722503;-0.0155852897;-0.0906025482;0.0165029472;0.0906035974;-0.0165020346;-0.0900001121;-0.0100000126;0.0908492118;0.0150878432;0.9832854396;0.9999937090;0.9832854396;-3.9828690885;0.9999937090;-0.8930130968;
2.7000000000;0.9999944717;9.0849218755;1.5087836947;0.0908492188;0.0150878369;0.0900000000;0.0100000000;0.9808318587;-0.0694308837;0.9998543320;-0.0167409145;-0.0905833520;0.0166076331;0.0905844023;-0.0166067217;-0.0900001202;-0.0100000135;0.0908492188;0.0150878369;0.9832862161;0.9999944717;0.9832862161;-4.0490853258;0.9999944717;-0.9592338572;
2.8000000000;0.9999951937;9.0849225972;1.5087831201;0.0908492260;0.0150878312;0.0900000000;0.0100000000;0.9807489183;-0.0706030258;0.9998343325;-0.0179358615;-0.0905633812;0.0167158616;0.0905644325;-0.0167149514;-0.0900001285;-0.0100000144;0.0908492260;0.0150878312;0.9832869510;0.9999951937;0.9832869510;-4.1175564203;0.9999951937;-1.0277092103;
2.9000000000;0.9999958719;9.0849233497;1.5087825968;0.0908492335;0.0150878260;0.0900000000;0.0100000000;0.9806617243;-0.0718134249;0.9998121120;-0.0191698871;-0.0905426272;0.0168276085;0.0905436796;-0.0168266996;-0.0900001371;-0.0100000154;0.0908492335;0.0150878260;0.9832876412;0.9999958719;0.9832876412;-4.1882686777;0.9999958719;-1.0984254423;
