time;Generator_generator_cePu;Generator_generator_PePu;Generator_generator_cmPu;Generator_generator_PmPu;Generator_generator_ufPu;Generator_generator_efdPu;Generator_generator_omegaPu;Generator_generator_theta;Generator_generator_PGenPu;Generator_generator_QGenPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_UPu;Generator_generator_IStatorPu;Generator_generator_IRotorPu;Generator_generator_UStatorPu;Generator_generator_QStatorPu;Generator_generator_thetaInternal;Generator_voltageRegulator_VrefPu;Generator_voltageRegulator_VsPu;Generator_voltageRegulator_VcPu;
0;0;0;0;0;0.000693938;0.999999;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999999;1;-1e-05;0;1.005;0;1;
1e-06;0;0;0;0;0.000693929;0.999986;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999998;1;-1e-05;0;1.005;0;1;
3e-06;0;0;0;0;0.00069391;0.999958;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999998;1;-1e-05;0;1.005;0;1;
7e-06;0;0;0;0;0.000693871;0.999902;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999998;1;-1e-05;0;1.005;0;1;
1.5e-05;0;0;0;0;0.000693793;0.99979;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999998;1;-1e-05;0;1.005;0;1;
3.1e-05;0;0;0;0;0.000693638;0.999566;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999998;1;-1e-05;0;1.005;0;1;
6.3e-05;0;0;0;0;0.000693328;0.999119;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999998;1;-1e-05;0;1.005;0;1;
0.000127;0;0;0;0;0.000692707;0.998225;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999998;1;-1e-05;0;1.005;0;1;
0.000255;0;0;0;0;0.00069147;0.996442;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999998;1;-1e-05;0;1.005;0;1;
0.000511;0;0;0;0;0.000689008;0.992895;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999996;1;-1e-05;0;1.005;0;1;
0.001023;0;0;0;0;0.000684135;0.985872;1;0;0;-1e-05;0;-0.001;1;1e-05;0.999989;1;-1e-05;0;1.005;0;1;
0.002047;0;0;0;0;0.000674588;0.972114;1;0;0;-9.99997e-06;0;-0.000999997;0.999997;1e-05;0.999961;0.999997;-9.99997e-06;0;1.005;0;0.999997;
0.004095;0;0;0;0;0.000656268;0.945714;1;0;0;-9.99985e-06;0;-0.000999985;0.999985;1e-05;0.999856;0.999985;-9.99985e-06;0;1.005;0;0.999985;
0.006143;0;0;0;0;0.0006387;0.920398;1;0;0;-9.99968e-06;0;-0.000999968;0.999968;1e-05;0.999705;0.999968;-9.99968e-06;0;1.005;0;0.999968;
0.008191;0;0;0;0;0.000621866;0.896139;1;0;0;-9.99945e-06;0;-0.000999945;0.999945;1e-05;0.999513;0.999945;-9.99945e-06;0;1.005;0;0.999945;
0.010239;0;0;0;0;0.000605744;0.872906;1;0;0;-9.99917e-06;0;-0.000999917;0.999917;1e-05;0.999283;0.999917;-9.99917e-06;0;1.005;0;0.999917;
0.012287;0;0;0;0;0.000590316;0.850675;1;0;0;-9.99883e-06;0;-0.000999883;0.999883;1e-05;0.999017;0.999883;-9.99883e-06;0;1.005;0;0.999883;
0.014335;0;0;0;0;0.000575565;0.829417;1;0;0;-9.99843e-06;0;-0.000999843;0.999843;1e-05;0.99872;0.999843;-9.99843e-06;0;1.005;0;0.999843;
0.016383;0;0;0;0;0.000561472;0.809108;1;0;0;-9.99798e-06;0;-0.000999798;0.999798;1e-05;0.998395;0.999798;-9.99798e-06;0;1.005;0;0.999798;
0.018431;0;0;0;0;0.00054802;0.789723;1;0;0;-9.99748e-06;0;-0.000999748;0.999748;1e-05;0.998044;0.999748;-9.99748e-06;0;1.005;0;0.999748;
0.020479;0;0;0;0;0.000535193;0.771239;1;0;0;-9.99692e-06;0;-0.000999692;0.999692;1e-05;0.997669;0.999692;-9.99692e-06;0;1.005;0;0.999692;
0.022527;0;0;0;0;0.000522974;0.753631;1;0;0;-9.99631e-06;0;-0.000999631;0.999631;1e-05;0.997274;0.999631;-9.99631e-06;0;1.005;0;0.999631;
0.024575;0;0;0;0;0.000511349;0.736878;1;0;0;-9.99565e-06;0;-0.000999565;0.999565;1e-05;0.996861;0.999565;-9.99565e-06;0;1.005;0;0.999565;
0.026623;0;0;0;0;0.000500302;0.720959;1;0;0;-9.99494e-06;0;-0.000999494;0.999494;1e-05;0.996432;0.999494;-9.99494e-06;0;1.005;0;0.999494;
0.028671;0;0;0;0;0.000489817;0.705851;1;0;0;-9.99418e-06;0;-0.000999418;0.999418;1e-05;0.995989;0.999418;-9.99418e-06;0;1.005;0;0.999418;
0.030719;0;0;0;0;0.000479882;0.691534;1;0;0;-9.99338e-06;0;-0.000999338;0.999338;1e-05;0.995534;0.999338;-9.99338e-06;0;1.005;0;0.999338;
0.032767;0;0;0;0;0.000470482;0.677988;1;0;0;-9.99252e-06;0;-0.000999252;0.999252;1e-05;0.995068;0.999252;-9.99252e-06;0;1.005;0;0.999252;
0.034815;0;0;0;0;0.000461603;0.665193;1;0;0;-9.99163e-06;0;-0.000999163;0.999163;1e-05;0.994595;0.999163;-9.99163e-06;0;1.005;0;0.999163;
0.036863;0;0;0;0;0.000453232;0.65313;1;0;0;-9.99069e-06;0;-0.000999069;0.999069;1e-05;0.994114;0.999069;-9.99069e-06;0;1.005;0;0.999069;
0.038911;0;0;0;0;0.000445357;0.64178;1;0;0;-9.98971e-06;0;-0.000998971;0.998971;1e-05;0.993628;0.998971;-9.98971e-06;0;1.005;0;0.998971;
0.040959;0;0;0;0;0.000437963;0.631126;1;0;0;-9.98868e-06;0;-0.000998868;0.998868;1e-05;0.993138;0.998868;-9.98868e-06;0;1.005;0;0.998868;
0.043007;0;0;0;0;0.000431039;0.621148;1;0;0;-9.98762e-06;0;-0.000998762;0.998762;1e-05;0.992646;0.998762;-9.98762e-06;0;1.005;0;0.998762;
