time;WD_weightedDifference_u;WD_weightedDifference_y;U1_step_step_value;
0.000000;2.000000;-6.000000;2.000000;
10.000000;2.000000;-6.000000;2.000000;
20.000000;2.000000;-6.000000;2.000000;
30.000000;2.000000;-6.000000;2.000000;
40.000000;2.000000;-6.000000;2.000000;
50.000000;2.000000;-6.000000;2.000000;
50.000000;7.000000;4.000000;7.000000;
60.000000;7.000000;4.000000;7.000000;
70.000000;7.000000;4.000000;7.000000;
80.000000;7.000000;4.000000;7.000000;
90.000000;7.000000;4.000000;7.000000;
100.000000;7.000000;4.000000;7.000000;
