time;Generator_generator_UPu;Generator_generator_QGenPu;Generator_generator_QMaxPu;Generator_generator_QMinPu;Generator_generator_PGenPu;Generator_generator_PGenRawPu;Generator_generator_PMinPu;Generator_generator_PMaxPu;Generator_generator_running;Generator_generator_omegaRefPu;
0.000000;1.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
1.000000;1.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
2.000000;1.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
3.000000;1.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
4.000000;1.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
5.000000;1.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
6.000000;1.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
7.000000;1.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
8.000000;1.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
9.000000;1.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
10.000000;0.000000;0.500000;0.600000;-0.600000;1.500000;1.500000;0.000000;2.000000;1.000000;1.000000;
10.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
11.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
12.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
13.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
14.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
15.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
16.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
17.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
18.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
19.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
20.000000;0.000000;0.000000;0.600000;-0.600000;0.000000;0.000000;0.000000;2.000000;-1.000000;1.000000;
