time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;SM_voltageRegulator_UOelPu;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678809;0.892857;0.000000;
0.009075;2.678817;4.309139;1.000000;3.999999;2.000028;0.781862;1.037829;2.678824;0.892857;0.000000;
0.018150;2.678817;4.309139;1.000000;4.000000;2.000026;0.781862;1.037829;2.678834;0.892857;0.000000;
0.036300;2.678819;4.309140;1.000000;4.000001;2.000025;0.781862;1.037828;2.678843;0.892857;0.000000;
0.072600;2.678820;4.309141;1.000000;4.000004;2.000023;0.781862;1.037828;2.678837;0.892857;0.000000;
0.145201;2.678821;4.309143;1.000000;4.000006;2.000022;0.781862;1.037828;2.678831;0.892857;0.000000;
0.290402;2.678823;4.309143;1.000000;4.000004;2.000027;0.781861;1.037829;2.678845;0.892857;0.000000;
0.580804;2.678827;4.309146;1.000000;4.000001;2.000042;0.781859;1.037829;2.678859;0.892857;0.000000;
1.000000;2.678834;4.309152;1.000000;4.000000;2.000062;0.781857;1.037829;2.678866;0.892857;0.000000;
1.000000;5.833703;22.210412;1.000000;-0.000000;3.329791;0.781857;0.149920;0.386977;0.892857;0.000000;
1.000000;5.833704;22.210409;1.000000;0.000000;3.329790;0.781857;0.149920;0.386977;0.892857;0.000000;
1.000000;5.833705;22.210406;1.000000;-0.000000;3.329789;0.781857;0.149920;0.386976;0.892857;0.000000;
1.000000;5.833706;22.210400;1.000000;-0.000000;3.329788;0.781857;0.149920;0.386974;0.892857;0.000000;
1.000000;5.833708;22.210387;1.000000;-0.000000;3.329784;0.781857;0.149920;0.386971;0.892857;0.000000;
1.000000;5.833712;22.210362;1.000000;-0.000000;3.329776;0.781857;0.149920;0.386965;0.892857;0.000000;
1.000000;5.833721;22.210313;1.000000;-0.000000;3.329761;0.781857;0.149920;0.386953;0.892857;0.000000;
1.000001;5.833738;22.210213;1.000000;-0.000000;3.329732;0.781857;0.149919;0.386928;0.892857;0.000000;
1.000002;5.833772;22.210014;1.000000;0.000000;3.329672;0.781857;0.149918;0.386879;0.892857;0.000000;
1.000003;5.833806;22.209816;1.000000;0.000000;3.329612;0.781857;0.149916;0.386831;0.892857;0.000000;
1.000004;5.833840;22.209617;1.000000;-0.000000;3.329553;0.781857;0.149915;0.386782;0.892857;0.000000;
1.000005;5.833874;22.209418;1.000000;-0.000000;3.329493;0.781857;0.149914;0.386733;0.892857;0.000000;
1.000005;5.833908;22.209219;1.000000;0.000000;3.329434;0.781857;0.149912;0.386684;0.892857;0.000000;
1.000006;5.833943;22.209020;1.000000;0.000000;3.329374;0.781857;0.149911;0.386635;0.892857;0.000000;
1.000007;5.833977;22.208821;1.000001;0.000000;3.329314;0.781857;0.149910;0.386586;0.892857;0.000000;
1.000008;5.834011;22.208623;1.000001;-0.000000;3.329255;0.781857;0.149908;0.386537;0.892857;0.000000;
1.000010;5.834079;22.208225;1.000001;-0.000000;3.329135;0.781857;0.149906;0.386439;0.892857;0.000000;
1.000012;5.834141;22.207867;1.000001;0.000000;3.329028;0.781857;0.149903;0.386351;0.892857;0.000000;
1.000014;5.834202;22.207509;1.000001;0.000000;3.328921;0.781857;0.149901;0.386263;0.892857;0.000000;
1.000015;5.834263;22.207152;1.000001;-0.000000;3.328814;0.781857;0.149898;0.386175;0.892857;0.000000;
1.000017;5.834325;22.206794;1.000001;0.000000;3.328706;0.781857;0.149896;0.386087;0.892857;0.000000;
1.000019;5.834386;22.206436;1.000001;0.000000;3.328599;0.781857;0.149893;0.385999;0.892857;0.000000;
1.000020;5.834448;22.206078;1.000001;-0.000000;3.328492;0.781857;0.149891;0.385911;0.892857;0.000000;
1.000022;5.834509;22.205720;1.000002;0.000000;3.328385;0.781857;0.149889;0.385823;0.892857;0.000000;
1.000024;5.834571;22.205363;1.000002;-0.000000;3.328277;0.781857;0.149886;0.385735;0.892857;0.000000;
1.000025;5.834632;22.205005;1.000002;0.000000;3.328170;0.781857;0.149884;0.385647;0.892857;0.000000;
1.000027;5.834693;22.204647;1.000002;-0.000000;3.328063;0.781857;0.149881;0.385559;0.892857;0.000000;
1.000029;5.834755;22.204290;1.000002;0.000000;3.327956;0.781857;0.149879;0.385471;0.892857;0.000000;
1.000031;5.834816;22.203932;1.000002;-0.000000;3.327849;0.781857;0.149877;0.385383;0.892857;0.000000;
1.000034;5.834939;22.203217;1.000002;-0.000000;3.327634;0.781857;0.149872;0.385208;0.892857;0.000000;
1.000037;5.835062;22.202502;1.000003;-0.000000;3.327420;0.781857;0.149867;0.385032;0.892857;0.000000;
1.000041;5.835185;22.201786;1.000003;-0.000000;3.327205;0.781857;0.149862;0.384856;0.892857;0.000000;
1.000044;5.835307;22.201071;1.000003;0.000000;3.326991;0.781857;0.149857;0.384680;0.892857;0.000000;
1.000048;5.835430;22.200356;1.000003;0.000000;3.326777;0.781857;0.149852;0.384505;0.892857;0.000000;
1.000051;5.835553;22.199642;1.000004;0.000000;3.326563;0.781857;0.149848;0.384329;0.892857;0.000000;
1.000054;5.835676;22.198927;1.000004;-0.000000;3.326348;0.781857;0.149843;0.384153;0.892857;0.000000;
1.000061;5.835921;22.197497;1.000004;-0.000000;3.325920;0.781857;0.149833;0.383802;0.892857;0.000000;
1.000068;5.836166;22.196068;1.000005;0.000000;3.325492;0.781857;0.149823;0.383452;0.892857;0.000000;
1.000075;5.836411;22.194639;1.000005;0.000000;3.325064;0.781857;0.149814;0.383101;0.892857;0.000000;
1.000081;5.836656;22.193211;1.000006;-0.000000;3.324636;0.781857;0.149804;0.382750;0.892857;0.000000;
1.000095;5.837147;22.190354;1.000007;-0.000000;3.323780;0.781857;0.149785;0.382050;0.892857;0.000000;
1.000122;5.838125;22.184646;1.000009;0.000000;3.322070;0.781857;0.149746;0.380651;0.892857;0.000000;
1.000149;5.839103;22.178943;1.000010;0.000000;3.320362;0.781857;0.149708;0.379255;0.892857;0.000000;
1.000204;5.841053;22.167554;1.000014;0.000000;3.316953;0.781857;0.149631;0.376472;0.892857;0.000000;
1.000312;5.844937;22.144842;1.000022;0.000000;3.310160;0.781858;0.149478;0.370944;0.892857;0.000000;
1.000434;5.849249;22.119534;1.000030;-0.000000;3.302603;0.781859;0.149307;0.364830;0.892857;0.000000;
1.000434;5.849249;22.119534;1.000030;-0.000000;3.302603;0.781859;0.149307;0.364830;0.892857;0.000000;
1.000436;5.849321;22.119111;1.000030;-0.000000;3.302472;0.781859;0.149304;0.364722;0.892857;0.000000;
1.000438;5.849393;22.118688;1.000031;0.000000;3.302345;0.781859;0.149301;0.364619;0.892857;0.000000;
1.000442;5.849538;22.117842;1.000031;-0.000000;3.302093;0.781859;0.149295;0.364415;0.892857;0.000000;
1.000450;5.849827;22.116149;1.000031;-0.000000;3.301587;0.781859;0.149284;0.364005;0.892857;0.000000;
1.000467;5.850404;22.112766;1.000033;0.000000;3.300577;0.781860;0.149261;0.363186;0.892857;0.000000;
1.000499;5.851558;22.106003;1.000035;-0.000000;3.298559;0.781860;0.149216;0.361552;0.892857;0.000000;
1.000564;5.853861;22.092498;1.000039;-0.000000;3.294530;0.781861;0.149124;0.358294;0.892857;0.000000;
1.000694;5.858447;22.065561;1.000048;-0.000000;3.286500;0.781862;0.148943;0.351819;0.892857;0.000000;
1.000955;5.867545;22.011985;1.000067;-0.000000;3.270560;0.781867;0.148581;0.339034;0.892857;0.000000;
1.001475;5.885442;21.906012;1.000103;-0.000000;3.239145;0.781881;0.147866;0.314112;0.892857;0.000000;
1.002516;5.920069;21.698692;1.000176;0.000000;3.178124;0.781927;0.146466;0.266742;0.892857;0.000000;
1.003557;5.953178;21.497404;1.000248;-0.000000;3.119434;0.781996;0.145107;0.222505;0.892857;0.000000;
1.004597;5.984819;21.301972;1.000321;-0.000000;3.062974;0.782089;0.143788;0.181195;0.892857;0.000000;
1.005638;6.015043;21.112221;1.000394;-0.000000;3.008648;0.782206;0.142507;0.142620;0.892857;0.000000;
1.006679;6.043899;20.927975;1.000466;-0.000000;2.956364;0.782346;0.141264;0.106596;0.892857;0.000000;
1.007720;6.071435;20.749065;1.000539;-0.000000;2.906033;0.782511;0.140056;0.072952;0.892857;0.000000;
1.008760;6.097696;20.575325;1.000612;-0.000000;2.857569;0.782699;0.138883;0.041531;0.892857;0.000000;
1.009801;6.122728;20.406593;1.000684;-0.000000;2.810893;0.782911;0.137745;0.012183;0.892857;0.000000;
1.010842;6.146573;20.242713;1.000757;-0.000000;2.765927;0.783146;0.136638;-0.015228;0.892857;0.000000;
1.011883;6.169273;20.083530;1.000829;0.000000;2.722596;0.783405;0.135564;-0.040832;0.892857;0.000000;
1.012923;6.190867;19.928897;1.000902;-0.000000;2.680832;0.783688;0.134520;-0.064747;0.892857;0.000000;
1.013964;6.211395;19.778668;1.000975;0.000000;2.640567;0.783995;0.133506;-0.087086;0.892857;0.000000;
1.015005;6.230892;19.632704;1.001047;-0.000000;2.601736;0.784326;0.132521;-0.107951;0.892857;0.000000;
1.016046;6.249395;19.490867;1.001120;-0.000000;2.564279;0.784680;0.131563;-0.127440;0.892857;0.000000;
1.017086;6.266939;19.353025;1.001192;0.000000;2.528137;0.785058;0.130633;-0.145643;0.892857;0.000000;
1.018127;6.283557;19.219049;1.001265;-0.000000;2.493255;0.785460;0.129729;-0.162644;0.892857;0.000000;
1.019168;6.299281;19.088814;1.001338;0.000000;2.459579;0.785885;0.128849;-0.178521;0.892857;0.000000;
1.020209;6.314142;18.962198;1.001410;-0.000000;2.427058;0.786335;0.127995;-0.193347;0.892857;0.000000;
1.022290;6.341430;18.719249;1.001555;0.000000;2.365269;0.787304;0.126355;-0.220157;0.892857;0.000000;
1.024163;6.363326;18.511830;1.001686;0.000000;2.313143;0.788258;0.124955;-0.241333;0.892857;0.000000;
1.026037;6.382866;18.314396;1.001817;0.000000;2.264068;0.789289;0.123622;-0.260040;0.892857;0.000000;
1.027910;6.400186;18.126376;1.001947;-0.000000;2.217818;0.790396;0.122353;-0.276548;0.892857;0.000000;
1.029784;6.415423;17.947222;1.002078;-0.000000;2.174192;0.791580;0.121144;-0.291101;0.892857;0.000000;
1.031657;6.428702;17.776412;1.002208;0.000000;2.133002;0.792842;0.119991;-0.303916;0.892857;0.000000;
1.033530;6.440145;17.613452;1.002339;-0.000000;2.094072;0.794180;0.118891;-0.315186;0.892857;0.000000;
1.035404;6.449864;17.457874;1.002469;0.000000;2.057240;0.795594;0.117841;-0.325083;0.892857;0.000000;
1.037277;6.457965;17.309239;1.002600;-0.000000;2.022358;0.797086;0.116837;-0.333761;0.892857;0.000000;
1.038532;6.462543;17.213315;1.002687;-0.000000;2.000000;0.798128;0.116190;-0.338967;0.892857;0.000000;
1.038532;6.462543;17.213312;1.002687;-0.000000;2.000012;0.798128;0.116190;-0.338955;0.892857;0.000000;
1.038533;6.462545;17.213260;1.002687;-0.000000;2.000000;0.798129;0.116190;-0.338957;0.892857;0.000000;
1.038533;6.462545;17.213260;1.002687;-0.000000;2.000000;0.798129;0.116190;-0.338957;0.892857;0.000000;
1.038533;6.462545;17.213259;1.002687;-0.000000;2.000000;0.798129;0.116190;-0.338957;0.892857;0.000000;
1.038533;6.462545;17.213259;1.002687;-0.000000;2.000000;0.798129;0.116190;-0.338957;0.892857;0.000000;
1.038555;6.462618;17.211618;1.002689;0.000000;1.999619;0.798147;0.116178;-0.339043;0.892857;0.000000;
1.038576;6.462691;17.209977;1.002690;-0.000000;1.999237;0.798166;0.116167;-0.339129;0.892857;0.000000;
1.038620;6.462836;17.206698;1.002693;-0.000000;1.998476;0.798203;0.116145;-0.339300;0.892857;0.000000;
1.038707;6.463125;17.200150;1.002699;0.000000;1.996955;0.798277;0.116101;-0.339641;0.892857;0.000000;
1.038882;6.463692;17.187094;1.002711;0.000000;1.993924;0.798425;0.116013;-0.340315;0.892857;0.000000;
1.039231;6.464790;17.161142;1.002736;-0.000000;1.987907;0.798724;0.115838;-0.341640;0.892857;0.000000;
1.039930;6.466840;17.109870;1.002784;-0.000000;1.976047;0.799330;0.115492;-0.344191;0.892857;0.000000;
