time;NETWORK__BUS____7-BUS___10-2_AC_iSide2;HVDC_hvdc_P1Pu;
0.000000;1377.507481;11.955000;
0.000001;1377.507481;11.955000;
0.000003;1377.507481;11.955000;
0.000007;1377.507481;11.955000;
0.000015;1377.507480;11.955000;
0.000031;1377.507478;11.955000;
0.000063;1377.507475;11.955000;
0.000127;1377.507468;11.955000;
0.000255;1377.507455;11.955001;
0.000511;1377.507428;11.955002;
0.001023;1377.507375;11.955003;
0.002047;1377.507267;11.955007;
0.004095;1377.507053;11.955013;
0.008191;1377.506625;11.955026;
0.016383;1377.505769;11.955052;
0.032767;1377.504058;11.955104;
0.065535;1377.500643;11.955208;
0.131071;1377.493839;11.955414;
0.262143;1377.480334;11.955824;
0.524287;1377.453730;11.956632;
1.048575;1377.402096;11.958200;
2.097151;1377.304766;11.961155;
4.194303;1377.131269;11.966423;
8.388607;1376.852330;11.974892;
16.777215;1376.477398;11.986276;
24.999995;1376.244914;11.993335;
26.777215;1376.194667;11.994860;
29.999994;1376.136095;11.996639;
29.999994;1376.136095;11.996639;
29.999995;1686.439450;11.996639;
29.999997;1686.439374;11.996640;
30.000001;1686.439221;11.996642;
30.000009;1686.438915;11.996645;
30.000025;1686.438304;11.996651;
30.000057;1686.437082;11.996664;
30.000121;1686.434638;11.996689;
30.000249;1686.429749;11.996739;
30.000505;1686.419972;11.996839;
30.001017;1686.400419;11.997040;
30.002041;1686.361320;11.997442;
30.004089;1686.283143;11.998246;
30.008185;1686.126878;11.999853;
30.016377;1685.814706;12.003062;
30.032761;1685.191788;12.009466;
30.065529;1683.951629;12.022216;
30.131065;1681.493812;12.047486;
30.262137;1676.666560;12.097118;
30.524281;1667.353066;12.192885;
31.048569;1649.996855;12.371381;
32.097145;1619.717151;12.682877;
34.194297;1572.867964;13.165050;
36.291449;1536.626097;13.538258;
39.999992;0.000000;13.954943;
39.999992;0.000000;13.954943;
39.999993;0.000000;13.954944;
39.999995;0.000000;13.954945;
39.999999;0.000000;13.954948;
40.000007;0.000000;13.954953;
40.000023;0.000000;13.954964;
40.000055;0.000000;13.954986;
40.000119;0.000000;13.955028;
40.000247;0.000000;13.955114;
40.000503;0.000000;13.955286;
40.001015;0.000000;13.955629;
40.002039;0.000000;13.956315;
40.004087;0.000000;13.957687;
40.008183;0.000000;13.960428;
40.016375;0.000000;13.965903;
40.032759;0.000000;13.976820;
40.065527;0.000000;13.998531;
40.131063;0.000000;14.041457;
40.262135;0.000000;14.125374;
40.524279;0.000000;14.285809;
41.048567;0.000000;14.579597;
42.097143;0.000000;15.075757;
44.194295;0.000000;15.801070;
46.291447;0.000000;16.331358;
48.388599;0.000000;16.719128;
49.999990;0.000000;16.890895;
52.582903;0.000000;17.166221;
56.777207;0.000000;17.424018;
60.971511;0.000000;17.572686;
69.360119;0.000000;17.693155;
77.748727;0.000000;17.741967;
86.137335;0.000000;17.761749;
94.525943;0.000000;17.769767;
102.914551;0.000000;17.773017;
112.914551;0.000000;17.774427;
122.914551;0.000000;17.774924;
132.914551;0.000000;17.775114;
142.914551;0.000000;17.775187;
149.999970;0.000000;17.775206;
152.914551;0.000000;17.775214;
162.914551;0.000000;17.775225;
172.914551;0.000000;17.775229;
182.914551;0.000000;17.775230;
192.914551;0.000000;17.775231;
202.914551;0.000000;17.775231;
212.914551;0.000000;17.775231;
222.914551;0.000000;17.775231;
232.914551;0.000000;17.775231;
242.914551;0.000000;17.775231;
252.914551;0.000000;17.775231;
262.914551;0.000000;17.775231;
272.914551;0.000000;17.775231;
282.914551;0.000000;17.775231;
292.914551;0.000000;17.775231;
300.000000;0.000000;17.775231;
