time;Load2_load_PPu;Load2_load_QPu;Bus1_bus_U;
0.0000000000;0.0401030643;0.0050257993;1.9708181490;
0.0000010000;0.0401030655;0.0050257996;1.9708182060;
0.0000020000;0.0401030666;0.0050257999;1.9708182631;
0.0000040000;0.0401030690;0.0050258004;1.9708183771;
0.0000080000;0.0401030736;0.0050258016;1.9708186053;
0.0000160000;0.0401030829;0.0050258039;1.9708190614;
0.0000320000;0.0401031014;0.0050258086;1.9708199734;
0.0000640000;0.0401031385;0.0050258179;1.9708217958;
0.0001280000;0.0401032126;0.0050258364;1.9708254349;
0.0002560000;0.0401033602;0.0050258734;1.9708326902;
0.0005120000;0.0401036536;0.0050259470;1.9708471092;
0.0010240000;0.0401042331;0.0050260922;1.9708755853;
0.0020480000;0.0401053631;0.0050263755;1.9709311206;
0.0040960000;0.0401075127;0.0050269143;1.9710367584;
0.0081920000;0.0401114049;0.0050278900;1.9712280390;
0.0122880000;0.0401147971;0.0050287405;1.9713947450;
0.0204800000;0.0401203568;0.0050301345;1.9716679672;
0.0278528000;0.0401241425;0.0050310838;1.9718540125;
0.0352256000;0.0401270082;0.0050318025;1.9719948440;
0.0425984000;0.0401291385;0.0050323367;1.9720995322;
0.0499712000;0.0401306879;0.0050327253;1.9721756798;
0.0573440000;0.0401317692;0.0050329966;1.9722288228;
0.0647168000;0.0401324766;0.0050331740;1.9722635870;
0.0720896000;0.0401328857;0.0050332766;1.9722836916;
0.0794624000;0.0401330572;0.0050333196;1.9722921169;
0.0942080000;0.0401329108;0.0050332829;1.9722849207;
0.1089536000;0.0401322655;0.0050331211;1.9722532095;
0.1236992000;0.0401312949;0.0050328776;1.9722055117;
0.1384448000;0.0401301193;0.0050325827;1.9721477388;
0.1531904000;0.0401288184;0.0050322564;1.9720838033;
0.1679360000;0.0401274434;0.0050319116;1.9720162325;
0.1974272000;0.0401246121;0.0050312015;1.9718770874;
0.2269184000;0.0401217350;0.0050304801;1.9717356980;
0.2859008000;0.0401161049;0.0050290683;1.9714590118;
0.3448832000;0.0401107208;0.0050277185;1.9711944061;
0.4038656000;0.0401056548;0.0050264486;1.9709454181;
0.4628480000;0.0401009274;0.0050252637;1.9707130738;
0.5218304000;0.0400965378;0.0050241636;1.9704973320;
0.5808128000;0.0400924772;0.0050231460;1.9702977684;
0.6397952000;0.0400887345;0.0050222082;1.9701138216;
0.6987776000;0.0400852969;0.0050213469;1.9699448738;
